Date,Entry Time,Exit Time,Type,Strike,Opt Buy,Opt Sell,Nifty Entry,Nifty Exit,EMA5 Entry,EMA13 Entry,PnL,Balance,Reason
2025-12-24,09:15:00,09:15:03,CE,NSE-NIFTY-30Dec25-26200-CE,107.0,102.0,26197.2,26180.4,26183.58,26181.31,-375.0,9625.0,STOP/TRAIL
2025-12-24,09:15:05,09:16:16,PE,NSE-NIFTY-30Dec25-26150-PE,90.0,91.4,26163.05,26154.0,26172.19,26176.43,105.0,9730.0,STOP/TRAIL
2025-12-24,09:16:19,09:17:48,PE,NSE-NIFTY-30Dec25-26150-PE,91.35,86.35,26156.25,26164.15,26169.93,26175.46,-375.0,9355.0,STOP/TRAIL
2025-12-24,09:17:50,09:18:06,PE,NSE-NIFTY-30Dec25-26150-PE,85.1,80.1,26167.05,26179.1,26173.53,26177.0,-375.0,8980.0,STOP/TRAIL
2025-12-24,09:18:20,09:18:38,CE,NSE-NIFTY-30Dec25-26200-CE,115.35,111.5,26187.5,26183.05,26180.34,26179.92,-288.75,8691.25,REVERSAL
2025-12-24,09:18:48,09:19:16,CE,NSE-NIFTY-30Dec25-26200-CE,112.95,119.0,26186.9,26196.55,26180.14,26179.84,453.75,9145.0,STOP/TRAIL
2025-12-24,09:19:19,09:22:45,CE,NSE-NIFTY-30Dec25-26200-CE,120.1,123.6,26194.05,26207.95,26182.53,26180.86,262.5,9407.5,STOP/TRAIL
2025-12-24,09:51:36,09:53:21,CE,NSE-NIFTY-30Dec25-26200-CE,120.5,125.0,26217.0,26224.35,26212.37,26203.11,337.5,9745.0,STOP/TRAIL
2025-12-24,09:53:25,09:56:49,CE,NSE-NIFTY-30Dec25-26200-CE,123.25,118.25,26223.0,26212.35,26214.37,26203.96,-375.0,9370.0,STOP/TRAIL
2025-12-24,10:10:49,10:14:21,CE,NSE-NIFTY-30Dec25-26250-CE,96.7,99.1,26217.7,26225.5,26214.72,26208.86,180.0,9550.0,STOP/TRAIL
2025-12-24,10:14:24,10:16:07,CE,NSE-NIFTY-30Dec25-26250-CE,99.9,102.0,26225.85,26231.5,26217.44,26210.02,157.5,9707.5,STOP/TRAIL
2025-12-24,10:50:01,10:54:03,PE,NSE-NIFTY-30Dec25-26200-PE,78.65,79.8,26207.7,26210.05,26214.95,26216.35,86.25,9793.75,STOP/TRAIL
2025-12-24,10:54:06,11:03:25,PE,NSE-NIFTY-30Dec25-26200-PE,80.2,82.65,26210.5,26203.4,26215.88,26216.75,183.75,9977.5,STOP/TRAIL
2025-12-24,11:26:37,11:30:07,PE,NSE-NIFTY-30Dec25-26200-PE,76.0,71.95,26205.35,26215.0,26208.94,26211.01,-303.75,9673.75,REVERSAL
2025-12-24,11:30:09,11:30:23,CE,NSE-NIFTY-30Dec25-26200-CE,116.1,115.75,26215.25,26214.1,26212.75,26212.56,-26.25,9647.5,REVERSAL
2025-12-24,11:30:30,11:30:33,CE,NSE-NIFTY-30Dec25-26200-CE,116.6,116.4,26214.7,26211.9,26212.57,26212.48,-15.0,9632.5,REVERSAL
2025-12-24,11:31:14,11:31:21,CE,NSE-NIFTY-30Dec25-26200-CE,116.3,116.35,26214.7,26213.6,26212.57,26212.48,3.75,9636.25,REVERSAL
2025-12-24,11:31:24,11:31:31,CE,NSE-NIFTY-30Dec25-26200-CE,116.8,115.45,26215.1,26213.55,26212.7,26212.54,-101.25,9535.0,REVERSAL
2025-12-24,11:32:42,11:32:49,CE,NSE-NIFTY-30Dec25-26200-CE,117.2,117.5,26214.45,26214.15,26212.48,26212.45,22.5,9557.5,REVERSAL
2025-12-24,11:32:53,11:33:22,CE,NSE-NIFTY-30Dec25-26200-CE,116.9,117.7,26215.45,26212.85,26212.82,26212.59,60.0,9617.5,REVERSAL
2025-12-24,11:33:29,11:33:31,CE,NSE-NIFTY-30Dec25-26200-CE,117.85,116.4,26214.35,26213.7,26212.45,26212.43,-108.75,9508.75,REVERSAL
2025-12-24,11:34:00,11:34:03,CE,NSE-NIFTY-30Dec25-26200-CE,116.85,117.55,26214.35,26213.3,26212.45,26212.43,52.5,9561.25,REVERSAL
2025-12-24,11:34:10,11:34:40,CE,NSE-NIFTY-30Dec25-26200-CE,117.4,116.5,26214.75,26214.1,26212.58,26212.49,-67.5,9493.75,REVERSAL
2025-12-24,11:34:43,11:34:56,CE,NSE-NIFTY-30Dec25-26200-CE,117.2,115.9,26215.2,26214.1,26212.73,26212.55,-97.5,9396.25,REVERSAL
2025-12-24,11:34:58,11:36:40,CE,NSE-NIFTY-30Dec25-26200-CE,115.7,115.7,26215.0,26211.9,26212.67,26212.53,0.0,9396.25,REVERSAL
2025-12-24,11:36:48,11:36:50,PE,NSE-NIFTY-30Dec25-26200-PE,72.45,72.6,26211.95,26213.1,26212.43,26212.44,11.25,9407.5,REVERSAL
2025-12-24,11:36:55,11:36:58,PE,NSE-NIFTY-30Dec25-26200-PE,72.7,72.35,26211.75,26213.0,26212.36,26212.42,-26.25,9381.25,REVERSAL
2025-12-24,11:37:05,11:37:08,PE,NSE-NIFTY-30Dec25-26200-PE,72.4,72.15,26211.85,26212.8,26212.4,26212.43,-18.75,9362.5,REVERSAL
2025-12-24,11:37:56,11:38:01,PE,NSE-NIFTY-30Dec25-26200-PE,73.1,73.4,26211.1,26212.05,26212.15,26212.32,22.5,9385.0,REVERSAL
2025-12-24,11:38:04,11:38:12,PE,NSE-NIFTY-30Dec25-26200-PE,73.1,73.2,26211.45,26212.1,26212.26,26212.37,7.5,9392.5,REVERSAL
2025-12-24,11:38:15,11:38:26,PE,NSE-NIFTY-30Dec25-26200-PE,73.25,72.5,26210.15,26212.3,26211.83,26212.19,-56.25,9336.25,REVERSAL
2025-12-24,11:38:32,11:38:34,PE,NSE-NIFTY-30Dec25-26200-PE,72.9,73.05,26210.55,26212.25,26211.96,26212.24,11.25,9347.5,REVERSAL
2025-12-24,11:38:39,11:38:42,PE,NSE-NIFTY-30Dec25-26200-PE,72.6,72.4,26211.6,26212.5,26212.31,26212.39,-15.0,9332.5,REVERSAL
2025-12-24,11:38:44,11:38:47,PE,NSE-NIFTY-30Dec25-26200-PE,72.3,72.35,26211.7,26212.45,26212.35,26212.41,3.75,9336.25,REVERSAL
2025-12-24,11:38:55,11:39:00,PE,NSE-NIFTY-30Dec25-26200-PE,73.55,73.35,26210.55,26212.75,26211.96,26212.24,-15.0,9321.25,REVERSAL
2025-12-24,11:39:02,11:45:11,PE,NSE-NIFTY-30Dec25-26200-PE,73.5,84.0,26210.8,26185.6,26212.05,26212.28,787.5,10108.75,STOP/TRAIL
2025-12-24,12:09:01,12:18:42,PE,NSE-NIFTY-30Dec25-26200-PE,80.05,75.05,26188.55,26197.65,26191.94,26198.28,-375.0,9733.75,STOP/TRAIL
2025-12-24,12:30:01,12:30:08,CE,NSE-NIFTY-30Dec25-26200-CE,107.15,106.4,26201.65,26201.3,26198.14,26198.11,-56.25,9677.5,REVERSAL
2025-12-24,12:31:06,12:39:31,CE,NSE-NIFTY-30Dec25-26200-CE,109.75,104.75,26202.0,26196.1,26198.26,26198.16,-375.0,9302.5,STOP/TRAIL
2025-12-24,12:39:43,13:03:42,PE,NSE-NIFTY-30Dec25-26200-PE,76.8,79.85,26195.25,26184.7,26198.0,26198.15,228.75,9531.25,STOP/TRAIL
2025-12-24,13:56:40,13:58:07,PE,NSE-NIFTY-30Dec25-26150-PE,69.85,72.0,26158.4,26152.15,26162.4,26170.13,161.25,9692.5,STOP/TRAIL
2025-12-24,13:58:09,14:02:07,PE,NSE-NIFTY-30Dec25-26150-PE,72.2,74.4,26151.75,26144.7,26160.18,26169.18,165.0,9857.5,STOP/TRAIL
2025-12-24,15:02:01,15:06:00,PE,NSE-NIFTY-30Dec25-26150-PE,75.55,71.55,26138.75,26157.75,26141.73,26146.73,-300.0,9557.5,REVERSAL
2025-12-24,15:06:08,15:06:11,CE,NSE-NIFTY-30Dec25-26150-CE,100.15,100.25,26158.45,26156.2,26150.36,26150.09,7.5,9565.0,REVERSAL
2025-12-24,15:06:19,15:06:23,CE,NSE-NIFTY-30Dec25-26150-CE,100.35,100.55,26157.7,26156.85,26150.11,26149.98,15.0,9580.0,REVERSAL
2025-12-24,15:06:29,15:06:32,CE,NSE-NIFTY-30Dec25-26150-CE,100.7,100.6,26157.3,26155.95,26149.98,26149.92,-7.5,9572.5,REVERSAL
2025-12-24,15:06:36,15:07:12,CE,NSE-NIFTY-30Dec25-26150-CE,100.8,99.5,26158.1,26154.65,26150.24,26150.04,-97.5,9475.0,REVERSAL
2025-12-24,15:07:45,15:15:00,PE,NSE-NIFTY-30Dec25-26150-PE,74.5,74.65,26142.85,26157.05,26145.16,26147.86,11.25,9486.25,REVERSAL
2025-12-24,15:15:03,15:15:38,CE,NSE-NIFTY-30Dec25-26150-CE,100.6,99.4,26156.05,26150.95,26150.5,26149.57,-90.0,9396.25,REVERSAL
