Timestamp,Nifty_Price,VWAP,EMA5,EMA13,Strike_Looking,CE_Price,PE_Price,CE_OI,PE_OI,OI_Change_CE,OI_Change_PE,PCR,CE_Delta,CE_Theta,CE_Gamma,CE_Vega,PE_Delta,PE_Theta,Status_of_Trade,Reason
11:51:25,26144.4,26174.87,26137.81,26133.44,26150,54.55,61.6,202173,179736,202173,179736,1.47,0.4866,-24.991,0.0028,5.8528,-0.5134,-24.991,SCAN,Waiting
11:51:29,26143.65,26174.92,26137.56,26133.33,26150,54.4,61.75,202173,179736,0,0,1.47,0.4863,-24.968,0.0028,5.8527,-0.5137,-24.968,SCAN,Waiting
11:51:32,26143.25,26174.96,26137.43,26133.27,26150,54.6,61.75,202173,179736,0,0,1.47,0.4863,-24.968,0.0028,5.8527,-0.5137,-24.968,SCAN,Waiting
11:51:35,26144.8,26174.96,26137.94,26133.5,26150,54.45,61.75,202173,179736,0,0,1.47,0.4863,-24.968,0.0028,5.8527,-0.5137,-24.968,SCAN,Waiting
11:51:39,26143.65,26174.92,26137.56,26133.33,26150,54.45,62.1,202173,179736,0,0,1.47,0.4863,-24.968,0.0028,5.8527,-0.5137,-24.968,SCAN,Waiting
11:51:42,26142.35,26174.96,26137.13,26133.15,26150,53.8,62.6,202173,179736,0,0,1.47,0.4823,-25.0983,0.0027,5.85,-0.5177,-25.0983,SCAN,Waiting
11:51:46,26142.6,26174.96,26137.21,26133.18,26150,53.4,62.75,202173,179736,0,0,1.47,0.4818,-25.182,0.0027,5.8496,-0.5182,-25.182,SCAN,Waiting
11:51:49,26142.15,26174.96,26137.06,26133.12,26150,53.75,62.45,202173,179736,0,0,1.47,0.4823,-25.0983,0.0027,5.85,-0.5177,-25.0983,SCAN,Waiting
11:51:53,26142.4,26174.93,26137.14,26133.15,26150,53.6,62.65,202173,179736,0,0,1.47,0.4818,-25.182,0.0027,5.8496,-0.5182,-25.182,SCAN,Waiting
11:51:56,26141.8,26174.95,26136.94,26133.07,26150,53.1,62.75,202173,179736,0,0,1.47,0.4818,-25.182,0.0027,5.8496,-0.5182,-25.182,SCAN,Waiting
11:52:00,26141.85,26174.95,26136.96,26133.07,26150,53,62.95,202173,179736,0,0,1.47,0.4818,-25.182,0.0027,5.8496,-0.5182,-25.182,SCAN,Waiting
11:52:02,26141.85,26174.95,26136.96,26133.07,26150,53.2,62.85,202173,179736,0,0,1.47,0.4768,-25.0759,0.0027,5.8436,-0.5232,-25.0759,SCAN,Waiting
11:52:05,26141.1,26174.97,26136.71,26132.97,26150,53.25,62.9,202173,179736,0,0,1.47,0.4768,-25.0759,0.0027,5.8436,-0.5232,-25.0759,SCAN,Waiting
11:52:11,26140.7,26174.97,26136.58,26132.91,26150,53.2,62.8,202173,179736,0,0,1.47,0.4768,-25.0759,0.0027,5.8436,-0.5232,-25.0759,SCAN,Waiting
11:52:15,26140.8,26174.97,26136.61,26132.92,26150,52.9,62.95,202173,179736,0,0,1.47,0.4754,-25.0432,0.0028,5.8423,-0.5246,-25.0432,SCAN,Waiting
11:52:18,26141.45,26174.97,26136.83,26133.02,26150,53.25,62.7,202173,179736,0,0,1.47,0.4754,-25.0432,0.0028,5.8423,-0.5246,-25.0432,SCAN,Waiting
11:52:22,26141.55,26174.98,26136.86,26133.03,26150,53.7,62.35,202173,179736,0,0,1.47,0.4754,-25.0432,0.0028,5.8423,-0.5246,-25.0432,SCAN,Waiting
11:52:25,26142.05,26174.94,26137.03,26133.1,26150,53.6,62.4,202173,179736,0,0,1.47,0.4754,-25.0432,0.0028,5.8423,-0.5246,-25.0432,SCAN,Waiting
11:52:28,26141.25,26174.93,26136.76,26132.99,26150,53.6,62.4,202173,179736,0,0,1.47,0.4777,-25.0505,0.0028,5.8445,-0.5223,-25.0505,SCAN,Waiting
11:52:31,26141.1,26174.99,26136.71,26132.97,26150,53.9,62.4,202173,179736,0,0,1.47,0.4754,-25.0432,0.0028,5.8423,-0.5246,-25.0432,SCAN,Waiting
11:52:35,26142.35,26174.93,26137.13,26133.15,26150,54.45,61.75,202173,179736,0,0,1.47,0.4777,-25.0505,0.0028,5.8445,-0.5223,-25.0505,SCAN,Waiting
11:52:38,26141.45,26174.94,26136.83,26133.02,26150,54.3,61.85,202173,179736,0,0,1.47,0.4777,-25.0505,0.0028,5.8445,-0.5223,-25.0505,SCAN,Waiting
11:52:42,26143.5,26175.01,26137.51,26133.31,26150,54.15,62.05,197958,184567,-4215,4831,1.48,0.4777,-25.0505,0.0028,5.8445,-0.5223,-25.0505,SCAN,Waiting
11:52:45,26142.8,26175.01,26137.28,26133.21,26150,54,62.05,197958,184567,0,0,1.47,0.4809,-25.0832,0.0028,5.8472,-0.5191,-25.0832,SCAN,Waiting
11:52:49,26142.5,26175.01,26137.18,26133.17,26150,53.4,62.2,197958,184567,0,0,1.47,0.4809,-25.0832,0.0028,5.8472,-0.5191,-25.0832,SCAN,Waiting
11:52:53,26142.55,26174.96,26137.19,26133.17,26150,53.4,62.45,197958,184567,0,0,1.47,0.4809,-25.0832,0.0028,5.8472,-0.5191,-25.0832,SCAN,Waiting
11:52:57,26141.8,26175.01,26136.94,26133.07,26150,53.6,62.4,197958,184567,0,0,1.47,0.4804,-25.063,0.0028,5.845,-0.5196,-25.063,SCAN,Waiting
11:53:02,26141.75,26175.0,26136.93,26133.06,26150,53.85,62.3,197958,184567,0,0,1.47,0.4804,-25.063,0.0028,5.845,-0.5196,-25.063,SCAN,Waiting
11:53:05,26144.9,26175.0,26137.98,26133.51,26150,54.1,61.75,197958,184567,0,0,1.47,0.4804,-25.063,0.0028,5.845,-0.5196,-25.063,SCAN,Waiting
11:53:09,26145.65,26175.01,26138.23,26133.62,26150,54.3,61.7,197958,184567,0,0,1.47,0.4758,-24.9973,0.0028,5.841,-0.5242,-24.9973,SCAN,Waiting
11:53:13,26145.3,26175.01,26138.11,26133.57,26150,54.45,61.65,197958,184567,0,0,1.47,0.4758,-24.9973,0.0028,5.841,-0.5242,-24.9973,SCAN,Waiting
11:53:16,26145.4,26175.01,26138.14,26133.58,26150,54.7,61.45,197958,184567,0,0,1.47,0.4758,-24.9973,0.0028,5.841,-0.5242,-24.9973,SCAN,Waiting
11:53:20,26145.75,26175.02,26138.26,26133.63,26150,54.7,61.1,197958,184567,0,0,1.47,0.4808,-25.0112,0.0028,5.8453,-0.5192,-25.0112,SCAN,Waiting
11:53:23,26145.85,26175.04,26138.29,26133.65,26150,54.75,61.4,197958,184567,0,0,1.47,0.4808,-25.0112,0.0028,5.8453,-0.5192,-25.0112,SCAN,Waiting
11:53:28,26145.8,26175.05,26138.28,26133.64,26150,54.75,61.55,197958,184567,0,0,1.47,0.4824,-25.0968,0.0028,5.8465,-0.5176,-25.0968,SCAN,Waiting
11:53:32,26145.4,26175.05,26138.14,26133.58,26150,54.6,61.55,197958,184567,0,0,1.47,0.4824,-25.0968,0.0028,5.8465,-0.5176,-25.0968,SCAN,Waiting
11:53:36,26146.35,26175.04,26138.46,26133.72,26150,54.7,61.4,197958,184567,0,0,1.47,0.4824,-25.0968,0.0028,5.8465,-0.5176,-25.0968,SCAN,Waiting
11:53:39,26145.55,26175.04,26138.19,26133.6,26150,54.25,62.1,197958,184567,0,0,1.47,0.4824,-25.0968,0.0028,5.8465,-0.5176,-25.0968,SCAN,Waiting
11:53:43,26143.6,26175.04,26137.54,26133.32,26150,54,61.95,197958,184567,0,0,1.47,0.4839,-25.1162,0.0028,5.8476,-0.5161,-25.1162,SCAN,Waiting
11:53:47,26143.05,26175.03,26137.36,26133.25,26150,53.8,62.4,197958,184567,0,0,1.47,0.4839,-25.1162,0.0028,5.8476,-0.5161,-25.1162,SCAN,Waiting
11:53:50,26142.5,26175.03,26137.18,26133.17,26150,53.6,62.6,197958,184567,0,0,1.47,0.4839,-25.1162,0.0028,5.8476,-0.5161,-25.1162,SCAN,Waiting
11:53:54,26141.25,26175.04,26136.76,26132.99,26150,53.65,62.6,197958,184567,0,0,1.47,0.4833,-25.0914,0.0028,5.8472,-0.5167,-25.0914,SCAN,Waiting
11:53:57,26140.55,26175.04,26136.53,26132.89,26150,53.6,62.6,197958,184567,0,0,1.47,0.4833,-25.0914,0.0028,5.8472,-0.5167,-25.0914,SCAN,Waiting
11:54:02,26141.4,26175.04,26136.81,26133.01,26150,53.4,62.4,197958,184567,0,0,1.47,0.4802,-25.1199,0.0027,5.8431,-0.5198,-25.1199,SCAN,Waiting
11:54:07,26140.5,26175.03,26136.51,26132.88,26150,53.2,62.7,197958,184567,0,0,1.47,0.4802,-25.1199,0.0027,5.8431,-0.5198,-25.1199,SCAN,Waiting
11:54:12,26140.55,26175.03,26136.53,26132.89,26150,53.05,63,197958,184567,0,0,1.47,0.4802,-25.1199,0.0027,5.8431,-0.5198,-25.1199,SCAN,Waiting
