Date,Entry Time,Exit Time,Type,Strike,Opt Buy,Opt Sell,Nifty Entry,Nifty Exit,EMA5 Entry,EMA13 Entry,PnL,Balance,Reason
2025-12-22,11:26:01,11:56:25,CE,NSE-NIFTY-23Dec25-26150-CE,50.25,52.2,26127.75,26140.85,26125.4,26124.94,146.25,10146.25,STOP/TRAIL
2025-12-22,11:58:03,11:58:35,PE,NSE-NIFTY-23Dec25-26150-PE,64.5,63.7,26136.35,26137.95,26138.68,26138.73,-60.0,10086.25,REVERSAL
2025-12-22,12:03:02,12:03:04,PE,NSE-NIFTY-23Dec25-26150-PE,63.35,63.35,26138.45,26139.8,26139.22,26139.29,0.0,10086.25,REVERSAL
2025-12-22,12:03:17,12:03:20,PE,NSE-NIFTY-23Dec25-26150-PE,63.05,63.05,26138.75,26139.3,26139.32,26139.33,0.0,10086.25,REVERSAL
2025-12-22,12:12:43,12:17:29,PE,NSE-NIFTY-23Dec25-26150-PE,63.8,61.55,26138.95,26143.8,26141.84,26141.87,-168.75,9917.5,REVERSAL
2025-12-22,12:17:32,12:28:11,CE,NSE-NIFTY-23Dec25-26150-CE,53.2,52.25,26144.35,26142.65,26140.65,26140.46,-71.25,9846.25,REVERSAL
2025-12-22,12:28:14,12:28:19,PE,NSE-NIFTY-23Dec25-26150-PE,63.1,62.6,26142.85,26143.25,26145.1,26145.15,-37.5,9808.75,REVERSAL
2025-12-22,12:28:34,12:28:43,PE,NSE-NIFTY-23Dec25-26150-PE,62.85,62.7,26142.7,26144.25,26145.05,26145.13,-11.25,9797.5,REVERSAL
2025-12-22,12:29:01,12:51:23,PE,NSE-NIFTY-23Dec25-26150-PE,62.65,66.75,26144.2,26129.9,26144.92,26145.08,307.5,10105.0,STOP/TRAIL
2025-12-22,12:53:02,13:08:16,CE,NSE-NIFTY-23Dec25-26150-CE,47.85,48.6,26137.3,26138.0,26131.49,26129.87,56.25,10161.25,REVERSAL
