Date,Entry Time,Exit Time,Type,Strike,Opt Buy,Opt Sell,Nifty Entry,Nifty Exit,EMA5 Entry,EMA13 Entry,PnL,Balance,Reason
2025-12-22,13:56:34,13:56:38,PE,NSE-NIFTY-23Dec25-26150-PE,59.25,59.35,26144.9,26145.65,26146.11,26146.13,7.5,10007.5,REVERSAL
2025-12-22,13:56:47,13:56:55,PE,NSE-NIFTY-23Dec25-26150-PE,59.3,59.3,26144.85,26145.05,26146.09,26146.13,0.0,10007.5,REVERSAL
2025-12-22,13:57:03,13:57:16,PE,NSE-NIFTY-23Dec25-26150-PE,59.0,58.85,26144.4,26145.7,26145.94,26146.06,-11.25,9996.25,REVERSAL
2025-12-22,13:57:22,13:57:28,PE,NSE-NIFTY-23Dec25-26150-PE,58.95,59.05,26145.0,26146.05,26146.14,26146.15,7.5,10003.75,REVERSAL
2025-12-22,13:57:33,13:57:42,PE,NSE-NIFTY-23Dec25-26150-PE,59.3,58.95,26144.0,26145.15,26145.81,26146.0,-26.25,9977.5,REVERSAL
2025-12-22,13:57:45,13:58:34,PE,NSE-NIFTY-23Dec25-26150-PE,58.95,58.5,26145.0,26146.85,26145.83,26146.02,-33.75,9943.75,REVERSAL
2025-12-22,13:58:39,13:58:46,PE,NSE-NIFTY-23Dec25-26150-PE,58.7,58.85,26145.6,26146.4,26146.03,26146.11,11.25,9955.0,REVERSAL
2025-12-22,13:59:11,14:00:09,PE,NSE-NIFTY-23Dec25-26150-PE,58.95,59.15,26145.5,26147.15,26145.99,26146.09,15.0,9970.0,REVERSAL
2025-12-22,14:00:24,14:00:28,CE,NSE-NIFTY-23Dec25-26150-CE,49.7,49.95,26147.6,26146.3,26146.4,26146.23,18.75,9988.75,REVERSAL
2025-12-22,14:00:33,14:08:01,CE,NSE-NIFTY-23Dec25-26150-CE,50.0,45.0,26148.6,26147.1,26146.73,26146.38,-375.0,9613.75,STOP/TRAIL
