Date,Time,Type,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-10-01,10:25,PE,NSE-NIFTY-07Oct25-24650-PE,24658.3,97.75,89.75,-600.0,-650.0,9350.0,SL/TRAIL
2025-10-01,13:00,PE,NSE-NIFTY-07Oct25-24750-PE,24753.0,89.95,81.95,-600.0,-650.0,8700.0,SL/TRAIL
2025-10-01,13:20,CE,NSE-NIFTY-07Oct25-24800-CE,24771.2,111.35,111.9,41.25,-8.75,8691.25,SL/TRAIL
2025-10-01,13:55,CE,NSE-NIFTY-07Oct25-24850-CE,24782.6,93.4,99.3,442.5,392.5,9083.75,SL/TRAIL
2025-10-03,10:30,CE,NSE-NIFTY-07Oct25-24800-CE,24812.3,102.3,94.3,-600.0,-650.0,8433.75,SL/TRAIL
2025-10-03,10:50,PE,NSE-NIFTY-07Oct25-24800-PE,24790.4,75.95,67.95,-600.0,-650.0,7783.75,SL/TRAIL
2025-10-03,11:10,CE,NSE-NIFTY-07Oct25-24800-CE,24802.3,96.9,101.75,363.75,313.75,8097.5,SL/TRAIL
2025-10-03,11:35,CE,NSE-NIFTY-07Oct25-24850-CE,24827.8,80.1,82.15,153.75,103.75,8201.25,SL/TRAIL
2025-10-03,12:35,PE,NSE-NIFTY-07Oct25-24800-PE,24802.1,66.25,58.25,-600.0,-650.0,7551.25,SL/TRAIL
2025-10-06,12:45,CE,NSE-NIFTY-07Oct25-25000-CE,25014.0,69.9,82.3,930.0,880.0,8431.25,SL/TRAIL
2025-10-06,13:30,CE,NSE-NIFTY-07Oct25-25050-CE,25065.8,81.85,82.3,33.75,-16.25,8415.0,SL/TRAIL
2025-10-06,14:30,PE,NSE-NIFTY-07Oct25-25050-PE,25038.2,49.05,41.05,-600.0,-650.0,7765.0,SL/TRAIL
2025-10-06,14:40,CE,NSE-NIFTY-07Oct25-25050-CE,25071.0,79.2,71.2,-600.0,-650.0,7115.0,SL/TRAIL
2025-10-06,14:55,CE,NSE-NIFTY-07Oct25-25100-CE,25077.1,51.1,43.1,-600.0,-650.0,6465.0,SL/TRAIL
2025-10-07,11:05,PE,NSE-NIFTY-07Oct25-25150-PE,25155.3,28.35,29.55,90.0,40.0,6505.0,SL/TRAIL
2025-10-07,12:10,CE,NSE-NIFTY-07Oct25-25150-CE,25161.8,46.55,38.55,-600.0,-650.0,5855.0,SL/TRAIL
2025-10-07,13:40,CE,NSE-NIFTY-07Oct25-25200-CE,25192.1,25.3,27.8,187.5,137.5,5992.5,SL/TRAIL
2025-10-07,14:30,PE,NSE-NIFTY-07Oct25-25150-PE,25152.9,12.95,16.7,281.25,231.25,6223.75,SL/TRAIL
2025-10-07,14:55,PE,NSE-NIFTY-07Oct25-25150-PE,25138.0,17.0,9.0,-600.0,-650.0,5573.75,SL/TRAIL
2025-10-08,12:05,PE,NSE-NIFTY-14Oct25-24950-PE,25033.1,66.5,58.5,-600.0,-650.0,4923.75,SL/TRAIL
2025-10-08,12:50,CE,NSE-NIFTY-14Oct25-25200-CE,25062.5,65.2,65.3,7.5,-42.5,4881.25,SL/TRAIL
2025-10-08,13:35,CE,NSE-NIFTY-14Oct25-25250-CE,25117.7,62.25,54.25,-600.0,-650.0,4231.25,SL/TRAIL
2025-10-08,14:15,PE,NSE-NIFTY-14Oct25-24950-PE,25073.2,49.65,52.4,206.25,156.25,4387.5,SL/TRAIL
2025-10-08,15:00,PE,NSE-NIFTY-14Oct25-24950-PE,25059.7,57.2,56.6,-45.0,-95.0,4292.5,EOD
2025-10-09,10:40,CE,NSE-NIFTY-14Oct25-25250-CE,25099.8,49.45,41.45,-600.0,-650.0,3642.5,SL/TRAIL
2025-10-09,11:00,CE,NSE-NIFTY-14Oct25-25300-CE,25102.0,36.5,44.4,592.5,542.5,4185.0,SL/TRAIL
2025-10-09,12:20,CE,NSE-NIFTY-14Oct25-25300-CE,25154.0,51.8,43.8,-600.0,-650.0,3535.0,SL/TRAIL
2025-10-09,12:45,PE,NSE-NIFTY-14Oct25-25050-PE,25138.1,45.6,37.6,-600.0,-650.0,2885.0,SL/TRAIL
2025-10-09,13:45,CE,NSE-NIFTY-14Oct25-25350-CE,25150.8,34.05,26.05,-600.0,-650.0,2235.0,SL/TRAIL
2025-10-13,10:40,CE,NSE-NIFTY-14Oct25-25350-CE,25212.6,25.2,17.2,-600.0,-650.0,1585.0,SL/TRAIL
2025-10-13,12:00,CE,NSE-NIFTY-14Oct25-25350-CE,25198.4,20.55,25.2,348.75,298.75,1883.75,SL/TRAIL
2025-10-13,14:55,CE,NSE-NIFTY-14Oct25-25400-CE,25253.4,17.35,9.35,-600.0,-650.0,1233.75,SL/TRAIL
2025-10-14,12:10,PE,NSE-NIFTY-14Oct25-25000-PE,25115.4,12.0,11.55,-33.75,-83.75,1150.0,SL/TRAIL
2025-10-14,13:10,PE,NSE-NIFTY-14Oct25-25000-PE,25075.0,15.55,7.55,-600.0,-650.0,500.0,SL/TRAIL
2025-10-14,14:00,CE,NSE-NIFTY-14Oct25-25200-CE,25122.0,6.75,8.9,161.25,111.25,611.25,SL/TRAIL
2025-10-20,11:25,PE,NSE-NIFTY-20Oct25-25650-PE,25848.4,7.2,-0.8,-600.0,-650.0,-38.75,SL/TRAIL
