Date,Time,Type,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-10-01,10:25,PE,NSE-NIFTY-07Oct25-24650-PE,24658.3,97.75,91.75,-450.0,-500.0,9500.0,SL/TRAIL
2025-10-01,13:00,PE,NSE-NIFTY-07Oct25-24750-PE,24753.0,89.95,83.95,-450.0,-500.0,9000.0,SL/TRAIL
2025-10-01,13:20,CE,NSE-NIFTY-07Oct25-24800-CE,24771.2,111.35,111.5,11.25,-38.75,8961.25,SL/TRAIL
2025-10-01,13:55,CE,NSE-NIFTY-07Oct25-24850-CE,24782.6,93.4,87.4,-450.0,-500.0,8461.25,SL/TRAIL
2025-10-03,10:30,CE,NSE-NIFTY-07Oct25-24800-CE,24812.3,102.3,102.8,37.5,-12.5,8448.75,SL/TRAIL
2025-10-03,10:50,PE,NSE-NIFTY-07Oct25-24800-PE,24790.4,75.95,69.95,-450.0,-500.0,7948.75,SL/TRAIL
2025-10-03,11:10,CE,NSE-NIFTY-07Oct25-24800-CE,24802.3,96.9,100.55,273.75,223.75,8172.5,SL/TRAIL
2025-10-03,11:35,CE,NSE-NIFTY-07Oct25-24850-CE,24827.8,80.1,74.1,-450.0,-500.0,7672.5,SL/TRAIL
2025-10-03,12:35,PE,NSE-NIFTY-07Oct25-24800-PE,24802.1,66.25,60.25,-450.0,-500.0,7172.5,SL/TRAIL
2025-10-06,12:45,CE,NSE-NIFTY-07Oct25-25000-CE,25014.0,69.9,71.55,123.75,73.75,7246.25,SL/TRAIL
2025-10-06,13:30,CE,NSE-NIFTY-07Oct25-25050-CE,25065.8,81.85,83.85,150.0,100.0,7346.25,SL/TRAIL
2025-10-06,14:30,PE,NSE-NIFTY-07Oct25-25050-PE,25038.2,49.05,43.05,-450.0,-500.0,6846.25,SL/TRAIL
2025-10-06,14:40,CE,NSE-NIFTY-07Oct25-25050-CE,25071.0,79.2,73.2,-450.0,-500.0,6346.25,SL/TRAIL
2025-10-06,14:55,CE,NSE-NIFTY-07Oct25-25100-CE,25077.1,51.1,45.1,-450.0,-500.0,5846.25,SL/TRAIL
2025-10-07,11:05,PE,NSE-NIFTY-07Oct25-25150-PE,25155.3,28.35,32.55,315.0,265.0,6111.25,SL/TRAIL
2025-10-07,12:10,CE,NSE-NIFTY-07Oct25-25150-CE,25161.8,46.55,40.55,-450.0,-500.0,5611.25,SL/TRAIL
2025-10-07,13:40,CE,NSE-NIFTY-07Oct25-25200-CE,25192.1,25.3,30.8,412.5,362.5,5973.75,SL/TRAIL
2025-10-07,14:30,PE,NSE-NIFTY-07Oct25-25150-PE,25152.9,12.95,6.95,-450.0,-500.0,5473.75,SL/TRAIL
2025-10-07,14:55,PE,NSE-NIFTY-07Oct25-25150-PE,25138.0,17.0,11.0,-450.0,-500.0,4973.75,SL/TRAIL
2025-10-08,12:05,PE,NSE-NIFTY-14Oct25-24950-PE,25033.1,66.5,60.5,-450.0,-500.0,4473.75,SL/TRAIL
2025-10-08,12:50,CE,NSE-NIFTY-14Oct25-25250-CE,25062.5,49.9,50.8,67.5,17.5,4491.25,SL/TRAIL
2025-10-08,13:35,CE,NSE-NIFTY-14Oct25-25300-CE,25117.7,47.25,41.25,-450.0,-500.0,3991.25,SL/TRAIL
2025-10-08,14:15,PE,NSE-NIFTY-14Oct25-24950-PE,25073.2,49.65,50.95,97.5,47.5,4038.75,SL/TRAIL
2025-10-08,15:00,PE,NSE-NIFTY-14Oct25-24900-PE,25059.7,43.8,42.6,-90.0,-140.0,3898.75,EOD
2025-10-09,10:40,CE,NSE-NIFTY-14Oct25-25250-CE,25099.8,49.45,43.45,-450.0,-500.0,3398.75,SL/TRAIL
2025-10-09,11:00,CE,NSE-NIFTY-14Oct25-25300-CE,25102.0,36.5,37.65,86.25,36.25,3435.0,SL/TRAIL
2025-10-09,12:20,CE,NSE-NIFTY-14Oct25-25350-CE,25154.0,37.1,31.1,-450.0,-500.0,2935.0,SL/TRAIL
2025-10-09,12:45,PE,NSE-NIFTY-14Oct25-25000-PE,25138.1,34.9,28.9,-450.0,-500.0,2435.0,SL/TRAIL
2025-10-09,14:20,PE,NSE-NIFTY-14Oct25-24950-PE,25130.6,25.95,19.95,-450.0,-500.0,1935.0,SL/TRAIL
2025-10-13,10:40,CE,NSE-NIFTY-14Oct25-25350-CE,25212.6,25.2,19.2,-450.0,-500.0,1435.0,SL/TRAIL
2025-10-13,10:55,PE,NSE-NIFTY-14Oct25-25000-PE,25193.6,19.35,21.85,187.5,137.5,1572.5,SL/TRAIL
2025-10-13,12:00,CE,NSE-NIFTY-14Oct25-25350-CE,25198.4,20.55,14.55,-450.0,-500.0,1072.5,SL/TRAIL
2025-10-13,12:40,CE,NSE-NIFTY-14Oct25-25400-CE,25189.0,11.2,14.65,258.75,208.75,1281.25,SL/TRAIL
2025-10-13,14:55,CE,NSE-NIFTY-14Oct25-25400-CE,25253.4,17.35,11.35,-450.0,-500.0,781.25,SL/TRAIL
2025-10-14,12:10,PE,NSE-NIFTY-14Oct25-24950-PE,25115.4,6.65,0.65,-450.0,-500.0,281.25,SL/TRAIL
