Entry_Time,Exit_Time,Symbol,Type,Spot_Entry,Spot_Exit,Opt_Entry,Opt_Exit,PnL,Balance,Exit_Reason,Duration_Mins
2025-12-15 10:35:00,2025-12-15 10:43:00,NSE-NIFTY-16Dec25-25950-PE,PE,25973.8,25966.8,59.3,60.35,78.75000000000031,10078.75,SL Hit,8
2025-12-15 11:05:00,2025-12-15 11:09:00,NSE-NIFTY-16Dec25-26000-PE,PE,25984.15,25977.35,80.0,83.0,225.0,10303.75,SL Hit,4
2025-12-15 12:35:00,2025-12-15 12:40:00,NSE-NIFTY-16Dec25-26050-PE,PE,26025.85,26021.1,77.15,79.6,183.74999999999915,10487.5,SL Hit,5
2025-12-15 12:55:00,2025-12-15 12:57:00,NSE-NIFTY-16Dec25-26000-PE,PE,26015.6,26010.65,55.55,57.15,120.00000000000011,10607.5,SL Hit,2
2025-12-16 11:05:00,2025-12-16 11:09:00,NSE-NIFTY-16Dec25-25900-CE,CE,25899.8,25903.75,38.55,41.3,206.25,10813.75,SL Hit,4
2025-12-16 11:45:00,2025-12-16 12:26:00,NSE-NIFTY-16Dec25-25900-CE,CE,25877.2,25898.2,26.4,29.4,225.0,11038.75,SL Hit,41
2025-12-17 10:55:00,2025-12-17 11:32:00,NSE-NIFTY-23Dec25-25800-CE,CE,25807.6,25813.0,144.5,147.5,225.0,11263.75,SL Hit,37
2025-12-17 13:00:00,2025-12-17 13:36:00,NSE-NIFTY-23Dec25-25800-CE,CE,25781.65,25789.55,130.3,132.2,142.4999999999983,11406.249999999998,SL Hit,36
2025-12-18 11:15:00,2025-12-18 11:20:00,NSE-NIFTY-23Dec25-25850-PE,PE,25830.3,25835.4,97.95,93.65,-322.4999999999998,11083.749999999998,SL Hit,5
2025-12-18 12:15:00,2025-12-18 12:34:00,NSE-NIFTY-23Dec25-25900-PE,PE,25877.35,25887.5,95.35,90.45,-367.4999999999994,10716.249999999998,SL Hit,19
2025-12-18 12:45:00,2025-12-18 15:20:00,NSE-NIFTY-23Dec25-25900-PE,PE,25897.7,25818.85,88.5,134.15,3423.7500000000005,14139.999999999998,EOD Force,155
2025-12-19 12:00:00,2025-12-19 12:05:00,NSE-NIFTY-23Dec25-25900-CE,CE,25924.35,25935.65,104.9,107.7,209.99999999999977,14349.999999999998,SL Hit,5
2025-12-19 14:25:00,2025-12-19 14:38:00,NSE-NIFTY-23Dec25-26000-PE,PE,25983.15,25975.2,86.1,87.65,116.25000000000085,14466.249999999998,SL Hit,13
