Time,Px,VWAP,EMA9,RSI,OI_Chg,Action,Reason
2025-12-15T09:20:00,212.35,224.5,217.6,0,-67017.0,SCAN,No Setup
2025-12-15T09:25:00,208.0,221.4,213.7,0,70878.0,SCAN,No Setup
2025-12-15T09:30:00,208.05,219.5,211.8,0,2444.0,SCAN,No Setup
2025-12-15T09:35:00,211.35,218.7,211.7,0,-70746.0,SCAN,No Setup
2025-12-15T09:40:00,206.35,217.7,210.2,0,72334.0,SCAN,No Setup
2025-12-15T09:45:00,215.25,217.0,211.5,0,1120.0,SCAN,No Setup
2025-12-15T09:50:00,213.3,216.7,211.9,0,-72308.0,SCAN,No Setup
2025-12-15T09:55:00,218.75,216.7,213.5,0,74093.0,SCAN,No Setup
2025-12-15T10:00:00,220.9,216.8,215.2,0,-58.0,BUY,Short Covering Detected
2025-12-15T11:00:00,230.7,220.1,228.6,0,2.0,SCAN,No Setup
2025-12-15T11:05:00,223.6,220.2,227.6,0,-73612.0,SCAN,No Setup
2025-12-15T11:10:00,227.95,220.3,227.7,0,73109.0,SCAN,No Setup
2025-12-15T11:15:00,225.0,220.3,227.1,0,18.0,SCAN,No Setup
2025-12-15T11:20:00,226.55,220.4,227.0,0,-73218.0,SCAN,No Setup
2025-12-15T11:25:00,234.7,220.8,228.6,0,73272.0,SCAN,No Setup
2025-12-15T11:30:00,218.6,220.9,226.6,0,-480.0,SCAN,No Setup
2025-12-15T11:35:00,220.0,220.8,225.3,0,-72771.0,SCAN,No Setup
2025-12-15T11:40:00,221.5,220.8,224.5,0,73426.0,SCAN,No Setup
2025-12-15T11:45:00,236.5,221.1,226.9,0,-125.0,BUY,Short Covering Detected
2025-12-15T12:45:00,251.0,228.1,251.1,0,-71283.0,SCAN,No Setup
2025-12-15T12:50:00,252.15,228.3,251.3,0,71386.0,SCAN,No Setup
2025-12-15T12:55:00,253.05,228.4,251.7,0,-121.0,BUY,Short Covering Detected
2025-12-15T13:20:00,263.35,230.0,257.8,0,70667.0,SCAN,No Setup
2025-12-15T13:25:00,254.05,230.2,257.0,0,-76.0,SCAN,No Setup
2025-12-15T13:30:00,260.75,230.5,257.8,0,-70625.0,BUY,Short Covering Detected
