EntryTime,ExitTime,EntryPx,ExitPx,PnL,ExitType
2025-12-15T10:00:00,2025-12-15T10:55:00,220.9,229.95,678.7499999999987,SL Hit
2025-12-15T11:45:00,2025-12-15T12:40:00,236.5,247.55,828.7500000000009,SL Hit
2025-12-15T12:55:00,2025-12-15T13:15:00,253.05,257.35,322.50000000000085,SL Hit
2025-12-15T13:30:00,2025-12-15T14:05:00,260.75,246.6,-1061.2500000000005,SL Hit
2025-12-15T14:40:00,2025-12-15T15:00:00,262.95,251.85,-832.4999999999995,SL Hit
2025-12-15T15:10:00,2025-12-16T09:15:00,257.45,201.0,-4233.749999999999,SL Hit
2025-12-19T09:30:00,2025-12-19T09:45:00,169.65,158.0,-873.7500000000005,SL Hit
2025-12-19T09:50:00,2025-12-19T10:10:00,165.35,152.2,-986.2500000000005,SL Hit
2025-12-19T10:30:00,2025-12-19T11:20:00,163.0,152.25,-806.25,SL Hit
2025-12-19T13:40:00,2025-12-19T15:30:00,156.15,165.0,663.7499999999995,EOD
