Time_Entry,Time_Exit,Strike,Entry_Px,Exit_Px,PnL,Balance,Reason
2025-12-15T10:20:00,2025-12-15T11:20:00,NSE-NIFTY-16Dec25-26050-CE,35.95,35.0,-71.25000000000021,9928.75,Time Exit
2025-12-15T10:30:00,2025-12-15T10:40:00,NSE-NIFTY-16Dec25-26050-CE,38.1,28.4,-727.5000000000002,9201.25,SL Hit
2025-12-15T10:45:00,2025-12-15T11:45:00,NSE-NIFTY-16Dec25-26050-CE,33.75,32.65,-82.50000000000011,9118.75,Time Exit
2025-12-15T10:50:00,2025-12-15T11:34:00,NSE-NIFTY-16Dec25-26050-CE,40.7,31.3,-705.0000000000001,8413.75,SL Hit
2025-12-15T11:00:00,2025-12-15T11:34:00,NSE-NIFTY-16Dec25-26050-CE,40.6,31.3,-697.5,7716.25,SL Hit
2025-12-15T11:45:00,2025-12-15T12:42:00,NSE-NIFTY-16Dec25-26100-CE,19.3,29.75,783.75,8500.0,SL Hit
2025-12-15T11:55:00,2025-12-15T12:55:00,NSE-NIFTY-16Dec25-26100-CE,32.2,33.1,67.49999999999989,8567.5,Time Exit
2025-12-15T12:00:00,2025-12-15T13:00:00,NSE-NIFTY-16Dec25-26100-CE,35.1,33.0,-157.5000000000001,8410.0,Time Exit
2025-12-15T12:30:00,2025-12-15T13:30:00,NSE-NIFTY-16Dec25-26100-CE,34.6,31.75,-213.7500000000001,8196.25,Time Exit
2025-12-15T12:55:00,2025-12-15T13:55:00,NSE-NIFTY-16Dec25-26100-CE,32.4,32.75,26.250000000000107,8222.5,Time Exit
2025-12-15T13:00:00,2025-12-15T14:00:00,NSE-NIFTY-16Dec25-26100-CE,32.45,30.35,-157.5000000000001,8065.0,Time Exit
2025-12-15T13:30:00,2025-12-15T14:30:00,NSE-NIFTY-16Dec25-26100-CE,31.45,26.9,-341.25000000000006,7723.75,Time Exit
2025-12-15T13:45:00,2025-12-15T14:45:00,NSE-NIFTY-16Dec25-26100-CE,31.0,34.2,240.00000000000023,7963.75,Time Exit
2025-12-15T14:00:00,2025-12-15T15:00:00,NSE-NIFTY-16Dec25-26100-CE,29.35,30.6,93.75,8057.5,Time Exit
2025-12-15T14:45:00,2025-12-15T15:30:00,NSE-NIFTY-16Dec25-26100-CE,33.65,28.25,-404.9999999999999,7652.5,Time Exit
2025-12-15T14:55:00,2025-12-15T15:30:00,NSE-NIFTY-16Dec25-26100-CE,30.95,28.25,-202.49999999999994,7450.0,Time Exit
2025-12-15T15:05:00,2025-12-15T15:30:00,NSE-NIFTY-16Dec25-26100-CE,28.1,28.25,11.249999999999893,7461.25,Time Exit
2025-12-15T15:20:00,2025-12-15T15:30:00,NSE-NIFTY-16Dec25-26100-CE,26.8,28.25,108.74999999999994,7570.0,Time Exit
2025-12-19T09:20:00,2025-12-19T09:48:00,NSE-NIFTY-23Dec25-26000-CE,66.3,76.65,776.2500000000007,8346.25,SL Hit
2025-12-19T09:30:00,2025-12-19T10:06:00,NSE-NIFTY-23Dec25-26050-CE,56.85,47.15,-727.5000000000002,7618.75,SL Hit
2025-12-19T09:35:00,2025-12-19T09:49:00,NSE-NIFTY-23Dec25-26000-CE,83.1,73.3,-734.9999999999998,6883.75,SL Hit
2025-12-19T09:50:00,2025-12-19T10:50:00,NSE-NIFTY-23Dec25-26000-CE,73.35,77.6,318.75,7202.5,Time Exit
2025-12-19T10:00:00,2025-12-19T10:05:00,NSE-NIFTY-23Dec25-26000-CE,78.0,69.1,-667.5000000000005,6535.0,SL Hit
2025-12-19T10:15:00,2025-12-19T10:56:00,NSE-NIFTY-23Dec25-26000-CE,65.7,75.05,701.2499999999995,7236.25,SL Hit
2025-12-19T10:30:00,2025-12-19T11:24:00,NSE-NIFTY-23Dec25-26000-CE,74.65,65.1,-716.2500000000009,6519.999999999999,SL Hit
2025-12-19T10:35:00,2025-12-19T11:20:00,NSE-NIFTY-23Dec25-26000-CE,74.95,66.8,-611.2500000000005,5908.749999999998,SL Hit
2025-12-19T10:45:00,2025-12-19T10:57:00,NSE-NIFTY-23Dec25-26000-CE,80.3,70.3,-750.0,5158.749999999998,SL Hit
2025-12-19T10:50:00,2025-12-19T11:24:00,NSE-NIFTY-23Dec25-26050-CE,54.7,45.65,-678.7500000000003,4479.999999999998,SL Hit
2025-12-19T12:00:00,2025-12-19T12:50:00,NSE-NIFTY-23Dec25-26000-CE,53.9,59.6,427.5000000000002,4907.499999999998,SL Hit
2025-12-19T12:30:00,2025-12-19T13:30:00,NSE-NIFTY-23Dec25-26000-CE,55.35,61.6,468.75,5376.249999999998,Time Exit
2025-12-19T12:40:00,2025-12-19T13:06:00,NSE-NIFTY-23Dec25-26000-CE,65.15,56.95,-615.0000000000002,4761.249999999998,SL Hit
2025-12-19T12:45:00,2025-12-19T13:12:00,NSE-NIFTY-23Dec25-26000-CE,63.6,53.0,-795.0000000000001,3966.249999999998,SL Hit
2025-12-19T13:15:00,2025-12-19T13:54:00,NSE-NIFTY-23Dec25-26000-CE,53.15,64.65,862.5000000000006,4828.749999999999,SL Hit
2025-12-19T13:25:00,2025-12-19T14:25:00,NSE-NIFTY-23Dec25-26000-CE,59.9,70.0,757.5000000000001,5586.249999999999,Time Exit
2025-12-19T13:30:00,2025-12-19T14:26:00,NSE-NIFTY-23Dec25-26000-CE,62.55,68.75,465.0000000000002,6051.249999999999,SL Hit
2025-12-19T13:40:00,2025-12-19T14:26:00,NSE-NIFTY-23Dec25-26000-CE,63.85,68.75,367.4999999999999,6418.749999999999,SL Hit
2025-12-19T13:45:00,2025-12-19T14:45:00,NSE-NIFTY-23Dec25-26000-CE,67.7,67.05,-48.750000000000426,6369.999999999999,Time Exit
2025-12-19T13:50:00,2025-12-19T14:50:00,NSE-NIFTY-23Dec25-26000-CE,66.5,65.65,-63.749999999999574,6306.249999999999,Time Exit
2025-12-19T14:15:00,2025-12-19T15:15:00,NSE-NIFTY-23Dec25-26050-CE,43.2,43.2,0.0,6306.249999999999,Time Exit
2025-12-19T14:45:00,2025-12-19T15:30:00,NSE-NIFTY-23Dec25-26050-CE,46.1,46.5,29.999999999999893,6336.249999999999,Time Exit
2025-12-19T15:00:00,2025-12-19T15:30:00,NSE-NIFTY-23Dec25-26000-CE,63.05,68.35,397.4999999999998,6733.749999999999,Time Exit
2025-12-19T15:10:00,2025-12-19T15:30:00,NSE-NIFTY-23Dec25-26050-CE,46.1,46.5,29.999999999999893,6763.749999999999,Time Exit
2025-12-19T15:15:00,2025-12-19T15:30:00,NSE-NIFTY-23Dec25-26050-CE,45.4,46.5,82.50000000000011,6846.249999999999,Time Exit
2025-12-19T15:25:00,2025-12-19T15:30:00,NSE-NIFTY-23Dec25-26050-CE,44.3,46.5,165.00000000000023,7011.249999999999,Time Exit
