Date,Type,Symbol,Entry,Exit,GrossPnL,NetPnL,Balance,Reason
2025-10-01,PE,NSE-NIFTY-07Oct25-24650-PE,93.8,95.8,150.0,100.0,10100.0,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24650-CE,129.15,149.75,1545.0,1495.0,11595.0,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24750-PE,85.25,86.15,67.5,17.5,11612.5,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24750-CE,142.7,135.7,-525.0,-575.0,11037.5,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24800-CE,112.55,116.75,315.0,265.0,11302.5,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,92.3,100.7,630.0,580.0,11882.5,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,84.65,77.65,-525.0,-575.0,11307.5,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,95.9,95.3,-45.0,-95.0,11212.5,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24850-CE,74.15,78.65,337.5,287.5,11500.0,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,57.5,62.9,405.0,355.0,11855.0,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25000-CE,67.6,67.8,15.0,-35.0,11820.0,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25050-CE,67.8,91.3,1762.5,1712.5,13532.5,SL/TRAIL
2025-10-06,PE,NSE-NIFTY-07Oct25-25050-PE,43.1,45.0,142.5,92.5,13625.0,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25050-CE,77.85,70.85,-525.0,-575.0,13050.0,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25100-CE,43.55,50.05,487.5,437.5,13487.5,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,29.65,29.4,-18.75,-68.75,13418.75,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,32.3,58.0,1927.5,1877.5,15296.25,SL/TRAIL
2025-10-07,CE,NSE-NIFTY-07Oct25-25150-CE,46.2,47.15,71.25,21.25,15317.5,SL/TRAIL
2025-10-07,CE,NSE-NIFTY-07Oct25-25200-CE,17.4,30.45,978.75,928.75,16246.25,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,10.9,13.35,183.75,133.75,16380.0,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25050-PE,98.35,104.1,431.25,381.25,16761.25,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25050-CE,123.05,130.0,521.25,471.25,17232.5,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25100-CE,118.4,130.9,937.5,887.5,18120.0,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25050-PE,84.55,77.55,-525.0,-575.0,17545.0,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25050-PE,93.45,94.0,41.25,-8.75,17536.25,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25100-CE,112.15,113.0,63.75,13.75,17550.0,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25100-CE,105.9,128.25,1676.25,1626.25,19176.25,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25150-CE,123.65,116.65,-525.0,-575.0,18601.25,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25150-PE,80.55,73.55,-525.0,-575.0,18026.25,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25150-CE,108.55,114.0,408.75,358.75,18385.0,SL/TRAIL
2025-10-13,CE,NSE-NIFTY-14Oct25-25200-CE,82.65,83.05,30.0,-20.0,18365.0,SL/TRAIL
2025-10-13,PE,NSE-NIFTY-14Oct25-25200-PE,69.25,72.3,228.75,178.75,18543.75,SL/TRAIL
2025-10-13,CE,NSE-NIFTY-14Oct25-25200-CE,69.05,62.05,-525.0,-575.0,17968.75,SL/TRAIL
2025-10-13,PE,NSE-NIFTY-14Oct25-25200-PE,69.5,70.4,67.5,17.5,17986.25,SL/TRAIL
2025-10-13,CE,NSE-NIFTY-14Oct25-25200-CE,62.7,70.3,570.0,520.0,18506.25,SL/TRAIL
2025-10-14,PE,NSE-NIFTY-14Oct25-25100-PE,28.25,39.35,832.5,782.5,19288.75,SL/TRAIL
2025-10-14,PE,NSE-NIFTY-14Oct25-25050-PE,22.5,26.95,333.75,283.75,19572.5,SL/TRAIL
2025-10-14,CE,NSE-NIFTY-14Oct25-25150-CE,19.7,21.05,101.25,51.25,19623.75,SL/TRAIL
2025-10-14,CE,NSE-NIFTY-14Oct25-25100-CE,36.6,42.65,453.75,403.75,20027.5,SL/TRAIL
2025-10-14,CE,NSE-NIFTY-14Oct25-25150-CE,10.0,15.8,435.0,385.0,20412.5,SL/TRAIL
2025-10-15,CE,NSE-NIFTY-20Oct25-25300-CE,144.65,167.55,1717.5,1667.5,22080.0,SL/TRAIL
2025-10-15,CE,NSE-NIFTY-20Oct25-25300-CE,158.3,151.3,-525.0,-575.0,21505.0,SL/TRAIL
2025-10-15,PE,NSE-NIFTY-20Oct25-25300-PE,80.7,81.0,22.5,-27.5,21477.5,SL/TRAIL
2025-10-15,CE,NSE-NIFTY-20Oct25-25300-CE,145.1,150.65,416.25,366.25,21843.75,SL/TRAIL
2025-10-15,CE,NSE-NIFTY-20Oct25-25350-CE,134.3,142.1,585.0,535.0,22378.75,SL/TRAIL
2025-10-16,PE,NSE-NIFTY-20Oct25-25450-PE,71.4,71.5,7.5,-42.5,22336.25,SL/TRAIL
2025-10-16,CE,NSE-NIFTY-20Oct25-25450-CE,118.2,127.8,720.0,670.0,23006.25,SL/TRAIL
2025-10-16,CE,NSE-NIFTY-20Oct25-25500-CE,121.9,126.5,345.0,295.0,23301.25,SL/TRAIL
2025-10-16,CE,NSE-NIFTY-20Oct25-25500-CE,123.1,124.2,82.5,32.5,23333.75,SL/TRAIL
2025-10-16,CE,NSE-NIFTY-20Oct25-25500-CE,129.35,132.65,247.5,197.5,23531.25,SL/TRAIL
2025-10-17,PE,NSE-NIFTY-20Oct25-25750-PE,84.85,89.8,371.25,321.25,23852.5,SL/TRAIL
2025-10-17,CE,NSE-NIFTY-20Oct25-25700-CE,79.0,93.4,1080.0,1030.0,24882.5,SL/TRAIL
2025-10-17,CE,NSE-NIFTY-20Oct25-25700-CE,93.8,118.5,1852.5,1802.5,26685.0,SL/TRAIL
2025-10-20,PE,NSE-NIFTY-20Oct25-25850-PE,55.0,72.45,1308.75,1258.75,27943.75,SL/TRAIL
2025-10-20,CE,NSE-NIFTY-20Oct25-25850-CE,58.4,67.65,693.75,643.75,28587.5,SL/TRAIL
2025-10-20,PE,NSE-NIFTY-20Oct25-25850-PE,52.2,45.2,-525.0,-575.0,28012.5,SL/TRAIL
2025-10-20,CE,NSE-NIFTY-20Oct25-25850-CE,39.55,38.6,-71.25,-121.25,27891.25,SL/TRAIL
2025-10-20,PE,NSE-NIFTY-20Oct25-25850-PE,12.65,22.0,701.25,651.25,28542.5,SL/TRAIL
2025-10-23,CE,NSE-NIFTY-28Oct25-26100-CE,142.95,146.55,270.0,220.0,28762.5,SL/TRAIL
2025-10-23,PE,NSE-NIFTY-28Oct25-26050-PE,89.65,82.65,-525.0,-575.0,28187.5,SL/TRAIL
2025-10-23,PE,NSE-NIFTY-28Oct25-26050-PE,84.15,90.2,453.75,403.75,28591.25,SL/TRAIL
2025-10-23,PE,NSE-NIFTY-28Oct25-26050-PE,85.9,85.25,-48.75,-98.75,28492.5,SL/TRAIL
2025-10-23,CE,NSE-NIFTY-28Oct25-26050-CE,171.0,182.0,825.0,775.0,29267.5,SL/TRAIL
2025-10-24,PE,NSE-NIFTY-28Oct25-25800-PE,77.6,80.05,183.75,133.75,29401.25,SL/TRAIL
2025-10-24,CE,NSE-NIFTY-28Oct25-25850-CE,120.2,121.55,101.25,51.25,29452.5,SL/TRAIL
2025-10-24,PE,NSE-NIFTY-28Oct25-25800-PE,63.3,66.5,240.0,190.0,29642.5,SL/TRAIL
2025-10-24,CE,NSE-NIFTY-28Oct25-25850-CE,118.3,131.2,967.5,917.5,30560.0,SL/TRAIL
2025-10-24,CE,NSE-NIFTY-28Oct25-25850-CE,118.8,120.15,101.25,51.25,30611.25,SL/TRAIL
2025-10-27,CE,NSE-NIFTY-28Oct25-25950-CE,126.85,139.8,971.25,921.25,31532.5,SL/TRAIL
2025-10-27,CE,NSE-NIFTY-28Oct25-26000-CE,105.55,106.8,93.75,43.75,31576.25,SL/TRAIL
2025-10-27,PE,NSE-NIFTY-28Oct25-25950-PE,51.55,51.0,-41.25,-91.25,31485.0,SL/TRAIL
2025-10-27,PE,NSE-NIFTY-28Oct25-25950-PE,56.0,69.75,1031.25,981.25,32466.25,SL/TRAIL
2025-10-27,CE,NSE-NIFTY-28Oct25-25950-CE,106.35,99.35,-525.0,-575.0,31891.25,SL/TRAIL
