Date,Type,Symbol,Entry,Exit,GrossPnL,NetPnL,Balance,Reason
2025-10-01,PE,NSE-NIFTY-07Oct25-24650-PE,93.8,93.0,-60.0,-110.0,9890.0,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24650-CE,129.15,146.75,1320.0,1270.0,11160.0,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24750-PE,85.25,83.85,-105.0,-155.0,11005.0,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24750-CE,142.7,133.7,-675.0,-725.0,10280.0,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24800-CE,112.55,113.75,90.0,40.0,10320.0,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24850-CE,106.95,108.9,146.25,96.25,10416.25,EOD
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,92.3,99.1,510.0,460.0,10876.25,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,84.65,75.65,-675.0,-725.0,10151.25,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,95.9,104.7,660.0,610.0,10761.25,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24850-CE,74.15,75.7,116.25,66.25,10827.5,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,57.5,59.9,180.0,130.0,10957.5,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24850-CE,74.25,78.85,345.0,295.0,11252.5,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24850-CE,78.7,78.85,11.25,-38.75,11213.75,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,55.85,55.4,-33.75,-83.75,11130.0,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24850-CE,70.2,70.75,41.25,-8.75,11121.25,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,57.55,48.55,-675.0,-725.0,10396.25,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25000-CE,67.6,127.6,4500.0,4450.0,14846.25,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25050-CE,67.8,88.3,1537.5,1487.5,16333.75,SL/TRAIL
2025-10-06,PE,NSE-NIFTY-07Oct25-25050-PE,43.1,42.0,-82.5,-132.5,16201.25,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25050-CE,77.85,78.2,26.25,-23.75,16177.5,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25100-CE,43.55,47.05,262.5,212.5,16390.0,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25100-CE,50.05,41.05,-675.0,-725.0,15665.0,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,29.65,55.0,1901.25,1851.25,17516.25,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,32.3,55.0,1702.5,1652.5,19168.75,SL/TRAIL
2025-10-07,CE,NSE-NIFTY-07Oct25-25150-CE,46.2,37.2,-675.0,-725.0,18443.75,SL/TRAIL
2025-10-07,CE,NSE-NIFTY-07Oct25-25200-CE,17.4,32.55,1136.25,1086.25,19530.0,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,10.9,40.8,2242.5,2192.5,21722.5,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25050-PE,98.35,101.1,206.25,156.25,21878.75,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25050-CE,123.05,127.0,296.25,246.25,22125.0,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25100-CE,118.4,127.9,712.5,662.5,22787.5,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25050-PE,84.55,82.6,-146.25,-196.25,22591.25,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25050-PE,93.45,96.85,255.0,205.0,22796.25,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25100-CE,112.15,111.75,-30.0,-80.0,22716.25,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25100-CE,105.9,125.25,1451.25,1401.25,24117.5,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25150-CE,123.65,114.65,-675.0,-725.0,23392.5,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25150-PE,80.55,71.55,-675.0,-725.0,22667.5,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25150-CE,108.55,111.0,183.75,133.75,22801.25,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25150-PE,73.1,75.0,142.5,92.5,22893.75,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25150-PE,79.55,70.55,-675.0,-725.0,22168.75,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25150-CE,105.4,116.35,821.25,771.25,22940.0,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25150-CE,116.3,122.5,465.0,415.0,23355.0,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25150-PE,72.0,78.45,483.75,433.75,23788.75,SL/TRAIL
2025-10-13,CE,NSE-NIFTY-14Oct25-25200-CE,82.65,73.65,-675.0,-725.0,23063.75,SL/TRAIL
2025-10-13,PE,NSE-NIFTY-14Oct25-25200-PE,69.25,70.3,78.75,28.75,23092.5,SL/TRAIL
2025-10-13,CE,NSE-NIFTY-14Oct25-25200-CE,69.05,60.05,-675.0,-725.0,22367.5,SL/TRAIL
2025-10-13,PE,NSE-NIFTY-14Oct25-25200-PE,69.5,60.5,-675.0,-725.0,21642.5,SL/TRAIL
2025-10-13,CE,NSE-NIFTY-14Oct25-25200-CE,62.7,67.3,345.0,295.0,21937.5,SL/TRAIL
2025-10-13,PE,NSE-NIFTY-14Oct25-25150-PE,41.9,32.9,-675.0,-725.0,21212.5,SL/TRAIL
