Date,Entry_Time,Exit_Time,Type,Symbol,Nifty_Entry,Nifty_Exit,Opt_Entry,Opt_Exit,GrossPnL,NetPnL,Balance,Reason
2025-10-01,10:20:00,10:29:00,PE,NSE-NIFTY-07Oct25-24650-PE,24657.15,24663.45,93.8,93.0,-60.0,-110.0,9890.0,SL/TRAIL
2025-10-01,10:25:00,10:39:00,CE,NSE-NIFTY-07Oct25-24650-CE,24663.45,24670.4,129.15,146.75,1320.0,1270.0,11160.0,SL/TRAIL
2025-10-01,12:55:00,13:13:00,PE,NSE-NIFTY-07Oct25-24750-PE,24753.5,24773.1,85.25,83.85,-105.0,-155.0,11005.0,SL/TRAIL
2025-10-01,13:15:00,13:16:00,CE,NSE-NIFTY-07Oct25-24750-CE,24771.3,24760.8,142.7,133.7,-675.0,-725.0,10280.0,SL/TRAIL
2025-10-01,13:50:00,13:57:00,CE,NSE-NIFTY-07Oct25-24800-CE,24782.95,24776.0,112.55,113.75,90.0,40.0,10320.0,SL/TRAIL
2025-10-01,15:15:00,15:30:00,CE,NSE-NIFTY-07Oct25-24850-CE,24839.7,24850.55,106.95,108.9,146.25,96.25,10416.25,EOD
2025-10-03,10:25:00,10:41:00,CE,NSE-NIFTY-07Oct25-24800-CE,24812.6,24803.2,92.3,99.1,510.0,460.0,10876.25,SL/TRAIL
2025-10-03,10:45:00,10:48:00,PE,NSE-NIFTY-07Oct25-24800-PE,24791.0,24790.65,84.65,75.65,-675.0,-725.0,10151.25,SL/TRAIL
2025-10-03,11:05:00,11:18:00,CE,NSE-NIFTY-07Oct25-24800-CE,24802.9,24822.6,95.9,104.7,660.0,610.0,10761.25,SL/TRAIL
2025-10-03,11:30:00,11:45:00,CE,NSE-NIFTY-07Oct25-24850-CE,24827.35,24812.35,74.15,75.7,116.25,66.25,10827.5,SL/TRAIL
2025-10-03,12:30:00,12:37:00,PE,NSE-NIFTY-07Oct25-24800-PE,24803.05,24814.4,57.5,59.9,180.0,130.0,10957.5,SL/TRAIL
2025-10-03,12:45:00,13:23:00,CE,NSE-NIFTY-07Oct25-24850-CE,24825.3,24836.8,74.25,78.85,345.0,295.0,11252.5,SL/TRAIL
2025-10-03,13:05:00,13:23:00,CE,NSE-NIFTY-07Oct25-24850-CE,24842.7,24836.8,78.7,78.85,11.25,-38.75,11213.75,SL/TRAIL
2025-10-03,13:35:00,14:17:00,PE,NSE-NIFTY-07Oct25-24800-PE,24814.3,24823.65,55.85,55.4,-33.75,-83.75,11130.0,SL/TRAIL
2025-10-03,13:50:00,14:09:00,CE,NSE-NIFTY-07Oct25-24850-CE,24832.7,24825.7,70.2,70.75,41.25,-8.75,11121.25,SL/TRAIL
2025-10-03,14:10:00,14:35:00,PE,NSE-NIFTY-07Oct25-24800-PE,24809.05,24842.95,57.55,48.55,-675.0,-725.0,10396.25,SL/TRAIL
2025-10-06,12:40:00,13:43:00,CE,NSE-NIFTY-07Oct25-25000-CE,25014.9,25077.0,67.6,127.6,4500.0,4450.0,14846.25,SL/TRAIL
2025-10-06,13:25:00,13:44:00,CE,NSE-NIFTY-07Oct25-25050-CE,25066.15,25074.3,67.8,88.3,1537.5,1487.5,16333.75,SL/TRAIL
2025-10-06,14:25:00,14:32:00,PE,NSE-NIFTY-07Oct25-25050-PE,25035.0,25059.3,43.1,42.0,-82.5,-132.5,16201.25,SL/TRAIL
2025-10-06,14:35:00,15:00:00,CE,NSE-NIFTY-07Oct25-25050-CE,25070.8,25077.45,77.85,78.2,26.25,-23.75,16177.5,SL/TRAIL
2025-10-06,14:50:00,15:00:00,CE,NSE-NIFTY-07Oct25-25100-CE,25077.25,25077.45,43.55,47.05,262.5,212.5,16390.0,SL/TRAIL
2025-10-06,15:15:00,15:29:00,CE,NSE-NIFTY-07Oct25-25100-CE,25081.45,25072.55,50.05,41.05,-675.0,-725.0,15665.0,SL/TRAIL
2025-10-07,11:00:00,11:25:00,PE,NSE-NIFTY-07Oct25-25150-PE,25155.05,25120.45,29.65,55.0,1901.25,1851.25,17516.25,SL/TRAIL
2025-10-07,11:10:00,11:25:00,PE,NSE-NIFTY-07Oct25-25150-PE,25152.2,25120.45,32.3,55.0,1702.5,1652.5,19168.75,SL/TRAIL
2025-10-07,12:05:00,12:12:00,CE,NSE-NIFTY-07Oct25-25150-CE,25162.1,25147.3,46.2,37.2,-675.0,-725.0,18443.75,SL/TRAIL
2025-10-07,13:35:00,13:47:00,CE,NSE-NIFTY-07Oct25-25200-CE,25193.05,25205.9,17.4,32.55,1136.25,1086.25,19530.0,SL/TRAIL
2025-10-07,14:50:00,15:28:00,PE,NSE-NIFTY-07Oct25-25150-PE,25138.15,25117.5,10.9,40.8,2242.5,2192.5,21722.5,SL/TRAIL
