Date,Type,Symbol,Entry,Exit,GrossPnL,NetPnL,Balance,Reason
2025-10-01,CE,NSE-NIFTY-07Oct25-24700-CE,118.0,129.15,836.25,786.25,10786.25,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24650-PE,98.9,107.25,626.25,576.25,11362.5,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24700-CE,127.45,118.45,-675.0,-725.0,10637.5,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24700-CE,124.35,115.35,-675.0,-725.0,9912.5,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24650-PE,107.0,107.25,18.75,-31.25,9881.25,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,92.95,91.55,-105.0,-155.0,9726.25,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,95.8,111.7,1192.5,1142.5,10868.75,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,108.05,99.05,-675.0,-725.0,10143.75,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,74.5,72.65,-138.75,-188.75,9955.0,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,77.7,68.7,-675.0,-725.0,9230.0,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-24900-CE,73.4,89.8,1230.0,1180.0,10410.0,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-24950-CE,60.85,70.7,738.75,688.75,11098.75,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-24950-CE,65.85,70.7,363.75,313.75,11412.5,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-24950-CE,69.65,70.7,78.75,28.75,11441.25,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-24950-CE,74.6,75.5,67.5,17.5,11458.75,SL/TRAIL
2025-10-07,CE,NSE-NIFTY-07Oct25-25200-CE,45.3,36.3,-675.0,-725.0,10733.75,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25200-PE,46.8,37.8,-675.0,-725.0,10008.75,SL/TRAIL
2025-10-07,CE,NSE-NIFTY-07Oct25-25200-CE,44.05,35.05,-675.0,-725.0,9283.75,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25200-PE,48.75,39.75,-675.0,-725.0,8558.75,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,28.75,19.75,-675.0,-725.0,7833.75,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25250-CE,92.85,83.85,-675.0,-725.0,7108.75,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25150-PE,84.75,86.35,120.0,70.0,7178.75,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25250-CE,83.95,74.95,-675.0,-725.0,6453.75,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25150-PE,85.7,96.55,813.75,763.75,7217.5,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25250-CE,79.95,70.95,-675.0,-725.0,6492.5,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25150-CE,87.2,78.2,-675.0,-725.0,5767.5,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25050-PE,73.9,76.95,228.75,178.75,5946.25,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25000-PE,65.75,64.8,-71.25,-121.25,5825.0,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25000-PE,67.55,65.7,-138.75,-188.75,5636.25,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25000-PE,65.75,65.7,-3.75,-53.75,5582.5,SL/TRAIL
2025-10-13,CE,NSE-NIFTY-14Oct25-25250-CE,59.7,64.0,322.5,272.5,5855.0,SL/TRAIL
2025-10-13,PE,NSE-NIFTY-14Oct25-25200-PE,74.0,74.85,63.75,13.75,5868.75,SL/TRAIL
2025-10-13,PE,NSE-NIFTY-14Oct25-25200-PE,74.5,74.85,26.25,-23.75,5845.0,SL/TRAIL
2025-10-13,PE,NSE-NIFTY-14Oct25-25200-PE,78.05,69.05,-675.0,-725.0,5120.0,SL/TRAIL
2025-10-13,CE,NSE-NIFTY-14Oct25-25250-CE,55.85,46.85,-675.0,-725.0,4395.0,SL/TRAIL
2025-10-14,PE,NSE-NIFTY-14Oct25-25300-PE,50.75,66.9,1211.25,1161.25,5556.25,SL/TRAIL
2025-10-14,PE,NSE-NIFTY-14Oct25-25200-PE,34.05,56.85,1710.0,1660.0,7216.25,SL/TRAIL
2025-10-14,PE,NSE-NIFTY-14Oct25-25200-PE,63.85,54.85,-675.0,-725.0,6491.25,SL/TRAIL
2025-10-14,PE,NSE-NIFTY-14Oct25-25200-PE,58.5,64.3,435.0,385.0,6876.25,SL/TRAIL
2025-10-14,CE,NSE-NIFTY-14Oct25-25200-CE,62.8,69.9,532.5,482.5,7358.75,SL/TRAIL
2025-10-15,PE,NSE-NIFTY-20Oct25-25250-PE,90.95,94.35,255.0,205.0,7563.75,SL/TRAIL
2025-10-15,PE,NSE-NIFTY-20Oct25-25250-PE,98.45,97.85,-45.0,-95.0,7468.75,SL/TRAIL
2025-10-15,PE,NSE-NIFTY-20Oct25-25200-PE,82.0,73.0,-675.0,-725.0,6743.75,SL/TRAIL
2025-10-15,PE,NSE-NIFTY-20Oct25-25200-PE,82.2,73.2,-675.0,-725.0,6018.75,SL/TRAIL
2025-10-15,PE,NSE-NIFTY-20Oct25-25200-PE,81.2,72.2,-675.0,-725.0,5293.75,SL/TRAIL
2025-10-16,PE,NSE-NIFTY-20Oct25-25400-PE,71.5,62.5,-675.0,-725.0,4568.75,SL/TRAIL
2025-10-16,CE,NSE-NIFTY-20Oct25-25550-CE,57.2,58.1,67.5,17.5,4586.25,SL/TRAIL
2025-10-16,CE,NSE-NIFTY-20Oct25-25600-CE,45.3,36.3,-675.0,-725.0,3861.25,SL/TRAIL
2025-10-16,PE,NSE-NIFTY-20Oct25-25350-PE,50.6,41.6,-675.0,-725.0,3136.25,SL/TRAIL
2025-10-16,CE,NSE-NIFTY-20Oct25-25600-CE,42.3,43.6,97.5,47.5,3183.75,SL/TRAIL
2025-10-17,CE,NSE-NIFTY-20Oct25-25750-CE,41.95,32.95,-675.0,-725.0,2458.75,SL/TRAIL
2025-10-17,PE,NSE-NIFTY-20Oct25-25400-PE,30.8,21.8,-675.0,-725.0,1733.75,SL/TRAIL
2025-10-17,CE,NSE-NIFTY-20Oct25-25800-CE,23.9,43.85,1496.25,1446.25,3180.0,SL/TRAIL
2025-10-17,CE,NSE-NIFTY-20Oct25-25850-CE,38.15,59.55,1605.0,1555.0,4735.0,SL/TRAIL
2025-10-17,CE,NSE-NIFTY-20Oct25-25800-CE,56.85,82.3,1908.75,1858.75,6593.75,SL/TRAIL
2025-10-20,PE,NSE-NIFTY-20Oct25-25850-PE,54.65,52.8,-138.75,-188.75,6405.0,SL/TRAIL
2025-10-20,PE,NSE-NIFTY-20Oct25-25850-PE,65.85,83.2,1301.25,1251.25,7656.25,SL/TRAIL
2025-10-20,PE,NSE-NIFTY-20Oct25-25800-PE,56.2,64.25,603.75,553.75,8210.0,SL/TRAIL
2025-10-20,CE,NSE-NIFTY-20Oct25-25850-CE,64.15,64.55,30.0,-20.0,8190.0,SL/TRAIL
2025-10-20,CE,NSE-NIFTY-20Oct25-25850-CE,62.95,64.55,120.0,70.0,8260.0,SL/TRAIL
2025-10-23,PE,NSE-NIFTY-28Oct25-26050-PE,94.85,85.85,-675.0,-725.0,7535.0,SL/TRAIL
2025-10-23,CE,NSE-NIFTY-28Oct25-26200-CE,99.4,100.4,75.0,25.0,7560.0,SL/TRAIL
2025-10-23,PE,NSE-NIFTY-28Oct25-26050-PE,83.95,85.2,93.75,43.75,7603.75,SL/TRAIL
2025-10-23,CE,NSE-NIFTY-28Oct25-26200-CE,97.15,88.15,-675.0,-725.0,6878.75,SL/TRAIL
2025-10-23,PE,NSE-NIFTY-28Oct25-26050-PE,84.05,85.2,86.25,36.25,6915.0,SL/TRAIL
2025-10-24,CE,NSE-NIFTY-28Oct25-26000-CE,84.45,95.5,828.75,778.75,7693.75,SL/TRAIL
2025-10-24,PE,NSE-NIFTY-28Oct25-25900-PE,88.35,87.75,-45.0,-95.0,7598.75,SL/TRAIL
2025-10-24,CE,NSE-NIFTY-28Oct25-26000-CE,84.0,75.0,-675.0,-725.0,6873.75,SL/TRAIL
2025-10-24,CE,NSE-NIFTY-28Oct25-26000-CE,81.2,72.2,-675.0,-725.0,6148.75,SL/TRAIL
2025-10-24,PE,NSE-NIFTY-28Oct25-25850-PE,73.2,96.6,1755.0,1705.0,7853.75,SL/TRAIL
2025-10-27,CE,NSE-NIFTY-28Oct25-26000-CE,90.9,81.9,-675.0,-725.0,7128.75,SL/TRAIL
2025-10-27,CE,NSE-NIFTY-28Oct25-26000-CE,88.25,79.25,-675.0,-725.0,6403.75,SL/TRAIL
2025-10-27,CE,NSE-NIFTY-28Oct25-26050-CE,81.5,72.5,-675.0,-725.0,5678.75,SL/TRAIL
2025-10-27,PE,NSE-NIFTY-28Oct25-25950-PE,60.0,51.0,-675.0,-725.0,4953.75,SL/TRAIL
2025-10-27,CE,NSE-NIFTY-28Oct25-26100-CE,54.15,45.15,-675.0,-725.0,4228.75,SL/TRAIL
2025-10-28,CE,NSE-NIFTY-28Oct25-26100-CE,47.5,38.5,-675.0,-725.0,3503.75,SL/TRAIL
2025-10-28,PE,NSE-NIFTY-28Oct25-25950-PE,33.1,42.0,667.5,617.5,4121.25,SL/TRAIL
2025-10-28,PE,NSE-NIFTY-28Oct25-25950-PE,49.0,83.0,2550.0,2500.0,6621.25,SL/TRAIL
2025-10-28,PE,NSE-NIFTY-28Oct25-25900-PE,73.05,64.05,-675.0,-725.0,5896.25,SL/TRAIL
2025-10-28,CE,NSE-NIFTY-28Oct25-25900-CE,66.6,57.6,-675.0,-725.0,5171.25,SL/TRAIL
2025-11-03,CE,NSE-NIFTY-04Nov25-25800-CE,62.0,70.4,630.0,580.0,5751.25,SL/TRAIL
2025-11-03,CE,NSE-NIFTY-04Nov25-25850-CE,67.25,58.25,-675.0,-725.0,5026.25,SL/TRAIL
2025-11-03,CE,NSE-NIFTY-04Nov25-25900-CE,52.55,43.55,-675.0,-725.0,4301.25,SL/TRAIL
2025-11-03,PE,NSE-NIFTY-04Nov25-25650-PE,48.8,39.8,-675.0,-725.0,3576.25,SL/TRAIL
2025-11-03,PE,NSE-NIFTY-04Nov25-25600-PE,36.1,27.1,-675.0,-725.0,2851.25,SL/TRAIL
2025-11-04,CE,NSE-NIFTY-04Nov25-25750-CE,35.5,26.5,-675.0,-725.0,2126.25,SL/TRAIL
2025-11-04,CE,NSE-NIFTY-04Nov25-25800-CE,22.4,13.4,-675.0,-725.0,1401.25,SL/TRAIL
2025-11-04,PE,NSE-NIFTY-04Nov25-25600-PE,16.85,15.6,-93.75,-143.75,1257.5,SL/TRAIL
2025-11-04,CE,NSE-NIFTY-04Nov25-25850-CE,10.4,1.4,-675.0,-725.0,532.5,SL/TRAIL
2025-11-04,PE,NSE-NIFTY-04Nov25-25550-PE,7.1,-0.95,-603.75,-653.75,-121.25,EOD
