Date,Type,Symbol,Entry,Exit,GrossPnL,NetPnL,Balance,Reason
2025-10-01,CE,NSE-NIFTY-07Oct25-24700-CE,118.0,129.15,836.25,786.25,10786.25,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24650-PE,98.9,107.25,626.25,576.25,11362.5,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24700-CE,127.45,118.45,-675.0,-725.0,10637.5,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24700-CE,124.35,115.35,-675.0,-725.0,9912.5,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24650-PE,107.0,107.25,18.75,-31.25,9881.25,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24700-CE,106.1,117.15,828.75,778.75,10660.0,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24650-PE,99.6,90.6,-675.0,-725.0,9935.0,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24650-PE,100.0,91.0,-675.0,-725.0,9210.0,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24700-CE,107.5,117.15,723.75,673.75,9883.75,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24650-PE,90.0,89.05,-71.25,-121.25,9762.5,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24700-CE,107.7,111.0,247.5,197.5,9960.0,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24700-CE,112.95,111.0,-146.25,-196.25,9763.75,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24700-CE,115.8,136.15,1526.25,1476.25,11240.0,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24800-CE,132.9,136.3,255.0,205.0,11445.0,SL/TRAIL
2025-10-01,CE,NSE-NIFTY-07Oct25-24800-CE,140.4,131.4,-675.0,-725.0,10720.0,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24800-PE,95.75,97.5,131.25,81.25,10801.25,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24750-PE,84.2,82.5,-127.5,-177.5,10623.75,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24750-PE,84.6,83.85,-56.25,-106.25,10517.5,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24750-PE,87.8,78.8,-675.0,-725.0,9792.5,SL/TRAIL
2025-10-01,PE,NSE-NIFTY-07Oct25-24750-PE,87.25,78.25,-675.0,-725.0,9067.5,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,92.95,91.55,-105.0,-155.0,8912.5,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,95.8,111.7,1192.5,1142.5,10055.0,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,108.05,99.05,-675.0,-725.0,9330.0,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,74.5,72.65,-138.75,-188.75,9141.25,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,77.7,68.7,-675.0,-725.0,8416.25,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,99.9,99.1,-60.0,-110.0,8306.25,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,106.0,97.0,-675.0,-725.0,7581.25,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,69.95,77.65,577.5,527.5,8108.75,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,93.9,104.7,810.0,760.0,8868.75,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,74.65,65.65,-675.0,-725.0,8143.75,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,95.8,104.7,667.5,617.5,8761.25,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,97.0,104.7,577.5,527.5,9288.75,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24800-CE,98.6,104.7,457.5,407.5,9696.25,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24850-CE,82.5,73.5,-675.0,-725.0,8971.25,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,64.8,55.8,-675.0,-725.0,8246.25,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24850-CE,82.15,82.8,48.75,-1.25,8245.0,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,61.8,52.8,-675.0,-725.0,7520.0,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24850-CE,80.2,82.8,195.0,145.0,7665.0,SL/TRAIL
2025-10-03,PE,NSE-NIFTY-07Oct25-24800-PE,59.75,59.9,11.25,-38.75,7626.25,SL/TRAIL
2025-10-03,CE,NSE-NIFTY-07Oct25-24850-CE,76.1,67.1,-675.0,-725.0,6901.25,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-24900-CE,73.4,89.8,1230.0,1180.0,8081.25,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-24950-CE,60.85,70.7,738.75,688.75,8770.0,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-24950-CE,65.85,70.7,363.75,313.75,9083.75,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-24950-CE,69.65,70.7,78.75,28.75,9112.5,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-24950-CE,74.6,75.5,67.5,17.5,9130.0,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-24950-CE,76.25,75.5,-56.25,-106.25,9023.75,SL/TRAIL
2025-10-06,PE,NSE-NIFTY-07Oct25-24950-PE,42.3,33.3,-675.0,-725.0,8298.75,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25000-CE,52.3,64.55,918.75,868.75,9167.5,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25000-CE,53.25,64.55,847.5,797.5,9965.0,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25000-CE,55.25,64.55,697.5,647.5,10612.5,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25000-CE,54.35,64.55,765.0,715.0,11327.5,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25000-CE,71.55,62.55,-675.0,-725.0,10602.5,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25000-CE,69.95,60.95,-675.0,-725.0,9877.5,SL/TRAIL
2025-10-06,PE,NSE-NIFTY-07Oct25-25000-PE,49.05,47.2,-138.75,-188.75,9688.75,SL/TRAIL
2025-10-06,PE,NSE-NIFTY-07Oct25-25000-PE,49.9,40.9,-675.0,-725.0,8963.75,SL/TRAIL
2025-10-06,PE,NSE-NIFTY-07Oct25-25000-PE,51.8,42.8,-675.0,-725.0,8238.75,SL/TRAIL
2025-10-06,PE,NSE-NIFTY-07Oct25-25000-PE,52.85,43.85,-675.0,-725.0,7513.75,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25000-CE,66.45,127.6,4586.25,4536.25,12050.0,SL/TRAIL
2025-10-06,CE,NSE-NIFTY-07Oct25-25000-CE,69.55,127.6,4353.75,4303.75,16353.75,SL/TRAIL
2025-10-06,PE,NSE-NIFTY-07Oct25-25000-PE,48.15,39.15,-675.0,-725.0,15628.75,SL/TRAIL
2025-10-07,CE,NSE-NIFTY-07Oct25-25200-CE,45.3,36.3,-675.0,-725.0,14903.75,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25200-PE,46.8,37.8,-675.0,-725.0,14178.75,SL/TRAIL
2025-10-07,CE,NSE-NIFTY-07Oct25-25200-CE,44.05,35.05,-675.0,-725.0,13453.75,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25200-PE,48.75,39.75,-675.0,-725.0,12728.75,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,28.75,19.75,-675.0,-725.0,12003.75,SL/TRAIL
2025-10-07,CE,NSE-NIFTY-07Oct25-25200-CE,42.0,33.0,-675.0,-725.0,11278.75,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,27.1,26.4,-52.5,-102.5,11176.25,SL/TRAIL
2025-10-07,CE,NSE-NIFTY-07Oct25-25200-CE,38.5,29.5,-675.0,-725.0,10451.25,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,25.4,26.4,75.0,25.0,10476.25,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,26.65,26.4,-18.75,-68.75,10407.5,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,29.55,55.0,1908.75,1858.75,12266.25,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,29.5,55.0,1912.5,1862.5,14128.75,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,32.9,23.9,-675.0,-725.0,13403.75,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,32.3,55.0,1702.5,1652.5,15056.25,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,33.05,55.0,1646.25,1596.25,16652.5,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25150-PE,34.25,55.0,1556.25,1506.25,18158.75,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25100-PE,26.0,31.75,431.25,381.25,18540.0,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25100-PE,38.75,29.75,-675.0,-725.0,17815.0,SL/TRAIL
2025-10-07,CE,NSE-NIFTY-07Oct25-25100-CE,46.75,45.5,-93.75,-143.75,17671.25,SL/TRAIL
2025-10-07,PE,NSE-NIFTY-07Oct25-25100-PE,32.05,23.05,-675.0,-725.0,16946.25,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25200-CE,118.9,117.2,-127.5,-177.5,16768.75,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25150-PE,84.75,86.35,120.0,70.0,16838.75,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25150-CE,136.95,127.95,-675.0,-725.0,16113.75,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25150-PE,85.7,96.55,813.75,763.75,16877.5,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25150-CE,131.55,122.55,-675.0,-725.0,16152.5,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25150-PE,87.8,96.55,656.25,606.25,16758.75,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25150-PE,98.85,100.4,116.25,66.25,16825.0,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25100-PE,81.9,116.1,2565.0,2515.0,19340.0,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25150-PE,100.85,144.35,3262.5,3212.5,22552.5,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25150-PE,100.15,144.35,3315.0,3265.0,25817.5,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25100-PE,86.05,116.1,2253.75,2203.75,28021.25,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25050-PE,110.75,101.75,-675.0,-725.0,27296.25,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25050-PE,104.3,95.3,-675.0,-725.0,26571.25,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25050-CE,121.65,124.85,240.0,190.0,26761.25,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25050-PE,103.2,94.2,-675.0,-725.0,26036.25,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25050-CE,124.15,124.85,52.5,2.5,26038.75,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25050-PE,103.9,94.9,-675.0,-725.0,25313.75,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25050-CE,124.2,124.85,48.75,-1.25,25312.5,SL/TRAIL
2025-10-08,PE,NSE-NIFTY-14Oct25-25050-PE,101.55,101.1,-33.75,-83.75,25228.75,SL/TRAIL
2025-10-08,CE,NSE-NIFTY-14Oct25-25050-CE,121.75,112.75,-675.0,-725.0,24503.75,SL/TRAIL
2025-10-09,CE,NSE-NIFTY-14Oct25-25100-CE,113.0,104.0,-675.0,-725.0,23778.75,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25100-PE,95.1,99.5,330.0,280.0,24058.75,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25050-PE,84.5,85.3,60.0,10.0,24068.75,SL/TRAIL
2025-10-09,PE,NSE-NIFTY-14Oct25-25050-PE,87.05,85.3,-131.25,-181.25,23887.5,SL/TRAIL
