Date,Entry_Time,Exit_Time,Type,Symbol,Nifty_Entry,Nifty_Exit,Opt_Entry,Opt_Exit,GrossPnL,NetPnL,Balance,Reason
2025-10-01,10:25:00,10:30:00,PE,NSE-NIFTY-07Oct25-24650-PE,24657.15,24674.8,98.5,89.5,-675.0,-725.0,9275.0,SL/TRAIL
2025-10-01,10:30:00,10:39:00,CE,NSE-NIFTY-07Oct25-24700-CE,24663.45,24670.4,112.0,117.15,386.25,336.25,9611.25,SL/TRAIL
2025-10-01,13:00:00,13:22:00,PE,NSE-NIFTY-07Oct25-24750-PE,24753.5,24773.05,89.0,80.0,-675.0,-725.0,8886.25,SL/TRAIL
2025-10-01,13:20:00,13:32:00,CE,NSE-NIFTY-07Oct25-24800-CE,24771.3,24777.85,112.2,118.3,457.5,407.5,9293.75,SL/TRAIL
2025-10-01,13:55:00,14:13:00,CE,NSE-NIFTY-07Oct25-24800-CE,24782.95,24795.95,117.4,125.35,596.25,546.25,9840.0,SL/TRAIL
2025-10-03,10:30:00,10:41:00,CE,NSE-NIFTY-07Oct25-24800-CE,24812.6,24803.2,104.7,95.7,-675.0,-725.0,9115.0,SL/TRAIL
2025-10-03,10:50:00,11:07:00,PE,NSE-NIFTY-07Oct25-24800-PE,24791.0,24806.45,75.4,66.4,-675.0,-725.0,8390.0,SL/TRAIL
2025-10-03,11:10:00,11:18:00,CE,NSE-NIFTY-07Oct25-24800-CE,24802.9,24822.6,98.6,104.7,457.5,407.5,8797.5,SL/TRAIL
2025-10-03,11:35:00,11:45:00,CE,NSE-NIFTY-07Oct25-24850-CE,24827.35,24812.35,82.65,73.65,-675.0,-725.0,8072.5,SL/TRAIL
2025-10-03,12:35:00,12:44:00,PE,NSE-NIFTY-07Oct25-24800-PE,24803.05,24824.4,65.85,56.85,-675.0,-725.0,7347.5,SL/TRAIL
2025-10-06,12:45:00,13:43:00,CE,NSE-NIFTY-07Oct25-25000-CE,25014.9,25077.0,70.85,127.6,4256.25,4206.25,11553.75,SL/TRAIL
2025-10-06,13:30:00,13:44:00,CE,NSE-NIFTY-07Oct25-25050-CE,25066.15,25074.3,85.75,88.3,191.25,141.25,11695.0,SL/TRAIL
2025-10-06,14:30:00,14:51:00,PE,NSE-NIFTY-07Oct25-25050-PE,25035.0,25065.65,45.65,36.65,-675.0,-725.0,10970.0,SL/TRAIL
2025-10-06,14:40:00,15:00:00,CE,NSE-NIFTY-07Oct25-25050-CE,25070.8,25077.45,78.0,78.2,15.0,-35.0,10935.0,SL/TRAIL
2025-10-06,14:55:00,15:04:00,CE,NSE-NIFTY-07Oct25-25100-CE,25077.25,25072.4,52.1,43.1,-675.0,-725.0,10210.0,SL/TRAIL
2025-10-07,11:05:00,11:25:00,PE,NSE-NIFTY-07Oct25-25150-PE,25155.05,25120.45,28.45,55.0,1991.25,1941.25,12151.25,SL/TRAIL
2025-10-07,11:15:00,11:25:00,PE,NSE-NIFTY-07Oct25-25150-PE,25152.2,25120.45,33.05,55.0,1646.25,1596.25,13747.5,SL/TRAIL
2025-10-07,12:10:00,12:12:00,CE,NSE-NIFTY-07Oct25-25150-CE,25162.1,25147.3,47.55,38.55,-675.0,-725.0,13022.5,SL/TRAIL
2025-10-07,13:40:00,13:47:00,CE,NSE-NIFTY-07Oct25-25200-CE,25193.05,25205.9,34.45,32.55,-142.5,-192.5,12830.0,SL/TRAIL
2025-10-07,14:30:00,14:42:00,PE,NSE-NIFTY-07Oct25-25150-PE,25153.25,25145.9,10.35,20.65,772.5,722.5,13552.5,SL/TRAIL
2025-10-08,12:05:00,12:11:00,PE,NSE-NIFTY-14Oct25-25050-PE,25035.75,25041.65,108.1,99.1,-675.0,-725.0,12827.5,SL/TRAIL
2025-10-08,12:50:00,13:00:00,CE,NSE-NIFTY-14Oct25-25050-CE,25063.2,25079.75,131.75,138.6,513.75,463.75,13291.25,SL/TRAIL
2025-10-08,13:35:00,13:42:00,CE,NSE-NIFTY-14Oct25-25100-CE,25118.1,25103.65,133.65,124.65,-675.0,-725.0,12566.25,SL/TRAIL
2025-10-08,14:15:00,14:22:00,PE,NSE-NIFTY-14Oct25-25050-PE,25070.3,25073.0,80.8,82.6,135.0,85.0,12651.25,SL/TRAIL
2025-10-08,15:00:00,15:04:00,PE,NSE-NIFTY-14Oct25-25050-PE,25061.7,25059.5,98.0,89.0,-675.0,-725.0,11926.25,SL/TRAIL
2025-10-09,10:40:00,10:52:00,CE,NSE-NIFTY-14Oct25-25100-CE,25099.9,25083.25,113.85,104.85,-675.0,-725.0,11201.25,SL/TRAIL
2025-10-09,11:00:00,11:03:00,CE,NSE-NIFTY-14Oct25-25100-CE,25102.55,25117.75,123.4,125.25,138.75,88.75,11290.0,SL/TRAIL
