Date,Time,Type,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-10-01,10:25,PE,NSE-NIFTY-07Oct25-24650-PE,24658.3,97.75,89.75,-600.0,-650.0,9350.0,SL/TRAIL
2025-10-01,13:00,PE,NSE-NIFTY-07Oct25-24750-PE,24753.0,89.95,81.95,-600.0,-650.0,8700.0,SL/TRAIL
2025-10-01,13:20,CE,NSE-NIFTY-07Oct25-24800-CE,24771.2,111.35,119.7,626.25,576.25,9276.25,SL/TRAIL
2025-10-01,13:55,CE,NSE-NIFTY-07Oct25-24800-CE,24782.6,120.5,112.5,-600.0,-650.0,8626.25,SL/TRAIL
2025-10-03,10:30,CE,NSE-NIFTY-07Oct25-24800-CE,24812.3,102.3,94.3,-600.0,-650.0,7976.25,SL/TRAIL
2025-10-03,10:50,PE,NSE-NIFTY-07Oct25-24800-PE,24790.4,75.95,67.95,-600.0,-650.0,7326.25,SL/TRAIL
2025-10-03,11:10,CE,NSE-NIFTY-07Oct25-24800-CE,24802.3,96.9,97.55,48.75,-1.25,7325.0,SL/TRAIL
2025-10-03,11:35,CE,NSE-NIFTY-07Oct25-24850-CE,24827.8,80.1,85.3,390.0,340.0,7665.0,SL/TRAIL
2025-10-03,12:35,PE,NSE-NIFTY-07Oct25-24800-PE,24802.1,66.25,58.25,-600.0,-650.0,7015.0,SL/TRAIL
2025-10-03,12:50,CE,NSE-NIFTY-07Oct25-24850-CE,24825.5,75.05,76.5,108.75,58.75,7073.75,SL/TRAIL
2025-10-03,13:10,CE,NSE-NIFTY-07Oct25-24850-CE,24841.9,82.75,74.75,-600.0,-650.0,6423.75,SL/TRAIL
2025-10-03,13:40,PE,NSE-NIFTY-07Oct25-24800-PE,24814.6,59.5,51.5,-600.0,-650.0,5773.75,SL/TRAIL
2025-10-03,13:55,CE,NSE-NIFTY-07Oct25-24850-CE,24833.3,74.6,66.6,-600.0,-650.0,5123.75,SL/TRAIL
2025-10-03,14:15,PE,NSE-NIFTY-07Oct25-24800-PE,24808.2,62.5,54.5,-600.0,-650.0,4473.75,SL/TRAIL
2025-10-06,12:45,CE,NSE-NIFTY-07Oct25-25050-CE,25014.0,43.35,46.45,232.5,182.5,4656.25,SL/TRAIL
2025-10-06,13:30,CE,NSE-NIFTY-07Oct25-25100-CE,25065.8,52.85,56.5,273.75,223.75,4880.0,SL/TRAIL
2025-10-06,14:30,PE,NSE-NIFTY-07Oct25-25050-PE,25038.2,49.05,41.05,-600.0,-650.0,4230.0,SL/TRAIL
2025-10-06,14:40,CE,NSE-NIFTY-07Oct25-25100-CE,25071.0,49.95,41.95,-600.0,-650.0,3580.0,SL/TRAIL
2025-10-06,14:55,CE,NSE-NIFTY-07Oct25-25150-CE,25077.1,29.95,21.95,-600.0,-650.0,2930.0,SL/TRAIL
2025-10-07,11:05,PE,NSE-NIFTY-07Oct25-25150-PE,25155.3,28.35,29.55,90.0,40.0,2970.0,SL/TRAIL
2025-10-07,11:15,PE,NSE-NIFTY-07Oct25-25150-PE,25152.0,32.8,32.0,-60.0,-110.0,2860.0,SL/TRAIL
2025-10-07,12:10,CE,NSE-NIFTY-07Oct25-25200-CE,25161.8,23.1,15.1,-600.0,-650.0,2210.0,SL/TRAIL
2025-10-07,13:40,CE,NSE-NIFTY-07Oct25-25200-CE,25192.1,25.3,31.85,491.25,441.25,2651.25,SL/TRAIL
2025-10-07,14:30,PE,NSE-NIFTY-07Oct25-25150-PE,25152.9,12.95,22.7,731.25,681.25,3332.5,SL/TRAIL
2025-10-07,14:55,PE,NSE-NIFTY-07Oct25-25150-PE,25138.0,17.0,9.0,-600.0,-650.0,2682.5,SL/TRAIL
2025-10-08,14:15,PE,NSE-NIFTY-14Oct25-24850-PE,25073.2,30.35,29.75,-45.0,-95.0,2587.5,SL/TRAIL
2025-10-08,15:00,PE,NSE-NIFTY-14Oct25-24850-PE,25059.7,33.75,31.95,-135.0,-185.0,2402.5,EOD
2025-10-09,12:45,PE,NSE-NIFTY-14Oct25-24950-PE,25138.1,26.65,18.65,-600.0,-650.0,1752.5,SL/TRAIL
2025-10-13,10:40,CE,NSE-NIFTY-14Oct25-25400-CE,25212.6,16.0,12.05,-296.25,-346.25,1406.25,EOD
2025-10-14,12:10,PE,NSE-NIFTY-14Oct25-25000-PE,25115.4,12.0,11.55,-33.75,-83.75,1322.5,SL/TRAIL
2025-10-14,13:10,PE,NSE-NIFTY-14Oct25-25000-PE,25075.0,15.55,7.55,-600.0,-650.0,672.5,SL/TRAIL
2025-10-14,14:00,CE,NSE-NIFTY-14Oct25-25200-CE,25122.0,6.75,6.5,-18.75,-68.75,603.75,SL/TRAIL
2025-10-20,11:25,PE,NSE-NIFTY-20Oct25-25650-PE,25848.4,7.2,-0.8,-600.0,-650.0,-46.25,SL/TRAIL
