Date,Time,Type,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-12-01,11:45,PE,NSE-NIFTY-02Dec25-26200-PE,26212.4,63.3,74.65,851.25,801.25,10801.25,SL/TRAIL
2025-12-01,12:35,PE,NSE-NIFTY-02Dec25-26150-PE,26162.8,61.45,62.2,56.25,6.25,10807.5,SL/TRAIL
2025-12-01,13:20,CE,NSE-NIFTY-02Dec25-26200-CE,26195.2,72.75,56.75,-1200.0,-1250.0,9557.5,SL/TRAIL
2025-12-01,13:45,CE,NSE-NIFTY-02Dec25-26200-CE,26192.8,70.4,67.45,-221.25,-271.25,9286.25,SL/TRAIL
2025-12-01,14:05,CE,NSE-NIFTY-02Dec25-26200-CE,26221.4,78.1,76.9,-90.0,-140.0,9146.25,SL/TRAIL
2025-12-02,11:00,CE,NSE-NIFTY-02Dec25-26100-CE,26098.4,47.45,31.45,-1200.0,-1250.0,7896.25,SL/TRAIL
2025-12-02,11:20,PE,NSE-NIFTY-02Dec25-26100-PE,26081.1,47.85,46.45,-105.0,-155.0,7741.25,SL/TRAIL
2025-12-02,12:35,CE,NSE-NIFTY-02Dec25-26050-CE,26073.8,57.4,58.7,97.5,47.5,7788.75,SL/TRAIL
2025-12-02,12:50,PE,NSE-NIFTY-02Dec25-26050-PE,26050.2,29.8,29.85,3.75,-46.25,7742.5,SL/TRAIL
2025-12-02,13:15,PE,NSE-NIFTY-02Dec25-26050-PE,26035.4,32.95,16.95,-1200.0,-1250.0,6492.5,SL/TRAIL
2025-12-03,10:40,PE,NSE-NIFTY-09Dec25-25800-PE,25913.0,72.05,69.7,-176.25,-226.25,6266.25,SL/TRAIL
2025-12-03,11:10,PE,NSE-NIFTY-09Dec25-25800-PE,25913.4,70.8,69.45,-101.25,-151.25,6115.0,SL/TRAIL
2025-12-03,11:40,CE,NSE-NIFTY-09Dec25-26100-CE,25943.6,80.55,78.35,-165.0,-215.0,5900.0,SL/TRAIL
2025-12-03,12:45,PE,NSE-NIFTY-09Dec25-25800-PE,25922.5,63.75,61.25,-187.5,-237.5,5662.5,SL/TRAIL
2025-12-03,14:15,CE,NSE-NIFTY-09Dec25-26150-CE,25948.6,61.9,59.45,-183.75,-233.75,5428.75,SL/TRAIL
2025-12-04,11:40,PE,NSE-NIFTY-09Dec25-25950-PE,26035.0,64.3,61.45,-213.75,-263.75,5165.0,SL/TRAIL
2025-12-04,13:35,PE,NSE-NIFTY-09Dec25-25900-PE,26003.1,57.55,57.6,3.75,-46.25,5118.75,SL/TRAIL
2025-12-04,14:20,CE,NSE-NIFTY-09Dec25-26150-CE,26001.1,56.7,54.65,-153.75,-203.75,4915.0,SL/TRAIL
2025-12-04,14:55,CE,NSE-NIFTY-09Dec25-26150-CE,26025.8,65.7,66.5,60.0,10.0,4925.0,SL/TRAIL
