Date,Time,Type,ADX,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-10-01,10:30,CE,59.1,NSE-NIFTY-07Oct25-24700-CE,24663.4,108.0,122.1,1057.5,1007.5,11007.5,SL/TRAIL
2025-10-06,13:30,CE,28.1,NSE-NIFTY-07Oct25-25050-CE,25065.8,81.85,92.05,765.0,715.0,11722.5,SL/TRAIL
2025-10-08,15:00,PE,26.1,NSE-NIFTY-14Oct25-25050-PE,25059.7,94.8,89.8,-375.0,-425.0,11297.5,SL/TRAIL
2025-10-09,10:40,CE,51.7,NSE-NIFTY-14Oct25-25100-CE,25099.8,114.9,109.9,-375.0,-425.0,10872.5,SL/TRAIL
2025-10-09,11:00,CE,51.6,NSE-NIFTY-14Oct25-25100-CE,25102.0,118.4,128.6,765.0,715.0,11587.5,SL/TRAIL
2025-10-09,12:20,CE,45.0,NSE-NIFTY-14Oct25-25150-CE,25154.0,124.55,119.55,-375.0,-425.0,11162.5,SL/TRAIL
2025-10-09,12:45,PE,36.6,NSE-NIFTY-14Oct25-25150-PE,25138.1,77.15,72.15,-375.0,-425.0,10737.5,SL/TRAIL
2025-10-13,10:40,CE,40.8,NSE-NIFTY-14Oct25-25200-CE,25212.6,83.05,85.8,206.25,156.25,10893.75,SL/TRAIL
2025-10-13,10:55,PE,33.7,NSE-NIFTY-14Oct25-25200-PE,25193.6,73.45,74.0,41.25,-8.75,10885.0,SL/TRAIL
2025-10-13,12:00,CE,26.8,NSE-NIFTY-14Oct25-25200-CE,25198.4,71.4,66.4,-375.0,-425.0,10460.0,SL/TRAIL
2025-10-13,12:05,PE,26.9,NSE-NIFTY-14Oct25-25200-PE,25180.6,71.55,66.55,-375.0,-425.0,10035.0,SL/TRAIL
2025-10-14,12:10,PE,38.9,NSE-NIFTY-14Oct25-25100-PE,25115.4,37.85,40.75,217.5,167.5,10202.5,SL/TRAIL
2025-10-14,13:10,PE,41.8,NSE-NIFTY-14Oct25-25100-PE,25075.0,55.7,57.8,157.5,107.5,10310.0,SL/TRAIL
2025-10-14,13:35,CE,38.5,NSE-NIFTY-14Oct25-25150-CE,25128.8,23.0,18.0,-375.0,-425.0,9885.0,SL/TRAIL
2025-10-14,14:00,CE,29.6,NSE-NIFTY-14Oct25-25100-CE,25122.0,42.15,44.25,157.5,107.5,9992.5,SL/TRAIL
2025-10-15,11:25,CE,55.0,NSE-NIFTY-20Oct25-25350-CE,25303.0,125.7,138.35,948.75,898.75,10891.25,SL/TRAIL
2025-10-15,12:10,CE,46.4,NSE-NIFTY-20Oct25-25350-CE,25302.6,122.9,117.9,-375.0,-425.0,10466.25,SL/TRAIL
2025-10-15,12:15,PE,44.5,NSE-NIFTY-20Oct25-25300-PE,25289.3,81.7,76.7,-375.0,-425.0,10041.25,SL/TRAIL
2025-10-15,12:30,CE,39.9,NSE-NIFTY-20Oct25-25350-CE,25307.4,120.15,126.1,446.25,396.25,10437.5,SL/TRAIL
2025-10-16,11:45,PE,32.4,NSE-NIFTY-20Oct25-25450-PE,25447.0,74.2,69.2,-375.0,-425.0,10012.5,SL/TRAIL
2025-10-16,12:05,CE,30.5,NSE-NIFTY-20Oct25-25450-CE,25458.5,119.5,114.5,-375.0,-425.0,9587.5,SL/TRAIL
2025-10-16,12:55,CE,43.9,NSE-NIFTY-20Oct25-25550-CE,25515.6,98.5,93.5,-375.0,-425.0,9162.5,SL/TRAIL
2025-10-16,13:05,CE,45.1,NSE-NIFTY-20Oct25-25550-CE,25515.4,95.3,90.3,-375.0,-425.0,8737.5,SL/TRAIL
2025-10-17,12:50,PE,35.1,NSE-NIFTY-20Oct25-25750-PE,25740.8,92.15,120.95,2160.0,2110.0,10847.5,SL/TRAIL
2025-10-17,14:20,CE,30.1,NSE-NIFTY-20Oct25-25700-CE,25701.2,94.65,89.65,-375.0,-425.0,10422.5,SL/TRAIL
2025-10-17,14:35,CE,26.3,NSE-NIFTY-20Oct25-25700-CE,25707.0,95.8,112.75,1271.25,1221.25,11643.75,SL/TRAIL
2025-10-24,11:30,PE,54.7,NSE-NIFTY-28Oct25-25800-PE,25801.4,81.15,76.15,-375.0,-425.0,11218.75,SL/TRAIL
2025-10-24,11:55,CE,47.3,NSE-NIFTY-28Oct25-25850-CE,25833.0,120.5,121.65,86.25,36.25,11255.0,SL/TRAIL
2025-10-24,12:00,PE,45.5,NSE-NIFTY-28Oct25-25800-PE,25821.2,66.3,66.9,45.0,-5.0,11250.0,SL/TRAIL
2025-10-24,12:10,CE,41.3,NSE-NIFTY-28Oct25-25850-CE,25851.2,127.6,131.5,292.5,242.5,11492.5,SL/TRAIL
2025-10-27,11:00,CE,73.0,NSE-NIFTY-28Oct25-25950-CE,25966.6,136.7,140.8,307.5,257.5,11750.0,SL/TRAIL
2025-10-27,11:25,CE,65.8,NSE-NIFTY-28Oct25-26000-CE,25981.8,107.65,107.8,11.25,-38.75,11711.25,SL/TRAIL
2025-10-27,12:45,PE,34.6,NSE-NIFTY-28Oct25-25950-PE,25974.9,52.3,52.9,45.0,-5.0,11706.25,SL/TRAIL
2025-10-27,13:20,PE,29.6,NSE-NIFTY-28Oct25-25950-PE,25940.1,65.85,71.75,442.5,392.5,12098.75,SL/TRAIL
2025-10-28,12:40,CE,29.2,NSE-NIFTY-28Oct25-25900-CE,25899.3,53.3,68.7,1155.0,1105.0,13203.75,SL/TRAIL
2025-10-28,13:10,CE,27.4,NSE-NIFTY-28Oct25-25950-CE,25939.9,44.2,39.2,-375.0,-425.0,12778.75,SL/TRAIL
2025-10-28,15:05,CE,26.8,NSE-NIFTY-28Oct25-25900-CE,25917.0,25.85,35.65,735.0,685.0,13463.75,SL/TRAIL
2025-11-04,11:05,PE,68.6,NSE-NIFTY-04Nov25-25700-PE,25696.4,42.95,47.0,303.75,253.75,13717.5,SL/TRAIL
2025-11-04,12:20,CE,52.9,NSE-NIFTY-04Nov25-25700-CE,25685.7,30.85,25.85,-375.0,-425.0,13292.5,SL/TRAIL
2025-11-04,12:30,PE,49.0,NSE-NIFTY-04Nov25-25650-PE,25671.2,28.5,23.5,-375.0,-425.0,12867.5,SL/TRAIL
2025-11-04,12:50,CE,42.9,NSE-NIFTY-04Nov25-25700-CE,25677.2,22.35,17.35,-375.0,-425.0,12442.5,SL/TRAIL
2025-11-07,10:30,CE,66.2,NSE-NIFTY-11Nov25-25350-CE,25357.0,115.2,119.55,326.25,276.25,12718.75,SL/TRAIL
2025-11-07,11:10,CE,58.1,NSE-NIFTY-11Nov25-25350-CE,25369.6,116.9,139.85,1721.25,1671.25,14390.0,SL/TRAIL
