Timestamp,Spot_LTP,Fut_LTP,VWAP(F),EMA5(S),OI_Chg,RSI,Status,Reason
2025-11-19 10:25:00,25957.85,26165.0,26127.8,25953.4,23605.0,76.1,SCAN,OI Increasing
2025-11-19 10:30:00,25977.05,26185.0,26131.2,25961.3,-23600.0,72.8,SKIP,Over Budget
2025-11-19 10:35:00,25969.05,26172.1,26134.3,25963.9,92.0,68.8,SCAN,OI Increasing
2025-11-19 10:40:00,25963.1,26165.0,26134.9,25963.6,23658.0,74.2,SCAN,Low Momentum (RSI 74)
2025-11-19 10:45:00,25954.5,26157.0,26135.7,25960.6,51.0,65.5,SCAN,Low Momentum (RSI 65)
2025-11-19 10:50:00,25967.45,26172.3,26136.3,25962.9,-23640.0,68.5,SKIP,Over Budget
2025-11-19 10:55:00,25952.1,26155.0,26136.6,25959.3,23707.0,69.4,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 11:00:00,25943.65,26151.0,26137.0,25954.1,42.0,61.0,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 11:05:00,25939.6,26145.8,26137.1,25949.2,-23712.0,56.9,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 11:10:00,25927.0,26127.0,26137.0,25941.8,23782.0,49.9,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 11:15:00,25932.85,26141.0,26136.9,25938.8,41.0,49.9,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 11:20:00,25938.4,26140.0,26137.2,25938.7,-23742.0,44.8,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 11:25:00,25948.3,26158.0,26137.5,25941.9,23855.0,43.1,SCAN,Low Momentum (RSI 43)
2025-11-19 11:30:00,25949.9,26158.0,26138.0,25944.6,30.0,43.2,SCAN,Low Momentum (RSI 43)
2025-11-19 11:35:00,25954.0,26167.0,26138.6,25947.7,-23822.0,48.4,SCAN,Low Momentum (RSI 48)
2025-11-19 11:40:00,25968.9,26180.0,26142.2,25954.8,23841.0,46.5,SCAN,Low Momentum (RSI 46)
2025-11-19 11:45:00,25974.75,26184.0,26143.1,25961.4,-97.0,52.5,SCAN,Low Momentum (RSI 52)
2025-11-19 11:50:00,25972.15,26184.5,26143.9,25965.0,-23798.0,54.0,SCAN,Low Momentum (RSI 54)
2025-11-19 11:55:00,25974.25,26189.9,26145.0,25968.1,23824.0,59.3,SCAN,OI Increasing
2025-11-19 12:00:00,25990.2,26210.0,26149.9,25975.5,123.0,60.5,SCAN,OI Increasing
2025-11-19 12:05:00,25990.35,26210.0,26154.4,25980.4,-23797.0,70.4,SKIP,Over Budget
2025-11-19 12:10:00,25993.3,26219.0,26157.9,25984.7,24140.0,78.2,SCAN,OI Increasing
2025-11-19 12:15:00,25996.35,26220.0,26160.5,25988.6,-23966.0,82.6,SKIP,Over Budget
2025-11-19 12:20:00,26004.7,26224.5,26161.5,25994.0,24154.0,96.9,SCAN,OI Increasing
2025-11-19 12:25:00,26013.3,26230.0,26162.9,26000.4,-7.0,97.0,SKIP,Over Budget
2025-11-19 12:30:00,26025.35,26242.9,26166.4,26008.7,-24116.0,97.2,SKIP,Over Budget
2025-11-19 12:35:00,26016.45,26234.8,26168.4,26011.3,23957.0,87.4,SCAN,OI Increasing
2025-11-19 12:40:00,26017.6,26232.0,26169.6,26013.4,55.0,87.3,SCAN,OI Increasing
2025-11-19 12:45:00,26025.75,26238.0,26170.2,26017.5,-24057.0,87.9,SKIP,Over Budget
2025-11-19 12:50:00,26022.35,26229.3,26172.5,26019.1,24125.0,82.1,SCAN,OI Increasing
2025-11-19 12:55:00,26017.4,26226.0,26173.0,26018.6,96.0,75.9,SCAN,Low Momentum (RSI 75)
2025-11-19 13:00:00,26025.65,26239.8,26173.4,26020.9,-24165.0,80.4,SKIP,Over Budget
2025-11-19 13:05:00,26019.2,26232.0,26175.8,26020.3,24192.0,74.3,SCAN,Low Momentum (RSI 74)
2025-11-19 13:10:00,26027.9,26240.0,26176.1,26022.9,59.0,72.2,SCAN,OI Increasing
2025-11-19 13:15:00,26018.0,26229.0,26177.3,26021.2,-24209.0,64.6,SCAN,Low Momentum (RSI 64)
2025-11-19 13:20:00,26019.9,26233.0,26177.8,26020.8,24183.0,64.2,SCAN,Low Momentum (RSI 64)
2025-11-19 13:25:00,26002.4,26214.3,26178.5,26014.7,138.0,52.8,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 13:30:00,26002.2,26215.7,26179.0,26010.5,-24232.0,48.8,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 13:35:00,25999.1,26213.0,26179.7,26006.7,24399.0,42.5,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 13:40:00,26004.55,26216.0,26180.5,26006.0,126.0,38.2,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 13:45:00,26010.2,26230.0,26180.9,26007.4,-24351.0,46.3,SCAN,Low Momentum (RSI 46)
2025-11-19 13:50:00,26012.05,26229.9,26181.4,26008.9,24526.0,46.8,SCAN,Low Momentum (RSI 46)
2025-11-19 13:55:00,26006.85,26227.0,26181.8,26008.2,116.0,38.5,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 14:00:00,26014.8,26238.2,26182.1,26010.4,-24543.0,45.7,SCAN,Low Momentum (RSI 45)
2025-11-19 14:05:00,26013.6,26232.4,26182.7,26011.5,24613.0,47.7,SCAN,Low Momentum (RSI 47)
2025-11-19 14:10:00,26033.0,26248.0,26183.3,26018.7,73.0,53.9,SCAN,Low Momentum (RSI 53)
2025-11-19 14:15:00,26044.65,26260.0,26185.4,26027.3,-24607.0,62.8,SKIP,Over Budget
2025-11-19 14:20:00,26043.4,26259.3,26186.8,26032.7,24787.0,58.4,SCAN,OI Increasing
2025-11-19 14:25:00,26045.15,26262.5,26187.4,26036.8,110.0,66.2,SCAN,OI Increasing
2025-11-19 14:30:00,26042.3,26250.0,26188.1,26038.7,-24770.0,63.2,SKIP,Over Budget
2025-11-19 14:35:00,26048.9,26263.0,26189.4,26042.1,24803.0,81.4,SCAN,OI Increasing
2025-11-19 14:40:00,26061.5,26263.0,26191.7,26048.5,172.0,84.3,SCAN,OI Increasing
2025-11-19 14:45:00,26058.6,26255.3,26192.5,26051.9,-24839.0,84.5,SKIP,Over Budget
2025-11-19 14:50:00,26061.5,26266.0,26193.4,26055.1,24982.0,84.0,SCAN,OI Increasing
2025-11-19 14:55:00,26054.85,26258.9,26194.7,26055.0,42.0,76.3,SCAN,Low Momentum (RSI 76)
2025-11-19 15:00:00,26052.15,26250.3,26195.5,26054.1,-24882.0,73.4,SCAN,Low Momentum (RSI 73)
2025-11-19 15:05:00,26052.8,26248.0,26196.2,26053.6,25160.0,78.3,SCAN,Low Momentum (RSI 78)
2025-11-19 15:10:00,26059.1,26259.7,26196.6,26055.5,60.0,77.9,SCAN,OI Increasing
2025-11-19 15:15:00,26053.15,26250.0,26197.4,26054.7,-25112.0,73.5,SCAN,Low Momentum (RSI 73)
2025-11-19 15:20:00,26047.25,26250.0,26198.5,26052.2,25320.0,60.1,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-19 15:25:00,26052.7,26260.0,26200.3,26052.4,354.0,56.2,SCAN,OI Increasing
2025-11-19 15:30:00,26052.65,26260.0,26200.3,26052.5,0.0,57.3,SCAN,OI Increasing
2025-11-20 09:15:00,26099.7,26309.9,26224.7,26068.2,27267.0,75.1,SCAN,OI Increasing
2025-11-20 09:20:00,26096.3,26305.1,26229.5,26077.6,-50640.0,74.7,SKIP,Over Budget
2025-11-20 09:25:00,26104.95,26310.6,26231.7,26086.7,28402.0,75.2,SCAN,OI Increasing
2025-11-20 09:30:00,26104.5,26314.8,26240.2,26092.6,1793.0,71.7,SCAN,OI Increasing
2025-11-20 09:35:00,26104.6,26312.9,26241.5,26096.6,-28128.0,73.9,SKIP,Over Budget
2025-11-20 09:40:00,26077.95,26281.5,26242.3,26090.4,29598.0,56.9,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-20 09:45:00,26088.65,26290.9,26243.0,26089.8,155.0,63.6,SCAN,Low Momentum (RSI 63)
2025-11-20 09:50:00,26084.4,26288.8,26243.3,26088.0,-29633.0,62.8,SCAN,Low Momentum (RSI 62)
2025-11-20 09:55:00,26077.2,26284.9,26243.8,26084.4,29697.0,59.2,SCAN,No Trend (Spot<EMA13 or Fut<VWAP)
2025-11-20 10:00:00,26085.05,26289.0,26244.7,26084.6,-36.0,59.7,SKIP,Over Budget
2025-11-20 10:05:00,26099.45,26309.4,26245.4,26089.6,-29450.0,66.3,SKIP,Over Budget
2025-11-20 10:10:00,26099.65,26312.0,26247.0,26092.9,30032.0,69.2,SCAN,OI Increasing
2025-11-20 10:15:00,26103.5,26313.8,26248.2,26096.5,177.0,68.8,SCAN,OI Increasing
2025-11-20 10:20:00,26101.0,26314.7,26248.5,26098.0,-30033.0,67.6,SKIP,Over Budget
2025-11-20 10:25:00,26113.75,26326.0,26249.8,26103.2,30323.0,56.8,SCAN,OI Increasing
2025-11-20 10:30:00,26117.8,26330.0,26252.3,26108.1,806.0,60.4,SCAN,OI Increasing
2025-11-20 10:35:00,26119.6,26330.0,26254.0,26111.9,-29909.0,57.6,SKIP,Over Budget
2025-11-20 10:40:00,26128.4,26338.9,26262.0,26117.4,33493.0,61.4,SCAN,OI Increasing
2025-11-20 10:45:00,26140.4,26353.0,26263.2,26125.1,2046.0,65.3,SCAN,OI Increasing
2025-11-20 10:50:00,26138.8,26358.6,26264.5,26129.7,-33244.0,83.1,SKIP,Over Budget
