Time_Entry,Time_Exit,Strike,Spot_Entry,Entry_Px,Exit_Px,PnL,Balance,Reason
2025-11-26 09:55:00,2025-11-26T10:27:00,NSE-NIFTY-02Dec25-26150-CE,26077.45,135.5,125.9,-719.9999999999995,9280.0,SL Hit
2025-11-26 10:05:00,2025-11-26T10:11:00,NSE-NIFTY-02Dec25-26150-CE,26092.95,138.85,130.2,-648.7500000000005,8631.25,SL Hit
2025-11-26 10:35:00,2025-11-26T10:50:00,NSE-NIFTY-02Dec25-26150-CE,26088.5,129.9,148.9,1425.0,10056.25,SL Hit
2025-11-26 10:50:00,2025-11-26T10:53:00,NSE-NIFTY-02Dec25-26200-CE,26106.55,126.05,115.3,-806.25,9250.0,SL Hit
2025-11-26 11:05:00,2025-11-26T11:44:00,NSE-NIFTY-02Dec25-26200-CE,26117.45,122.3,112.7,-719.9999999999995,8530.0,SL Hit
2025-11-26 11:20:00,2025-11-26T11:39:00,NSE-NIFTY-02Dec25-26200-CE,26130.45,124.9,116.3,-645.0000000000007,7884.999999999999,SL Hit
2025-11-26 11:45:00,2025-11-26T12:28:00,NSE-NIFTY-02Dec25-26150-CE,26131.6,138.15,158.65,1537.5,9422.5,SL Hit
2025-11-26 11:50:00,2025-11-26T12:35:00,NSE-NIFTY-02Dec25-26200-CE,26131.45,119.3,132.25,971.2500000000002,10393.75,Time Exit
2025-11-26 12:05:00,2025-11-26T12:50:00,NSE-NIFTY-02Dec25-26200-CE,26158.4,128.6,134.5,442.50000000000045,10836.25,Time Exit
2025-11-26 12:15:00,2025-11-26T13:00:00,NSE-NIFTY-02Dec25-26200-CE,26151.65,132.45,135.15,202.50000000000128,11038.750000000002,Time Exit
2025-11-26 12:20:00,2025-11-26T13:05:00,NSE-NIFTY-02Dec25-26200-CE,26154.0,131.8,148.5,1252.499999999999,12291.25,Time Exit
2025-11-26 12:30:00,2025-11-26T13:13:00,NSE-NIFTY-02Dec25-26200-CE,26161.7,129.55,150.55,1575.0,13866.25,SL Hit
2025-11-26 12:35:00,2025-11-26T13:13:00,NSE-NIFTY-02Dec25-26200-CE,26167.6,130.6,150.55,1496.2500000000014,15362.500000000002,SL Hit
2025-11-26 12:50:00,2025-11-26T13:13:00,NSE-NIFTY-02Dec25-26200-CE,26168.3,131.35,150.55,1440.0000000000014,16802.500000000004,SL Hit
2025-11-26 13:00:00,2025-11-26T13:13:00,NSE-NIFTY-02Dec25-26200-CE,26184.15,135.05,150.55,1162.5,17965.000000000004,SL Hit
2025-11-26 13:05:00,2025-11-26T13:27:00,NSE-NIFTY-02Dec25-26250-CE,26188.25,122.95,114.2,-656.25,17308.750000000004,SL Hit
2025-11-26 13:35:00,2025-11-26T14:04:00,NSE-NIFTY-02Dec25-26200-CE,26177.35,137.5,150.75,993.75,18302.500000000004,SL Hit
2025-11-26 14:00:00,2025-11-26T14:28:00,NSE-NIFTY-02Dec25-26250-CE,26201.9,118.3,120.2,142.50000000000043,18445.000000000004,SL Hit
2025-11-26 14:10:00,2025-11-26T14:29:00,NSE-NIFTY-02Dec25-26250-CE,26197.6,123.35,115.05,-622.4999999999998,17822.500000000004,SL Hit
2025-11-26 14:55:00,2025-11-26T15:30:00,NSE-NIFTY-02Dec25-26200-CE,26191.35,138.8,150.0,839.9999999999991,18662.500000000004,Time Exit
2025-11-26 15:00:00,2025-11-26T15:30:00,NSE-NIFTY-02Dec25-26250-CE,26199.4,115.0,123.9,667.5000000000005,19330.000000000004,Time Exit
2025-11-27 09:20:00,2025-11-27T09:25:00,NSE-NIFTY-02Dec25-26300-CE,26274.7,116.4,117.85,108.74999999999915,19438.750000000004,SL Hit
2025-11-27 09:25:00,2025-11-27T09:39:00,NSE-NIFTY-02Dec25-26300-CE,26285.15,122.8,111.35,-858.7500000000002,18580.000000000004,SL Hit
2025-11-27 09:50:00,2025-11-27T10:08:00,NSE-NIFTY-02Dec25-26300-CE,26258.7,113.45,130.3,1263.7500000000007,19843.750000000004,SL Hit
2025-11-27 10:00:00,2025-11-27T10:10:00,NSE-NIFTY-02Dec25-26300-CE,26287.75,131.35,121.2,-761.2499999999993,19082.500000000004,SL Hit
2025-11-27 10:05:00,2025-11-27T10:10:00,NSE-NIFTY-02Dec25-26300-CE,26290.9,132.05,121.2,-813.7500000000007,18268.750000000004,SL Hit
2025-11-27 10:50:00,2025-11-27T10:54:00,NSE-NIFTY-02Dec25-26300-CE,26291.3,134.1,123.95,-761.2499999999993,17507.500000000004,SL Hit
2025-11-27 11:00:00,2025-11-27T11:21:00,NSE-NIFTY-02Dec25-26300-CE,26295.75,122.65,112.4,-768.75,16738.750000000004,SL Hit
2025-11-27 11:05:00,2025-11-27T11:21:00,NSE-NIFTY-02Dec25-26300-CE,26301.6,124.05,112.4,-873.7499999999993,15865.000000000004,SL Hit
2025-11-27 14:25:00,2025-11-27T14:30:00,NSE-NIFTY-02Dec25-26200-CE,26205.55,125.35,123.0,-176.24999999999957,15688.750000000004,SL Hit
2025-11-27 14:30:00,2025-11-27T14:50:00,NSE-NIFTY-02Dec25-26200-CE,26205.4,128.5,113.65,-1113.7499999999995,14575.000000000004,SL Hit
2025-11-27 14:40:00,2025-11-27T14:42:00,NSE-NIFTY-02Dec25-26200-CE,26205.85,133.75,123.8,-746.2500000000002,13828.750000000004,SL Hit
2025-11-27 15:00:00,2025-11-27T15:30:00,NSE-NIFTY-02Dec25-26200-CE,26211.5,119.3,130.2,817.4999999999993,14646.250000000004,Time Exit
2025-11-27 15:15:00,2025-11-27T15:30:00,NSE-NIFTY-02Dec25-26200-CE,26221.8,129.85,130.2,26.249999999999574,14672.500000000004,Time Exit
2025-11-28 09:50:00,2025-11-28T10:14:00,NSE-NIFTY-02Dec25-26250-CE,26252.45,106.25,107.25,75.0,14747.500000000004,SL Hit
2025-11-28 10:05:00,2025-11-28T10:14:00,NSE-NIFTY-02Dec25-26250-CE,26262.1,117.3,107.25,-753.7499999999998,13993.750000000004,SL Hit
2025-11-28 10:30:00,2025-11-28T11:15:00,NSE-NIFTY-02Dec25-26250-CE,26250.75,104.8,118.3,1012.5,15006.250000000004,Time Exit
2025-11-28 10:35:00,2025-11-28T11:05:00,NSE-NIFTY-02Dec25-26250-CE,26267.65,108.75,109.25,37.5,15043.750000000004,SL Hit
2025-11-28 10:50:00,2025-11-28T10:58:00,NSE-NIFTY-02Dec25-26250-CE,26271.9,120.3,112.2,-607.4999999999995,14436.250000000004,SL Hit
2025-12-01 09:20:00,2025-12-01T09:52:00,NSE-NIFTY-02Dec25-26300-CE,26292.35,81.45,72.9,-641.2499999999998,13795.000000000004,SL Hit
2025-12-01 09:35:00,2025-12-01T09:43:00,NSE-NIFTY-02Dec25-26300-CE,26311.0,85.05,75.95,-682.4999999999995,13112.500000000004,SL Hit
2025-12-01 10:05:00,2025-12-01T10:38:00,NSE-NIFTY-02Dec25-26300-CE,26285.4,73.85,63.5,-776.2499999999995,12336.250000000004,SL Hit
