Date,Time,Type,ORB_High,ORB_Low,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-10-01,11:15,CE,24693.2,24606.2,NSE-NIFTY-07Oct25-24700-CE,24703.0,128.25,135.05,510.0,460.0,10460.0,SL/TRAIL
2025-10-03,12:10,CE,24838.9,24748.2,NSE-NIFTY-07Oct25-24850-CE,24842.2,87.95,71.95,-1200.0,-1250.0,9210.0,SL/TRAIL
2025-10-03,13:10,CE,24838.9,24748.2,NSE-NIFTY-07Oct25-24850-CE,24841.9,82.75,66.75,-1200.0,-1250.0,7960.0,SL/TRAIL
2025-10-07,12:45,CE,25166.8,25077.1,NSE-NIFTY-07Oct25-25150-CE,25167.4,41.5,46.95,408.75,358.75,8318.75,SL/TRAIL
2025-10-08,11:00,PE,25192.0,25090.8,NSE-NIFTY-14Oct25-25100-PE,25088.6,99.1,113.65,1091.25,1041.25,9360.0,SL/TRAIL
2025-10-08,14:10,PE,25192.0,25090.8,NSE-NIFTY-14Oct25-25050-PE,25063.1,80.8,88.1,547.5,497.5,9857.5,SL/TRAIL
2025-10-09,11:10,CE,25119.9,25039.4,NSE-NIFTY-14Oct25-25150-CE,25151.6,123.3,107.3,-1200.0,-1250.0,8607.5,SL/TRAIL
2025-10-13,14:30,CE,25239.8,25153.5,NSE-NIFTY-14Oct25-25250-CE,25251.1,64.7,48.7,-1200.0,-1250.0,7357.5,SL/TRAIL
2025-10-23,14:00,PE,26094.8,25991.8,NSE-NIFTY-28Oct25-26000-PE,25988.8,88.85,93.5,348.75,298.75,7656.25,SL/TRAIL
2025-10-24,12:35,PE,25939.3,25840.4,NSE-NIFTY-28Oct25-25850-PE,25838.6,79.65,90.9,843.75,793.75,8450.0,SL/TRAIL
2025-10-27,14:20,CE,25944.6,25828.1,NSE-NIFTY-28Oct25-26000-CE,25983.5,77.3,61.3,-1200.0,-1250.0,7200.0,SL/TRAIL
2025-11-03,11:10,CE,25753.1,25646.0,NSE-NIFTY-04Nov25-25800-CE,25758.4,80.5,64.5,-1200.0,-1250.0,5950.0,SL/TRAIL
2025-11-03,13:00,CE,25753.1,25646.0,NSE-NIFTY-04Nov25-25800-CE,25754.4,66.65,62.55,-307.5,-357.5,5592.5,EOD
2025-11-04,11:15,PE,25785.7,25686.6,NSE-NIFTY-04Nov25-25700-PE,25684.2,53.1,61.55,633.75,583.75,6176.25,SL/TRAIL
2025-11-07,11:30,CE,25438.5,25318.6,NSE-NIFTY-11Nov25-25500-CE,25440.8,80.9,85.9,375.0,325.0,6501.25,SL/TRAIL
2025-11-07,12:05,CE,25438.5,25318.6,NSE-NIFTY-11Nov25-25500-CE,25449.8,81.25,88.35,532.5,482.5,6983.75,SL/TRAIL
2025-11-11,13:40,CE,25634.4,25489.9,NSE-NIFTY-11Nov25-25650-CE,25644.4,26.4,34.5,607.5,557.5,7541.25,SL/TRAIL
2025-11-14,13:40,PE,25879.0,25767.3,NSE-NIFTY-18Nov25-25750-PE,25769.4,84.5,89.3,360.0,310.0,7851.25,SL/TRAIL
2025-11-14,14:25,PE,25879.0,25767.3,NSE-NIFTY-18Nov25-25750-PE,25767.2,84.35,68.35,-1200.0,-1250.0,6601.25,SL/TRAIL
2025-11-17,12:40,CE,25978.9,25906.6,NSE-NIFTY-18Nov25-26000-CE,25981.8,74.2,75.05,63.75,13.75,6615.0,EOD
2025-11-18,11:30,PE,26023.6,25927.4,NSE-NIFTY-18Nov25-25900-PE,25925.0,30.9,14.9,-1200.0,-1250.0,5365.0,SL/TRAIL
2025-11-20,11:25,CE,26128.7,26064.0,NSE-NIFTY-25Nov25-26300-CE,26136.8,62.0,74.15,911.25,861.25,6226.25,SL/TRAIL
2025-11-21,11:25,PE,26173.7,26096.5,NSE-NIFTY-25Nov25-26050-PE,26090.2,83.25,67.25,-1200.0,-1250.0,4976.25,SL/TRAIL
2025-11-21,14:55,PE,26173.7,26096.5,NSE-NIFTY-25Nov25-26000-PE,26091.9,64.95,71.85,517.5,467.5,5443.75,EOD
2025-11-24,14:05,PE,26134.2,26064.7,NSE-NIFTY-25Nov25-26050-PE,26051.2,64.1,73.2,682.5,632.5,6076.25,SL/TRAIL
2025-11-25,13:10,CE,25997.6,25924.6,NSE-NIFTY-25Nov25-26000-CE,26002.4,34.9,18.9,-1200.0,-1250.0,4826.25,SL/TRAIL
2025-11-25,13:50,CE,25997.6,25924.6,NSE-NIFTY-25Nov25-26000-CE,25998.6,26.25,31.85,420.0,370.0,5196.25,SL/TRAIL
2025-12-02,11:30,PE,26154.6,26070.9,NSE-NIFTY-02Dec25-26050-PE,26068.2,29.6,13.6,-1200.0,-1250.0,3946.25,SL/TRAIL
2025-12-03,11:05,PE,26062.6,25922.0,NSE-NIFTY-09Dec25-25700-PE,25917.7,45.35,29.35,-1200.0,-1250.0,2696.25,SL/TRAIL
2025-12-09,12:10,CE,25889.8,25744.9,NSE-NIFTY-09Dec25-25950-CE,25890.2,20.05,4.05,-1200.0,-1250.0,1446.25,SL/TRAIL
2025-12-09,14:10,CE,25889.8,25744.9,NSE-NIFTY-09Dec25-25950-CE,25892.2,7.3,-0.95,-618.75,-668.75,777.5,EOD
2025-12-16,11:00,PE,25970.0,25902.3,NSE-NIFTY-16Dec25-25800-PE,25899.8,9.0,-0.95,-746.25,-796.25,-18.75,EOD
