Date,Time,Type,ORB_High,ORB_Low,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-10-01,11:15,CE,24693.2,24606.2,NSE-NIFTY-07Oct25-24700-CE,24703.0,128.25,139.95,877.5,827.5,10827.5,SL/TRAIL
2025-10-03,12:10,CE,24838.9,24748.2,NSE-NIFTY-07Oct25-24850-CE,24842.2,87.95,82.95,-375.0,-425.0,10402.5,SL/TRAIL
2025-10-03,13:10,CE,24838.9,24748.2,NSE-NIFTY-07Oct25-24850-CE,24841.9,82.75,82.85,7.5,-42.5,10360.0,SL/TRAIL
2025-10-07,12:45,CE,25166.8,25077.1,NSE-NIFTY-07Oct25-25150-CE,25167.4,41.5,36.5,-375.0,-425.0,9935.0,SL/TRAIL
2025-10-08,11:00,PE,25192.0,25090.8,NSE-NIFTY-14Oct25-25100-PE,25088.6,99.1,107.0,592.5,542.5,10477.5,SL/TRAIL
2025-10-08,14:10,PE,25192.0,25090.8,NSE-NIFTY-14Oct25-25050-PE,25063.1,80.8,82.3,112.5,62.5,10540.0,SL/TRAIL
2025-10-09,11:10,CE,25119.9,25039.4,NSE-NIFTY-14Oct25-25150-CE,25151.6,123.3,118.3,-375.0,-425.0,10115.0,SL/TRAIL
2025-10-13,14:30,CE,25239.8,25153.5,NSE-NIFTY-14Oct25-25250-CE,25251.1,64.7,69.45,356.25,306.25,10421.25,SL/TRAIL
2025-10-13,14:55,CE,25239.8,25153.5,NSE-NIFTY-14Oct25-25250-CE,25253.4,67.9,62.9,-375.0,-425.0,9996.25,SL/TRAIL
2025-10-23,14:00,PE,26094.8,25991.8,NSE-NIFTY-28Oct25-26000-PE,25988.8,88.85,94.55,427.5,377.5,10373.75,SL/TRAIL
2025-10-24,12:35,PE,25939.3,25840.4,NSE-NIFTY-28Oct25-25850-PE,25838.6,79.65,74.65,-375.0,-425.0,9948.75,SL/TRAIL
2025-10-24,12:50,PE,25939.3,25840.4,NSE-NIFTY-28Oct25-25850-PE,25835.0,83.35,90.25,517.5,467.5,10416.25,SL/TRAIL
2025-10-27,14:20,CE,25944.6,25828.1,NSE-NIFTY-28Oct25-26000-CE,25983.5,77.3,78.05,56.25,6.25,10422.5,SL/TRAIL
2025-11-03,11:10,CE,25753.1,25646.0,NSE-NIFTY-04Nov25-25750-CE,25758.4,107.35,102.35,-375.0,-425.0,9997.5,SL/TRAIL
2025-11-03,13:00,CE,25753.1,25646.0,NSE-NIFTY-04Nov25-25750-CE,25754.4,91.6,86.6,-375.0,-425.0,9572.5,SL/TRAIL
2025-11-04,11:15,PE,25785.7,25686.6,NSE-NIFTY-04Nov25-25700-PE,25684.2,53.1,60.0,517.5,467.5,10040.0,SL/TRAIL
2025-11-07,11:30,CE,25438.5,25318.6,NSE-NIFTY-11Nov25-25450-CE,25440.8,104.45,121.35,1267.5,1217.5,11257.5,SL/TRAIL
2025-11-07,12:05,CE,25438.5,25318.6,NSE-NIFTY-11Nov25-25450-CE,25449.8,106.3,101.3,-375.0,-425.0,10832.5,SL/TRAIL
2025-11-11,13:40,CE,25634.4,25489.9,NSE-NIFTY-11Nov25-25650-CE,25644.4,26.4,21.4,-375.0,-425.0,10407.5,SL/TRAIL
2025-11-11,13:50,CE,25634.4,25489.9,NSE-NIFTY-11Nov25-25650-CE,25666.1,41.85,42.5,48.75,-1.25,10406.25,SL/TRAIL
2025-11-14,13:40,PE,25879.0,25767.3,NSE-NIFTY-18Nov25-25750-PE,25769.4,84.5,92.1,570.0,520.0,10926.25,SL/TRAIL
2025-11-14,14:25,PE,25879.0,25767.3,NSE-NIFTY-18Nov25-25750-PE,25767.2,84.35,79.35,-375.0,-425.0,10501.25,SL/TRAIL
2025-11-17,12:40,CE,25978.9,25906.6,NSE-NIFTY-18Nov25-26000-CE,25981.8,74.2,74.7,37.5,-12.5,10488.75,SL/TRAIL
2025-11-17,13:15,CE,25978.9,25906.6,NSE-NIFTY-18Nov25-26000-CE,25980.4,72.2,67.2,-375.0,-425.0,10063.75,SL/TRAIL
2025-11-18,11:30,PE,26023.6,25927.4,NSE-NIFTY-18Nov25-25900-PE,25925.0,30.9,25.9,-375.0,-425.0,9638.75,SL/TRAIL
2025-11-20,11:25,CE,26128.7,26064.0,NSE-NIFTY-25Nov25-26150-CE,26136.8,126.35,129.75,255.0,205.0,9843.75,SL/TRAIL
2025-11-21,11:25,PE,26173.7,26096.5,NSE-NIFTY-25Nov25-26100-PE,26090.2,104.95,105.5,41.25,-8.75,9835.0,SL/TRAIL
2025-11-21,11:35,PE,26173.7,26096.5,NSE-NIFTY-25Nov25-26100-PE,26085.4,105.9,100.9,-375.0,-425.0,9410.0,SL/TRAIL
