Timestamp,Fut_Price,Fut_VWAP,Fut_Vol,ATM_Strike,CE_Price,CE_OI,CE_Delta,PE_Price,PE_OI,Short_Covering_Signal
11:04:11,26006.0,26007.08,1050,26000,68.85,268174,0.439,105.5,201228,BEARISH_TREND
11:04:17,26006.0,26007.08,1500,26000,68.65,268174,0.439,105.55,201228,BEARISH_TREND
11:04:29,26006.2,26007.08,4650,26000,69.05,268174,0.4332,105.2,201228,BEARISH_TREND
11:04:36,26007.0,26007.08,5700,26000,69.55,267882,0.4347,104.65,197378,BEARISH_TREND
11:04:42,26006.2,26007.08,6225,26000,69.5,267882,0.4347,104.75,197378,BEARISH_TREND
11:04:48,26007.0,26007.08,7050,26000,69.65,267882,0.4368,104.6,197378,BEARISH_TREND
11:04:55,26007.0,26007.08,8025,26000,70.7,267882,0.4397,103.55,197378,BEARISH_TREND
11:05:01,26009.0,26007.08,900,26000,70.2,267882,0.4397,104.7,197378,BULLISH_TREND
11:05:07,26009.1,26007.08,2025,26000,70.4,267882,0.4399,104.05,197378,BULLISH_TREND
11:05:14,26009.0,26007.08,2850,26000,70.2,267882,0.4399,104.25,197378,BULLISH_TREND
