Time,Fut_LTP,VWAP,Vol_Ratio,Trend,Strike,Opt_Type,Opt_LTP,OI_Chg,Signal,PnL
12:50:19,25998.5,26001.56,0.51,BEARISH,26000,PE,102.8,270.25,WAIT,0.0
12:50:22,25998.5,26001.56,0.59,BEARISH,26000,PE,103.2,270.25,WAIT,0.0
12:50:25,26000.0,26001.57,0.66,BEARISH,26000,PE,103.25,270.25,WAIT,0.0
12:50:29,26000.0,26001.57,0.66,BEARISH,26000,PE,103.15,270.25,WAIT,0.0
12:50:32,26000.0,26001.57,0.66,BEARISH,26000,PE,103.0,270.25,WAIT,0.0
12:50:35,26000.0,26001.57,0.66,BEARISH,26000,PE,103.25,270.25,WAIT,0.0
12:50:37,26000.0,26001.57,0.66,BEARISH,26000,PE,103.35,270.25,WAIT,0.0
12:50:40,26000.0,26001.57,0.67,BEARISH,26000,PE,103.5,270.25,WAIT,0.0
12:50:43,25998.5,26001.55,0.69,BEARISH,26000,PE,103.95,270.25,WAIT,0.0
12:50:46,25998.5,26001.55,0.69,BEARISH,26000,PE,103.85,270.25,WAIT,0.0
12:50:49,26000.0,26001.56,0.75,BEARISH,26000,PE,103.35,270.25,WAIT,0.0
12:50:51,26000.0,26001.56,0.75,BEARISH,26000,PE,103.65,270.25,WAIT,0.0
12:50:54,26000.0,26001.56,0.75,BEARISH,26000,PE,104.1,270.25,WAIT,0.0
12:50:56,26000.0,26001.56,0.75,BEARISH,26000,PE,105.0,270.25,WAIT,0.0
12:50:58,26000.0,26001.56,0.75,BEARISH,26000,PE,105.35,270.25,WAIT,0.0
12:51:01,26000.0,26001.56,0.75,BEARISH,26000,PE,105.0,270.25,WAIT,0.0
12:51:03,26000.0,26001.93,0.75,BEARISH,26000,PE,104.25,270.25,WAIT,0.0
12:51:05,26000.0,26001.93,0.75,BEARISH,26000,PE,104.1,270.25,WAIT,0.0
12:51:08,26000.0,26001.93,0.75,BEARISH,26000,PE,104.0,270.25,WAIT,0.0
12:51:10,26000.0,26001.93,0.75,BEARISH,26000,PE,104.2,270.25,WAIT,0.0
12:51:12,25998.0,26001.92,0.03,BEARISH,26000,PE,104.05,270.25,WAIT,0.0
12:51:15,25998.0,26001.92,0.03,BEARISH,26000,PE,104.0,270.25,WAIT,0.0
12:51:17,26000.0,26001.91,0.15,BEARISH,26000,PE,103.65,270.25,WAIT,0.0
12:51:20,25996.5,26001.89,0.18,BEARISH,26000,PE,103.75,270.25,WAIT,0.0
12:51:23,25996.5,26001.89,0.18,BEARISH,26000,PE,104.1,270.25,WAIT,0.0
12:51:26,25996.5,26001.89,0.18,BEARISH,26000,PE,102.7,270.25,WAIT,0.0
12:51:29,25996.5,26001.89,0.18,BEARISH,26000,PE,102.45,270.25,WAIT,0.0
12:51:32,25996.5,26001.89,0.18,BEARISH,26000,PE,101.6,270.25,WAIT,0.0
12:51:35,26004.3,26001.92,0.2,BULLISH,26000,CE,61.1,80.74,WAIT,0.0
12:51:37,26004.9,26001.93,0.21,BULLISH,26000,CE,61.5,80.74,WAIT,0.0
12:51:40,26004.9,26001.93,0.21,BULLISH,26000,CE,61.4,80.74,WAIT,0.0
12:51:42,26005.0,26001.93,0.25,BULLISH,26000,CE,61.6,80.74,WAIT,0.0
12:51:45,26005.0,26001.93,0.25,BULLISH,26000,CE,61.7,80.74,WAIT,0.0
12:51:47,26004.3,26001.93,0.26,BULLISH,26000,CE,61.35,80.74,WAIT,0.0
12:51:49,26004.3,26001.93,0.26,BULLISH,26000,CE,61.5,80.74,WAIT,0.0
12:51:51,26004.3,26001.93,0.26,BULLISH,26000,CE,60.5,80.74,WAIT,0.0
12:51:54,26004.3,26001.93,0.28,BULLISH,26000,CE,60.55,80.74,WAIT,0.0
