Entry_Time,Exit_Time,Type,Entry_Price,Exit_Price,PnL,Balance,Reason
2025-12-16 13:47:00,2025-12-16 14:11:00,BUY,114.3,99.0,-1147.5,8852.5,SL Hit
2025-12-17 09:37:00,2025-12-17 09:44:00,BUY,100.45,83.45,-1275.0,7577.5,SL Hit
2025-12-18 10:19:00,2025-12-18 10:25:00,BUY,54.0,55.2,90.0,7667.5,SL Hit
2025-12-18 10:28:00,2025-12-18 10:36:00,BUY,55.8,59.8,300.0,7967.5,SL Hit
2025-12-18 10:37:00,2025-12-18 10:49:00,BUY,60.2,59.5,-52.5,7915.0,SL Hit
2025-12-18 11:01:00,2025-12-18 12:06:00,BUY,59.35,60.85,112.5,8027.5,SL Hit
2025-12-18 12:10:00,2025-12-18 12:50:00,BUY,64.85,64.3,-41.25,7986.25,SL Hit
2025-12-18 13:08:00,2025-12-18 13:57:00,BUY,63.75,48.45,-1147.5,6838.75,SL Hit
2025-12-19 09:31:00,2025-12-19 10:06:00,BUY,82.3,66.35,-1196.25,5642.5,SL Hit
2025-12-19 12:38:00,2025-12-19 13:54:00,BUY,62.35,64.65,172.5,5815.0,SL Hit
2025-12-19 13:59:00,2025-12-19 14:26:00,BUY,67.1,68.75,123.75,5938.75,SL Hit
