,Time,Type,Sym,Price,PnL
0,2025-12-15 11:52:00,ENTRY,NSE-NIFTY-23Dec25-26100-CE,122.2,
1,2025-12-15 11:54:00,EXIT,NSE-NIFTY-23Dec25-26100-CE,118.2,-300.0
2,2025-12-16 09:16:00,ENTRY,NSE-NIFTY-23Dec25-26000-PE,148.2,
3,2025-12-16 09:17:00,EXIT,NSE-NIFTY-23Dec25-26000-PE,144.2,-300.0
4,2025-12-16 10:01:00,ENTRY,NSE-NIFTY-23Dec25-26000-PE,172.0,
5,2025-12-16 10:13:00,EXIT,NSE-NIFTY-23Dec25-26000-PE,175.4,255.00000000000043
6,2025-12-16 15:11:00,ENTRY,NSE-NIFTY-23Dec25-25950-PE,149.7,
7,2025-12-16 15:19:00,EXIT,NSE-NIFTY-23Dec25-25950-PE,153.75,303.75000000000085
8,2025-12-17 09:52:00,ENTRY,NSE-NIFTY-23Dec25-25950-PE,157.1,
9,2025-12-17 09:54:00,EXIT,NSE-NIFTY-23Dec25-25950-PE,153.1,-300.0
10,2025-12-17 10:07:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,145.45,
11,2025-12-17 10:08:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,141.45,-300.0
12,2025-12-17 10:49:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,142.0,
13,2025-12-17 10:54:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,146.9,367.50000000000045
14,2025-12-18 09:46:00,ENTRY,NSE-NIFTY-23Dec25-25800-PE,126.1,
15,2025-12-18 09:47:00,EXIT,NSE-NIFTY-23Dec25-25800-PE,122.1,-300.0
16,2025-12-18 11:07:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,122.9,
17,2025-12-18 11:08:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,118.9,-300.0
18,2025-12-18 11:52:00,ENTRY,NSE-NIFTY-23Dec25-25950-PE,127.95,
19,2025-12-18 11:53:00,EXIT,NSE-NIFTY-23Dec25-25950-PE,123.95,-300.0
20,2025-12-18 13:32:00,ENTRY,NSE-NIFTY-23Dec25-25950-PE,131.65,
21,2025-12-18 13:33:00,EXIT,NSE-NIFTY-23Dec25-25950-PE,135.0,251.24999999999957
22,2025-12-18 14:02:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,118.95,
23,2025-12-18 14:07:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,123.25,322.4999999999998
24,2025-12-18 14:53:00,ENTRY,NSE-NIFTY-23Dec25-25850-PE,117.75,
25,2025-12-18 14:54:00,EXIT,NSE-NIFTY-23Dec25-25850-PE,113.75,-300.0
26,2025-12-18 15:29:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,138.15,
27,2025-12-19 09:15:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,134.15,-300.0
