,Time,Type,Sym,Price,PnL,Reason
0,2025-12-15 11:52:00,ENTRY,NSE-NIFTY-23Dec25-26100-CE,122.2,0.0,Panic
1,2025-12-15 11:54:00,EXIT,NSE-NIFTY-23Dec25-26100-CE,118.2,-300.0,StopLoss
2,2025-12-15 11:55:00,ENTRY,NSE-NIFTY-23Dec25-26100-CE,122.0,0.0,Panic
3,2025-12-15 11:57:00,EXIT,NSE-NIFTY-23Dec25-26100-CE,123.7,127.50000000000021,StopLoss
4,2025-12-15 14:59:00,ENTRY,NSE-NIFTY-23Dec25-26100-CE,130.05,0.0,Panic
5,2025-12-15 15:02:00,EXIT,NSE-NIFTY-23Dec25-26100-CE,126.05000000000001,-300.0,StopLoss
6,2025-12-16 09:16:00,ENTRY,NSE-NIFTY-23Dec25-26000-PE,148.2,0.0,Panic
7,2025-12-16 09:17:00,EXIT,NSE-NIFTY-23Dec25-26000-PE,144.2,-300.0,StopLoss
8,2025-12-16 10:01:00,ENTRY,NSE-NIFTY-23Dec25-26000-PE,172.0,0.0,Panic
9,2025-12-16 10:02:00,EXIT,NSE-NIFTY-23Dec25-26000-PE,174.05,153.75000000000085,StopLoss
10,2025-12-16 10:04:00,ENTRY,NSE-NIFTY-23Dec25-25950-PE,145.15,0.0,Panic
11,2025-12-16 10:14:00,EXIT,NSE-NIFTY-23Dec25-25950-PE,148.0,213.74999999999957,StopLoss
12,2025-12-16 15:11:00,ENTRY,NSE-NIFTY-23Dec25-25950-PE,149.7,0.0,Panic
13,2025-12-16 15:15:00,EXIT,NSE-NIFTY-23Dec25-25950-PE,149.4,22.49999999999872,EOD_FORCE
14,2025-12-17 09:52:00,ENTRY,NSE-NIFTY-23Dec25-25950-PE,157.1,0.0,Panic
15,2025-12-17 09:54:00,EXIT,NSE-NIFTY-23Dec25-25950-PE,153.1,-300.0,StopLoss
16,2025-12-17 10:07:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,145.45,0.0,Panic
17,2025-12-17 10:08:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,141.45,-300.0,StopLoss
18,2025-12-17 10:49:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,142.0,0.0,Panic
19,2025-12-17 10:52:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,144.0,150.0,StopLoss
20,2025-12-17 12:29:00,ENTRY,NSE-NIFTY-23Dec25-25850-PE,130.8,0.0,Panic
21,2025-12-17 12:30:00,EXIT,NSE-NIFTY-23Dec25-25850-PE,126.80000000000001,-300.0,StopLoss
22,2025-12-17 12:32:00,ENTRY,NSE-NIFTY-23Dec25-25850-PE,129.2,0.0,Panic
23,2025-12-17 12:34:00,EXIT,NSE-NIFTY-23Dec25-25850-PE,125.19999999999999,-300.0,StopLoss
24,2025-12-17 13:29:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,146.05,0.0,Panic
25,2025-12-17 13:35:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,148.95,217.4999999999983,StopLoss
26,2025-12-17 13:56:00,ENTRY,NSE-NIFTY-23Dec25-25850-PE,129.05,0.0,Panic
27,2025-12-17 13:57:00,EXIT,NSE-NIFTY-23Dec25-25850-PE,125.05000000000001,-300.0,StopLoss
28,2025-12-18 09:34:00,ENTRY,NSE-NIFTY-23Dec25-25850-PE,126.0,0.0,Panic
29,2025-12-18 09:35:00,EXIT,NSE-NIFTY-23Dec25-25850-PE,130.6,344.99999999999955,StopLoss
30,2025-12-18 09:43:00,ENTRY,NSE-NIFTY-23Dec25-25850-PE,140.45,0.0,Panic
31,2025-12-18 09:44:00,EXIT,NSE-NIFTY-23Dec25-25850-PE,146.2,431.25,StopLoss
32,2025-12-18 09:46:00,ENTRY,NSE-NIFTY-23Dec25-25800-PE,126.1,0.0,Panic
33,2025-12-18 09:47:00,EXIT,NSE-NIFTY-23Dec25-25800-PE,122.1,-300.0,StopLoss
34,2025-12-18 11:04:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,122.1,0.0,Panic
35,2025-12-18 11:06:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,118.1,-300.0,StopLoss
36,2025-12-18 11:07:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,122.9,0.0,Panic
37,2025-12-18 11:08:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,118.9,-300.0,StopLoss
38,2025-12-18 11:52:00,ENTRY,NSE-NIFTY-23Dec25-25950-PE,127.95,0.0,Panic
39,2025-12-18 11:53:00,EXIT,NSE-NIFTY-23Dec25-25950-PE,123.95,-300.0,StopLoss
40,2025-12-18 13:32:00,ENTRY,NSE-NIFTY-23Dec25-25950-PE,131.65,0.0,Panic
41,2025-12-18 13:33:00,EXIT,NSE-NIFTY-23Dec25-25950-PE,135.0,251.24999999999957,StopLoss
42,2025-12-18 13:35:00,ENTRY,NSE-NIFTY-23Dec25-25950-PE,135.45,0.0,Panic
43,2025-12-18 13:38:00,EXIT,NSE-NIFTY-23Dec25-25950-PE,131.45,-300.0,StopLoss
44,2025-12-18 14:02:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,118.95,0.0,Panic
45,2025-12-18 14:07:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,123.25,322.4999999999998,StopLoss
46,2025-12-18 14:11:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,130.85,0.0,Panic
47,2025-12-18 14:14:00,EXIT,NSE-NIFTY-23Dec25-25900-PE,132.3,108.75000000000128,StopLoss
48,2025-12-18 14:53:00,ENTRY,NSE-NIFTY-23Dec25-25850-PE,117.75,0.0,Panic
49,2025-12-18 14:54:00,EXIT,NSE-NIFTY-23Dec25-25850-PE,113.75,-300.0,StopLoss
50,2025-12-18 15:05:00,ENTRY,NSE-NIFTY-23Dec25-25900-PE,122.7,0.0,Panic
