Time,Spot_LTP,RSI_5M,Action_Zone,Status,Reason
2025-12-15 10:21:00,25969.8,55,Neutral,SCAN,Waiting for Cross
2025-12-15 10:22:00,25970.0,55,Neutral,SCAN,Waiting for Cross
2025-12-15 10:23:00,25969.6,55,Neutral,SCAN,Waiting for Cross
2025-12-15 10:24:00,25968.2,55,Neutral,SCAN,Waiting for Cross
2025-12-15 10:25:00,25961.05,58,Neutral,SCAN,Waiting for Cross
2025-12-15 10:26:00,25969.4,58,Neutral,SCAN,Waiting for Cross
2025-12-15 10:27:00,25964.9,58,Neutral,SCAN,Waiting for Cross
2025-12-15 10:28:00,25971.25,58,Neutral,SCAN,Waiting for Cross
2025-12-15 10:29:00,25976.05,58,Neutral,SCAN,Waiting for Cross
2025-12-15 10:30:00,25978.9,72,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:31:00,25978.8,72,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:32:00,25976.65,72,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:33:00,25976.0,72,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:34:00,25975.35,72,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:36:00,25962.1,65,Neutral,SCAN,Waiting for Cross
2025-12-15 10:37:00,25958.4,65,Neutral,SCAN,Waiting for Cross
2025-12-15 10:38:00,25961.35,65,Neutral,SCAN,Waiting for Cross
2025-12-15 10:39:00,25956.25,65,Neutral,SCAN,Waiting for Cross
2025-12-15 10:40:00,25949.25,71,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:41:00,25954.15,71,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:42:00,25963.05,71,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:43:00,25966.8,71,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:44:00,25968.15,71,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:45:00,25970.6,72,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:46:00,25969.3,72,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:47:00,25975.15,72,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:48:00,25985.75,72,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:49:00,25989.6,72,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:50:00,25985.1,79,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:51:00,25987.2,79,Overbought (Waiting for dip),SCAN,Waiting for Cross
2025-12-15 10:52:00,25988.55,79,Overbought (Waiting for dip),SCAN,Waiting for Cross
