Entry_Time,Exit_Time,Instrument,Type,Entry_Price,Exit_Price,PnL,Balance,Reason
2025-12-15 12:35:00,2025-12-15 15:00:00,PE,BUY,113.3,106.95,-476.25,9523.75,EOD Exit
2025-12-16 10:25:00,2025-12-16 11:33:00,CE,BUY,115.0,104.55,-783.75,8740.0,SL Hit
2025-12-16 11:45:00,2025-12-16 13:46:00,CE,BUY,102.5,113.3,810.0,9550.0,Target Hit
2025-12-17 10:55:00,2025-12-17 11:14:00,CE,BUY,59.15,69.55,780.0,10330.0,Target Hit
2025-12-17 13:00:00,2025-12-17 15:00:00,CE,BUY,51.2,58.25,528.75,10858.75,EOD Exit
2025-12-18 10:05:00,2025-12-18 10:17:00,CE,BUY,35.1,47.35,918.75,11777.5,Target Hit
2025-12-18 12:15:00,2025-12-18 12:37:00,PE,BUY,150.0,138.85,-836.25,10941.25,SL Hit
2025-12-18 12:45:00,2025-12-18 12:53:00,PE,BUY,140.75,151.9,836.25,11777.5,Target Hit
2025-12-18 14:30:00,2025-12-18 15:00:00,CE,BUY,38.0,37.25,-56.25,11721.25,EOD Exit
2025-12-19 10:25:00,2025-12-19 10:40:00,PE,BUY,108.8,98.05,-806.25,10915.0,SL Hit
2025-12-19 12:00:00,2025-12-19 13:36:00,CE,BUY,55.75,67.8,903.75,11818.75,Target Hit
2025-12-19 14:25:00,2025-12-19 15:00:00,PE,BUY,86.1,93.5,555.0,12373.75,EOD Exit
