Entry_Time,Exit_Time,Symbol,Type,Nifty_Entry,Nifty_Exit,Opt_Entry,Opt_Exit,Max_Price_Reached,Trailing_SL_Price,Final_SL,PnL,Balance,Entry_Reason,Exit_Reason
2025-12-15 10:35:00,2025-12-15 10:45:00,NSE-NIFTY-16Dec25-25950-PE,PE,25973.8,25970.6,59.3,59.85,70.95,60.3,60.3,41.25000000000032,10041.25,RSI Overbought Reversal,SL Hit
2025-12-15 11:05:00,2025-12-15 11:28:00,NSE-NIFTY-16Dec25-25950-PE,PE,25984.15,25993.0,56.1,45.8,59.4,46.1,46.1,-772.5000000000003,9268.75,RSI Overbought Reversal,SL Hit
2025-12-15 12:35:00,2025-12-15 15:15:00,NSE-NIFTY-16Dec25-25950-PE,PE,26025.85,26027.6,35.6,28.75,40.75,25.6,25.6,-513.7500000000001,8755.0,RSI Overbought Reversal,EOD Exit
2025-12-16 11:05:00,2025-12-16 12:42:00,NSE-NIFTY-16Dec25-25950-CE,CE,25899.8,25882.55,18.55,8.55,22.2,8.55,8.55,-750.0,8005.0,RSI Oversold Reversal,SL Hit
2025-12-17 10:55:00,2025-12-17 11:20:00,NSE-NIFTY-23Dec25-25900-CE,CE,25807.6,25832.15,94.7,102.8,110.5,105.5,105.5,607.4999999999995,8612.5,RSI Oversold Reversal,SL Hit
2025-12-17 13:00:00,2025-12-17 15:15:00,NSE-NIFTY-23Dec25-25900-CE,CE,25781.65,25812.95,83.75,93.1,96.85,84.75,84.75,701.2499999999995,9313.75,RSI Oversold Reversal,EOD Exit
2025-12-18 11:15:00,2025-12-18 11:32:00,NSE-NIFTY-23Dec25-25750-PE,PE,25830.3,25857.55,58.9,48.5,59.15,48.9,48.9,-779.9999999999999,8533.75,RSI Overbought Reversal,SL Hit
2025-12-18 12:15:00,2025-12-18 14:30:00,NSE-NIFTY-23Dec25-25750-PE,PE,25877.35,25806.15,43.1,63.6,70.45,65.45,65.45,1537.5,10071.25,RSI Overbought Reversal,SL Hit
2025-12-19 12:00:00,2025-12-19 12:50:00,NSE-NIFTY-23Dec25-25900-CE,CE,25924.35,25949.8,104.9,112.7,120.1,115.1,115.1,584.9999999999998,10656.25,RSI Oversold Reversal,SL Hit
2025-12-19 14:25:00,2025-12-19 15:15:00,NSE-NIFTY-23Dec25-25900-PE,PE,25983.15,25966.1,45.15,46.75,48.9,35.15,35.15,120.00000000000011,10776.25,RSI Overbought Reversal,EOD Exit
