prob_bin,count,mean_pred,empirical_prob,avg_ret_1m,avg_ret_3m
"(0.75, 1.0]",7,0.761236136540841,0.7142857142857143,,
"(0.7, 0.75]",81,0.7149097064120973,0.6790123456790124,,
"(0.68, 0.7]",96,0.688630088901034,0.6979166666666666,,
"(0.66, 0.68]",162,0.6686581436544381,0.6666666666666666,,
"(0.64, 0.66]",318,0.648910972429817,0.6320754716981132,,
"(0.62, 0.64]",709,0.6286684117874455,0.6389280677009873,,
"(0.6, 0.62]",1938,0.6083094023395039,0.6212590299277606,,
"(0.55, 0.6]",34958,0.5660133907926476,0.5696264088334573,,
"(0.5, 0.55]",180372,0.5198757891601912,0.5256858048921118,,
"(0.0, 0.5]",232597,0.47249300514572895,0.46609801502168985,,
