target_min,threshold,sl_frac,tp_frac,trades,wins,precision,trades_per_day,avg_pnl,total_pnl
1,0.9,,,0,0,0.0,0.0,0.0,0.0
1,0.88,,,0,0,0.0,0.0,0.0,0.0
1,0.86,,,0,0,0.0,0.0,0.0,0.0
1,0.84,,,0,0,0.0,0.0,0.0,0.0
1,0.82,,,0,0,0.0,0.0,0.0,0.0
1,0.8,,,0,0,0.0,0.0,0.0,0.0
1,0.78,,,0,0,0.0,0.0,0.0,0.0
1,0.76,0.0003,,3,0,0.0,0.0013856812933025404,-43.22238083333309,-129.66714249999927
1,0.76,0.0003,0.0006,3,0,0.0,0.0013856812933025404,-43.22238083333309,-129.66714249999927
1,0.76,0.0003,0.001,3,0,0.0,0.0013856812933025404,-43.22238083333309,-129.66714249999927
1,0.76,,,3,0,0.0,0.0013856812933025404,-43.57270916666605,-130.71812749999816
1,0.76,,0.0006,3,0,0.0,0.0013856812933025404,-43.57270916666605,-130.71812749999816
1,0.76,,0.001,3,0,0.0,0.0013856812933025404,-43.57270916666605,-130.71812749999816
1,0.76,0.0005,,3,0,0.0,0.0013856812933025404,-43.57270916666605,-130.71812749999816
1,0.76,0.0005,0.0006,3,0,0.0,0.0013856812933025404,-43.57270916666605,-130.71812749999816
1,0.76,0.0005,0.001,3,0,0.0,0.0013856812933025404,-43.57270916666605,-130.71812749999816
1,0.74,0.0003,,11,0,0.0,0.005080831408775982,-42.51012611111074,-382.5911349999967
1,0.74,0.0003,0.0006,11,0,0.0,0.005080831408775982,-42.51012611111074,-382.5911349999967
1,0.74,0.0003,0.001,11,0,0.0,0.005080831408775982,-42.51012611111074,-382.5911349999967
1,0.74,0.0005,,11,0,0.0,0.005080831408775982,-42.98371888888841,-386.8534699999957
1,0.74,0.0005,0.0006,11,0,0.0,0.005080831408775982,-42.98371888888841,-386.8534699999957
1,0.74,0.0005,0.001,11,0,0.0,0.005080831408775982,-42.98371888888841,-386.8534699999957
