feature,gain
vol_long,21434.689752594346
target_up_3m,14690.918939109783
mom_5,10767.842220305321
vol_short,10743.710938476868
macd_hist,9641.730697501025
target_up_2m,9286.281118462693
z_vol_short,8555.645948906527
days_to_expiry,7955.2867009464635
pe_ret_1,7039.23833016803
atr_14,6925.7408485926935
high,6131.959258153461
vol_spike_ratio,6101.1501521963
volatility_weighted_mom,5797.4980375426185
open,5206.078374842534
z_mom_3,5066.118037461913
ce_minus_pe,4221.370421232101
ce_pe_delta,3920.5648924468437
macd,3682.0378712452302
range_contraction,3467.5638093846674
vwap_dist,3246.472124759011
pe_volatility,2721.376888144463
nifty_ema_200,2645.828430598111
ce_pe_ratio,2545.116525653177
momentum_ratio,2492.8279246630277
ce_ret_1,2322.9821907669384
nifty_ret_1,2017.7249549521719
mom_3,1873.7704102375576
z_ce_pe_ratio,1757.1519650930725
ce_volatility,1382.1809348973761
rolling_min_20,1380.8101961362265
mom_10,1211.7341904065033
rsi_14,1200.227062206692
liquidity_proxy,923.1281091321566
avg_liq_20,813.0822700679504
vwap_slope,639.1844955965189
close,615.1774232810076
macd_signal,594.3118015597702
nifty_ema_50,521.7654535370643
rolling_max_20,256.42440120033405
low,230.5211178280973
vwap,194.4004312164211
trend_up,111.06435124459603
trend_down,34.20933956158044
breakout_up_20,7.5929557158792855
breakout_down_20,4.54791109091499
target_down_2m,0.0
target_down_3m,0.0
target_1m_direction,0.0
