feature,importance,fold
nifty_ret_1,1192.2149901390076,0
nifty_ret_3,1258.6538891792297,0
ce_ret_1,463.656334400177,0
pe_ret_1,646.8697810173035,0
itm_ce_ret_1,713.4204812049866,0
itm_pe_ret_1,818.4441070556641,0
ce_pe_ratio,390.87864351272583,0
ce_minus_pe,363.79011058807373,0
atm_itm_spread_ce,329.2046608924866,0
atm_itm_spread_pe,301.08433055877686,0
atm_ce_oi_z60,486.0059609413147,0
atm_pe_oi_z60,256.1783194541931,0
itm_ce_oi_z60,438.34155082702637,0
itm_pe_oi_z60,396.85706996917725,0
oi_ce_change_1,431.94941902160645,0
oi_pe_change_1,308.17173862457275,0
nifty_vol_5,845.0739703178406,0
nifty_vol_15,817.2972826957703,0
atr_5,383.51916313171387,0
vol_regime,658.3658981323242,0
minute_of_day,2059.621780872345,0
sin_md,612.8315014839172,0
cos_md,592.4961347579956,0
atm_shift,18.156999588012695,0
mom_delta,620.7807936668396,0
mom_3_sum,742.5488600730896,0
atm_itm_ce_ratio,373.15959072113037,0
atm_itm_pe_ratio,378.4981908798218,0
above_breakout_15,0.0,0
below_breakout_15,0.0,0
nifty_ret_1_lag1,1547.9741673469543,0
nifty_ret_1_lag2,918.502110004425,0
nifty_ret_1_lag3,588.955228805542,0
nifty_ret_3_lag1,2014.352695465088,0
nifty_ret_3_lag2,1017.8276596069336,0
nifty_ret_3_lag3,1184.5043964385986,0
ce_ret_1_lag1,455.7275996208191,0
ce_ret_1_lag2,423.7373161315918,0
ce_ret_1_lag3,289.6222200393677,0
pe_ret_1_lag1,314.49817752838135,0
pe_ret_1_lag2,386.4212532043457,0
pe_ret_1_lag3,366.7668433189392,0
itm_ce_ret_1_lag1,422.21091079711914,0
itm_ce_ret_1_lag2,311.46557998657227,0
itm_ce_ret_1_lag3,334.76934146881104,0
itm_pe_ret_1_lag1,295.77109003067017,0
itm_pe_ret_1_lag2,461.11020374298096,0
itm_pe_ret_1_lag3,305.92960023880005,0
ce_pe_ratio_lag1,277.7306818962097,0
ce_pe_ratio_lag2,181.92032957077026,0
ce_pe_ratio_lag3,254.8493914604187,0
ce_minus_pe_lag1,328.81243085861206,0
ce_minus_pe_lag2,256.4635896682739,0
ce_minus_pe_lag3,375.4409890174866,0
atm_itm_spread_ce_lag1,424.83302068710327,0
atm_itm_spread_ce_lag2,362.2812223434448,0
atm_itm_spread_ce_lag3,457.72637033462524,0
atm_itm_spread_pe_lag1,331.0395483970642,0
atm_itm_spread_pe_lag2,293.7207727432251,0
atm_itm_spread_pe_lag3,396.29307889938354,0
atm_ce_oi_z60_lag1,430.0043888092041,0
atm_ce_oi_z60_lag2,351.3300189971924,0
atm_ce_oi_z60_lag3,567.101101398468,0
atm_pe_oi_z60_lag1,366.270170211792,0
