Date,Entry Time,Exit Time,Type,Strike,Opt Buy,Opt Sell,Nifty Entry,Nifty Exit,EMA5 Entry,EMA13 Entry,PnL,Balance,Reason
2025-12-29,12:19:48,12:30:43,PE,NSE-NIFTY-30Dec25-26000-PE,52.05,57.5,25975.6,25970.7,25977.62,25981.6,408.75,10408.75,STOP/TRAIL
2025-12-29,13:13:47,13:28:13,PE,NSE-NIFTY-30Dec25-25950-PE,36.85,42.05,25963.3,25949.75,25964.49,25966.85,390.0,10798.75,STOP/TRAIL
2025-12-29,14:09:19,14:09:23,CE,NSE-NIFTY-30Dec25-25950-CE,55.55,55.55,25957.7,25956.3,25952.53,25952.46,0.0,10798.75,REVERSAL
2025-12-29,14:09:32,14:09:41,CE,NSE-NIFTY-30Dec25-25950-CE,55.75,55.75,25957.55,25957.1,25952.48,25952.44,0.0,10798.75,REVERSAL
2025-12-29,14:09:47,14:12:49,CE,NSE-NIFTY-30Dec25-25950-CE,56.15,54.7,25957.85,25951.4,25952.58,25952.48,-108.75,10690.0,REVERSAL
2025-12-29,14:13:10,14:13:14,PE,NSE-NIFTY-30Dec25-25950-PE,47.7,47.75,25951.6,25953.3,25952.37,25952.42,3.75,10693.75,REVERSAL
2025-12-29,14:13:24,14:13:28,PE,NSE-NIFTY-30Dec25-25950-PE,47.65,47.75,25951.2,25953.35,25952.23,25952.36,7.5,10701.25,REVERSAL
2025-12-29,14:13:34,14:13:41,PE,NSE-NIFTY-30Dec25-25950-PE,48.25,47.8,25950.7,25954.0,25952.07,25952.29,-33.75,10667.5,REVERSAL
2025-12-29,14:13:45,14:21:35,PE,NSE-NIFTY-30Dec25-25950-PE,47.65,54.55,25951.75,25931.15,25952.42,25952.44,517.5,11185.0,STOP/TRAIL
2025-12-29,14:25:00,14:29:46,CE,NSE-NIFTY-30Dec25-25950-CE,58.0,54.3,25958.05,25955.0,25950.72,25950.38,-277.5,10907.5,REVERSAL
2025-12-29,14:30:02,14:30:21,CE,NSE-NIFTY-30Dec25-25950-CE,53.45,52.85,25954.15,25950.3,25951.15,25950.53,-45.0,10862.5,REVERSAL
2025-12-29,14:31:42,14:36:14,CE,NSE-NIFTY-30Dec25-25950-CE,54.3,52.55,25951.35,25946.25,25950.22,25950.13,-131.25,10731.25,REVERSAL
2025-12-29,14:36:16,14:37:00,PE,NSE-NIFTY-30Dec25-25950-PE,45.0,44.35,25946.2,25947.8,25949.92,25950.14,-48.75,10682.5,REVERSAL
2025-12-29,14:37:05,14:37:13,PE,NSE-NIFTY-30Dec25-25950-PE,44.2,44.75,25946.9,25947.6,25950.16,25950.24,41.25,10723.75,REVERSAL
2025-12-29,14:37:25,14:37:47,PE,NSE-NIFTY-30Dec25-25950-PE,45.05,44.95,25946.8,25947.65,25950.12,25950.23,-7.5,10716.25,REVERSAL
2025-12-29,14:37:49,14:37:52,PE,NSE-NIFTY-30Dec25-25950-PE,44.95,44.7,25947.15,25947.6,25950.24,25950.28,-18.75,10697.5,REVERSAL
2025-12-29,14:38:01,14:38:04,PE,NSE-NIFTY-30Dec25-25950-PE,44.65,44.5,25946.95,25947.6,25950.17,25950.25,-11.25,10686.25,REVERSAL
2025-12-29,14:38:06,14:38:17,PE,NSE-NIFTY-30Dec25-25950-PE,44.3,44.2,25946.9,25948.25,25950.16,25950.24,-7.5,10678.75,REVERSAL
