option_type	strike	entry_time	entry_price	entry_spot	entry_fut	exit_time	exit_price	exit_reason	pnl_points	pnl_rupees_gross	transaction_cost	pnl_rupees	hold_minutes	is_winner	peak_price	expiry	exit_slippage	signal_time	entry_delay	capital_after
PE	26100	11/24/2025 10:00	70.7	26106.75	26135	11/24/2025 10:06	61.25	STOP_LOSS	-9.45	-708.75	42.3	-751.05	6	FALSE	70.7	11/25/2025	-1	11/24/2025 9:57	180	9248.95
CE	26100	11/24/2025 10:12	105	26128.5	26148.7	11/24/2025 10:21	102.85	STOP_LOSS	-2.15	-161.25	43.86	-205.11	9	FALSE	105	11/25/2025	-1	11/24/2025 10:09	180	9043.84
CE	26000	11/25/2025 9:36	42.85	25962.4	25964.1	11/25/2025 9:51	36.4	STOP_LOSS	-6.45	-483.75	41.37	-525.12	15	FALSE	42.85	11/25/2025	-1	11/25/2025 9:33	180	8518.72
CE	26000	11/25/2025 10:00	54.95	25998.3	26010	11/25/2025 10:06	50	STOP_LOSS	-4.95	-371.25	41.88	-413.13	6	FALSE	54.95	11/25/2025	-1	11/25/2025 9:57	180	8105.59
CE	26050	11/26/2025 9:24	119.75	25974.65	26163	11/26/2025 9:36	138.2	TARGET	18.45	1383.75	45.18	1338.57	12	TRUE	140.65	12/2/2025	-0.5	11/26/2025 9:21	180	9444.16
CE	26100	11/26/2025 9:42	117.85	26024.1	26224.6	11/26/2025 9:48	140.5	TARGET	22.65	1698.75	45.27	1653.48	6	TRUE	139	12/2/2025	-0.5	11/26/2025 9:39	180	11097.64
CE	26350	11/27/2025 9:24	99.6	26270.55	26446	11/27/2025 9:42	84.6	STOP_LOSS	-15	-1125	43.17	-1168.17	18	FALSE	100.85	12/2/2025	-1	11/27/2025 9:21	180	9929.47
CE	26250	11/28/2025 9:30	103.55	26239.7	26420.3	11/28/2025 9:39	95.75	TRAILING_STOP	-7.8	-585	43.59	-628.59	9	FALSE	110	12/2/2025	-0.75	11/28/2025 9:27	180	9300.88
CE	26250	11/28/2025 9:48	106.95	26245.5	26423.9	11/28/2025 10:06	120.85	TARGET	13.9	1042.5	44.53	997.97	18	TRUE	118.25	12/2/2025	-0.5	11/28/2025 9:45	180	10298.85
CE	26250	11/28/2025 10:12	119.3	26240.4	26420.1	11/28/2025 10:18	100.65	STOP_LOSS	-18.65	-1398.75	43.77	-1442.52	6	FALSE	119.3	12/2/2025	-1	11/28/2025 10:09	180	8856.33
CE	26300	12/1/2025 9:36	84.55	26308.95	26474.9	12/1/2025 9:48	80.65	STOP_LOSS	-3.9	-292.5	43.02	-335.52	12	FALSE	87.5	12/2/2025	-1	12/1/2025 9:33	180	8520.81
PE	26250	12/1/2025 10:27	54.7	26281.1	26453.7	12/1/2025 10:36	51.05	STOP_LOSS	-3.65	-273.75	41.91	-315.66	9	FALSE	54.7	12/2/2025	-1	12/1/2025 10:24	180	8205.15
PE	26250	12/1/2025 10:45	60.8	26254.25	26425	12/1/2025 11:12	66.45	TARGET	5.65	423.75	42.49	381.26	27	TRUE	72.85	12/2/2025	-0.5	12/1/2025 10:42	180	8586.41
PE	26200	12/1/2025 11:45	64.9	26182	26342.7	12/1/2025 12:00	59.1	STOP_LOSS	-5.8	-435	42.22	-477.22	15	FALSE	69.4	12/2/2025	-1	12/1/2025 11:42	180	8109.19
PE	26200	12/1/2025 12:06	71.75	26188.3	26353.6	12/1/2025 12:15	79.25	TRAILING_STOP	7.5	562.5	42.97	519.53	9	TRUE	80.35	12/2/2025	-0.75	12/1/2025 12:03	180	8628.72
PE	26150	12/1/2025 12:21	59.05	26178.25	26340.1	12/1/2025 12:27	52.25	STOP_LOSS	-6.8	-510	41.96	-551.96	6	FALSE	59.05	12/2/2025	-1	12/1/2025 12:18	180	8076.76
PE	26150	12/1/2025 12:33	63.5	26164.95	26329.5	12/1/2025 12:54	53.7	STOP_LOSS	-9.8	-735	42.01	-777.01	21	FALSE	63.5	12/2/2025	-1	12/1/2025 12:30	180	7299.75
PE	26150	12/2/2025 9:30	64.35	26132	26298	12/2/2025 9:36	59.6	STOP_LOSS	-4.75	-356.25	42.23	-398.48	6	FALSE	64.35	12/2/2025	-1	12/2/2025 9:27	180	6901.27
PE	26100	12/2/2025 9:45	50.65	26094.2	26266.8	12/2/2025 9:57	52.5	TRAILING_STOP	1.85	138.75	41.97	96.78	12	TRUE	60.5	12/2/2025	-0.75	12/2/2025 9:42	180	6998.05
PE	26050	12/2/2025 10:03	35	26080.1	26245.1	12/2/2025 10:24	31.6	TRAILING_STOP	-3.4	-255	41.19	-296.18	21	FALSE	40.65	12/2/2025	-0.75	12/2/2025 10:00	180	6701.87
PE	26100	12/2/2025 10:48	51.9	26090.15	26256	12/2/2025 10:54	39.1	STOP_LOSS	-12.8	-960	41.47	-1001.47	6	FALSE	51.9	12/2/2025	-1	12/2/2025 10:45	180	5700.4
PE	25950	12/3/2025 9:33	119.9	25935.5	26094.8	12/3/2025 9:45	120	STOP_LOSS	0.1	7.5	44.5	-37	12	FALSE	127.05	12/9/2025	-1	12/3/2025 9:30	180	5663.4
PE	25950	12/3/2025 9:54	122.3	25946.05	26099	12/3/2025 10:09	133.75	TARGET	11.45	858.75	45.02	813.73	15	TRUE	133.6	12/9/2025	-0.5	12/3/2025 9:51	180	6477.13
PE	25900	12/3/2025 10:18	111.7	25922.55	26081.3	12/3/2025 10:24	102.3	STOP_LOSS	-9.4	-705	43.84	-748.84	6	FALSE	111.7	12/9/2025	-1	12/3/2025 10:15	180	5728.29
PE	25900	12/3/2025 10:30	107.05	25922.65	26071.5	12/3/2025 10:48	108.55	TRAILING_STOP	1.5	112.5	44.07	68.43	18	TRUE	112.65	12/9/2025	-0.75	12/3/2025 10:27	180	5796.72
PE	25900	12/3/2025 11:06	107.45	25917.75	26073.1	12/3/2025 11:30	105.65	TRAILING_STOP	-1.8	-135	43.96	-178.96	24	FALSE	113.65	12/9/2025	-0.75	12/3/2025 11:03	180	5617.76
CE	26050	12/3/2025 12:24	104.3	25957	26111	12/3/2025 12:33	97	STOP_LOSS	-7.3	-547.5	43.64	-591.14	9	FALSE	104.3	12/9/2025	-1	12/3/2025 12:21	180	5026.62
PE	25950	12/3/2025 12:42	122.45	25922.9	26080	12/3/2025 12:57	118.5	STOP_LOSS	-3.95	-296.25	44.44	-340.69	15	FALSE	122.45	12/9/2025	-1	12/3/2025 12:39	180	4685.93
CE	26050	12/4/2025 9:27	102	25995.85	26135.8	12/4/2025 9:39	107.55	TARGET	5.55	416.25	44.03	372.22	12	TRUE	113.8	12/9/2025	-0.5	12/4/2025 9:24	180	5058.15
CE	26050	12/4/2025 9:45	115.3	26021.05	26160	12/4/2025 10:18	121.85	TIME_EXIT	6.55	491.25	44.57	446.68	33	TRUE	122.8	12/9/2025	-0.75	12/4/2025 9:42	180	5504.83
CE	26100	12/4/2025 10:24	102.7	26056	26194	12/4/2025 10:33	117.55	TARGET	14.85	1113.75	44.41	1069.34	9	TRUE	116.25	12/9/2025	-0.5	12/4/2025 10:21	180	6574.17
CE	26150	12/4/2025 10:39	99.1	26093.2	26239	12/4/2025 10:57	95.85	STOP_LOSS	-3.25	-243.75	43.59	-287.34	18	FALSE	102.4	12/9/2025	-1	12/4/2025 10:36	180	6286.83
CE	26100	12/4/2025 11:03	120.55	26082.95	26231.1	12/4/2025 11:12	110.1	STOP_LOSS	-10.45	-783.75	44.13	-827.88	9	FALSE	121.9	12/9/2025	-1	12/4/2025 11:00	180	5458.95
PE	26050	12/4/2025 11:42	109.05	26028.8	26161.2	12/4/2025 11:51	107.9	TRAILING_STOP	-1.15	-86.25	44.05	-130.3	9	FALSE	115.6	12/9/2025	-0.75	12/4/2025 11:39	180	5328.65
PE	26000	12/4/2025 12:00	87.45	26024.6	26164	12/4/2025 12:06	79.6	STOP_LOSS	-7.85	-588.75	42.98	-631.74	6	FALSE	87.45	12/9/2025	-1	12/4/2025 11:57	180	4696.91
PE	26050	12/4/2025 12:15	111	26023	26165	12/4/2025 12:30	105	STOP_LOSS	-6	-450	43.94	-493.94	15	FALSE	113.4	12/9/2025	-1	12/4/2025 12:12	180	4202.97
PE	26000	12/4/2025 12:42	89.1	26009.55	26145	12/4/2025 12:48	97.95	TARGET	8.85	663.75	43.67	620.08	6	TRUE	99.8	12/9/2025	-0.5	12/4/2025 12:39	180	4823.05
PE	26000	12/4/2025 12:54	100.15	26005.95	26140	12/4/2025 13:00	94.15	STOP_LOSS	-6	-450	43.53	-493.53	6	FALSE	100.15	12/9/2025	-1	12/4/2025 12:51	180	4329.52
