option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
CE,26100,2025-11-24 11:30:00,97.55,26122.2,26142.6,2025-11-24 11:50:00,80.05,STOP_LOSS,-17.5,-1312.5,43.0,-1355.5,20.0,False,99.6,2025-11-25,-1.0,2025-11-24 11:25:00,300.0,8644.5
CE,26000,2025-11-25 10:10:00,63.45,26018.6,26030.0,2025-11-25 10:25:00,63.1,TRAILING_STOP,-0.35,-26.25,42.37,-68.62,15.0,False,70.2,2025-11-25,-0.75,2025-11-25 10:05:00,300.0,8575.88
PE,25950,2025-11-25 11:00:00,58.75,25934.9,25934.0,2025-11-25 11:20:00,46.35,STOP_LOSS,-12.4,-930.0,41.74,-971.74,20.0,False,59.05,2025-11-25,-1.0,2025-11-25 10:55:00,300.0,7604.139999999999
CE,26200,2025-11-26 11:50:00,119.6,26131.45,26314.0,2025-11-26 12:15:00,131.35,TARGET,11.75,881.25,44.93,836.32,25.0,True,133.35,2025-12-02,-0.5,2025-11-26 11:45:00,300.0,8440.46
CE,26250,2025-11-26 13:35:00,114.85,26177.35,26351.7,2025-11-26 14:10:00,122.65,TIME_EXIT,7.8,585.0,44.6,540.4,35.0,True,123.6,2025-12-02,-0.75,2025-11-26 13:30:00,300.0,8980.859999999999
CE,26250,2025-11-26 14:35:00,113.3,26181.3,26361.8,2025-11-26 14:55:00,114.4,STOP_LOSS,1.1,82.5,44.29,38.21,20.0,True,115.5,2025-12-02,-1.0,2025-11-26 14:30:00,300.0,9019.069999999998
CE,26250,2025-11-26 15:10:00,122.45,26213.5,26389.2,2025-11-26 15:20:00,115.15,STOP_LOSS,-7.3,-547.5,44.32,-591.82,10.0,False,122.45,2025-12-02,-1.0,2025-11-26 15:05:00,300.0,8427.249999999998
CE,26350,2025-11-27 10:50:00,112.2,26291.3,26470.0,2025-11-27 11:00:00,98.2,STOP_LOSS,-14.0,-1050.0,43.68,-1093.68,10.0,False,112.2,2025-12-02,-1.0,2025-11-27 10:45:00,300.0,7333.569999999998
CE,26250,2025-11-28 09:30:00,103.55,26252.35,26435.0,2025-11-28 09:45:00,94.55,STOP_LOSS,-9.0,-675.0,43.55,-718.55,15.0,False,110.1,2025-12-02,-1.0,2025-11-28 09:25:00,300.0,6615.019999999998
CE,26250,2025-11-28 09:55:00,113.8,26250.65,26430.2,2025-11-28 10:20:00,100.65,STOP_LOSS,-13.15,-986.25,43.77,-1030.02,25.0,False,121.45,2025-12-02,-1.0,2025-11-28 09:50:00,300.0,5584.999999999998
PE,26250,2025-12-01 10:40:00,56.85,26258.6,26431.0,2025-12-01 11:00:00,69.15,TARGET,12.3,922.5,42.59,879.91,20.0,True,68.85,2025-12-02,-0.5,2025-12-01 10:35:00,300.0,6464.909999999998
PE,26200,2025-12-01 11:45:00,64.9,26190.65,26358.0,2025-12-01 12:00:00,59.35,TRAILING_STOP,-5.55,-416.25,42.23,-458.48,15.0,False,74.15,2025-12-02,-0.75,2025-12-01 11:40:00,300.0,6006.4299999999985
PE,26150,2025-12-01 12:10:00,59.75,26175.65,26341.0,2025-12-01 12:30:00,55.7,STOP_LOSS,-4.05,-303.75,42.09,-345.84,20.0,False,59.75,2025-12-02,-1.0,2025-12-01 12:05:00,300.0,5660.589999999998
