datetime	capital
11/24/2025 11:20	10255
11/24/2025 11:40	10667.5
11/24/2025 11:55	11807.5
11/25/2025 9:55	11038.75
11/25/2025 10:55	12040
11/25/2025 12:00	13352.5
11/25/2025 12:20	14638.75
11/27/2025 10:00	16082.5
11/27/2025 11:50	17305
11/28/2025 9:30	17440
11/28/2025 9:40	18216.25
11/28/2025 9:50	19213.75
11/28/2025 10:30	18835
11/28/2025 11:25	19603.75
12/2/2025 9:30	20841.25
12/2/2025 11:15	20316.25
12/3/2025 9:30	22288.75
12/3/2025 12:20	23095
12/4/2025 9:25	24688.75
12/4/2025 11:40	25506.25
12/5/2025 9:25	26395
12/5/2025 9:40	26466.25
12/5/2025 10:05	24077.5
12/8/2025 9:30	23027.5
12/9/2025 10:25	24370
12/9/2025 10:35	25558.75
12/10/2025 9:30	24006.25
12/11/2025 9:40	26481.25
12/12/2025 10:25	24553.75
12/16/2025 13:55	24212.5
12/17/2025 9:45	25573.75
12/18/2025 9:25	26425
12/18/2025 9:45	27205
12/18/2025 10:15	28896.25
12/19/2025 10:35	29653.75
12/19/2025 11:30	30673.75
12/19/2025 12:40	31547.5
12/23/2025 10:00	32556.25
12/23/2025 11:55	32395
12/23/2025 15:05	33951.25
12/24/2025 11:15	33651.25
12/24/2025 11:40	33220
12/24/2025 12:40	33175
