option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,capital_after
CE,26100,2025-11-24 09:29:00,104.25,26113.7,26139.9,2025-11-24 09:31:00,98.1,STOP_LOSS,-6.15,-461.25,2.0,False,104.25,2025-11-25,9538.75
PE,26100,2025-11-24 09:33:00,74.15,26092.6,26118.0,2025-11-24 09:39:00,77.55,TRAILING_STOP,3.4,255.0,6.0,True,80.8,2025-11-25,9793.75
PE,26100,2025-11-24 09:41:00,80.65,26081.95,26101.9,2025-11-24 09:47:00,78.95,TRAILING_STOP,-1.7,-127.5,6.0,False,88.95,2025-11-25,9666.25
CE,26100,2025-11-24 09:50:00,95.0,26103.1,26123.6,2025-11-24 09:52:00,87.45,STOP_LOSS,-7.55,-566.25,2.0,False,96.25,2025-11-25,9100.0
CE,25950,2025-11-25 09:20:00,61.9,25960.7,25961.4,2025-11-25 09:21:00,51.05,STOP_LOSS,-10.85,-813.75,1.0,False,61.9,2025-11-25,8286.25
CE,25950,2025-11-25 09:26:00,61.35,25964.75,25965.0,2025-11-25 09:27:00,52.8,STOP_LOSS,-8.55,-641.25,1.0,False,61.35,2025-11-25,7645.0
CE,26050,2025-11-26 09:20:00,124.35,25971.95,26159.8,2025-11-26 09:24:00,119.25,STOP_LOSS,-5.1,-382.5,4.0,False,124.35,2025-12-02,7262.5
CE,26100,2025-11-26 09:29:00,103.95,25979.9,26176.2,2025-11-26 09:33:00,115.9,TARGET,11.95,896.25,4.0,True,115.9,2025-12-02,8158.75
CE,26100,2025-11-26 09:35:00,118.5,26012.1,26205.0,2025-11-26 09:36:00,114.05,STOP_LOSS,-4.45,-333.75,1.0,False,118.5,2025-12-02,7825.0
CE,26100,2025-11-26 09:41:00,114.25,26004.0,26195.0,2025-11-26 09:43:00,126.75,TARGET,12.5,937.5,2.0,True,126.75,2025-12-02,8762.5
CE,26150,2025-11-26 09:45:00,114.45,26041.15,26238.1,2025-11-26 09:50:00,132.7,TARGET,18.25,1368.75,5.0,True,132.7,2025-12-02,10131.25
CE,26300,2025-11-27 09:20:00,116.25,26253.3,26441.7,2025-11-27 09:21:00,127.3,TARGET,11.05,828.75,1.0,True,127.3,2025-12-02,10960.0
CE,26350,2025-11-27 09:23:00,104.9,26288.75,26465.0,2025-11-27 09:24:00,99.1,STOP_LOSS,-5.8,-435.0,1.0,False,104.9,2025-12-02,10525.0
CE,26300,2025-11-27 09:26:00,121.3,26270.55,26446.0,2025-11-27 09:30:00,124.35,TRAILING_STOP,3.05,228.75,4.0,True,129.05,2025-12-02,10753.75
CE,26350,2025-11-27 09:32:00,101.35,26280.1,26455.0,2025-11-27 09:37:00,97.2,STOP_LOSS,-4.15,-311.25,5.0,False,101.5,2025-12-02,10442.5
PE,26250,2025-11-27 09:39:00,105.95,26249.55,26432.0,2025-11-27 09:43:00,117.5,TARGET,11.55,866.25,4.0,True,117.5,2025-12-02,11308.75
PE,26250,2025-11-27 09:45:00,112.6,26233.0,26415.9,2025-11-27 09:47:00,106.0,STOP_LOSS,-6.6,-495.0,2.0,False,112.6,2025-12-02,10813.75
CE,26300,2025-11-27 09:52:00,115.6,26255.55,26442.0,2025-11-27 09:59:00,130.95,TARGET,15.35,1151.25,7.0,True,130.95,2025-12-02,11965.0
CE,26350,2025-11-27 10:02:00,108.95,26289.85,26474.9,2025-11-27 10:09:00,102.9,STOP_LOSS,-6.05,-453.75,7.0,False,108.95,2025-12-02,11511.25
CE,26300,2025-11-27 10:20:00,124.35,26283.75,26462.1,2025-11-27 10:24:00,120.3,STOP_LOSS,-4.05,-303.75,4.0,False,126.6,2025-12-02,11207.5
CE,26300,2025-11-27 10:32:00,123.25,26282.9,26459.0,2025-11-27 10:33:00,118.75,STOP_LOSS,-4.5,-337.5,1.0,False,123.25,2025-12-02,10870.0
CE,26300,2025-11-27 10:38:00,124.5,26283.1,26461.0,2025-11-27 10:50:00,140.55,TARGET,16.05,1203.75,12.0,True,140.55,2025-12-02,12073.75
CE,26350,2025-11-27 10:52:00,106.8,26303.4,26486.5,2025-11-27 10:54:00,97.7,STOP_LOSS,-9.1,-682.5,2.0,False,106.8,2025-12-02,11391.25
CE,26300,2025-11-27 11:01:00,125.4,26297.0,26474.0,2025-11-27 11:02:00,120.9,STOP_LOSS,-4.5,-337.5,1.0,False,125.4,2025-12-02,11053.75
CE,26350,2025-11-27 11:07:00,101.35,26300.9,26479.0,2025-11-27 11:17:00,93.85,STOP_LOSS,-7.5,-562.5,10.0,False,102.3,2025-12-02,10491.25
PE,26300,2025-11-27 11:25:00,114.15,26280.1,26449.1,2025-11-27 11:34:00,118.45,TRAILING_STOP,4.3,322.5,9.0,True,122.25,2025-12-02,10813.75
PE,26250,2025-11-27 11:37:00,99.8,26265.7,26435.0,2025-11-27 11:40:00,94.1,STOP_LOSS,-5.7,-427.5,3.0,False,99.8,2025-12-02,10386.25
PE,26250,2025-11-27 11:44:00,95.8,26269.6,26444.0,2025-11-27 11:47:00,107.55,TARGET,11.75,881.25,3.0,True,107.55,2025-12-02,11267.5
PE,26250,2025-11-27 11:49:00,114.0,26238.0,26410.1,2025-11-27 11:51:00,108.7,STOP_LOSS,-5.3,-397.5,2.0,False,114.0,2025-12-02,10870.0
PE,26250,2025-11-27 11:53:00,113.35,26236.35,26408.0,2025-11-27 11:57:00,107.9,STOP_LOSS,-5.45,-408.75,4.0,False,113.35,2025-12-02,10461.25
PE,26250,2025-11-27 12:04:00,106.9,26244.75,26416.5,2025-11-27 12:07:00,108.75,TRAILING_STOP,1.85,138.75,3.0,True,116.7,2025-12-02,10600.0
PE,26250,2025-11-27 12:18:00,111.3,26238.55,26403.0,2025-11-27 12:27:00,122.75,TARGET,11.45,858.75,9.0,True,122.75,2025-12-02,11458.75
PE,26200,2025-11-27 12:32:00,96.25,26223.1,26390.0,2025-11-27 12:41:00,90.9,STOP_LOSS,-5.35,-401.25,9.0,False,96.6,2025-12-02,11057.5
PE,26250,2025-11-27 12:56:00,106.0,26238.65,26418.9,2025-11-27 13:07:00,117.05,TARGET,11.05,828.75,11.0,True,117.05,2025-12-02,11886.25
PE,26200,2025-11-27 13:09:00,96.15,26218.7,26389.0,2025-11-27 13:11:00,107.3,TARGET,11.15,836.25,2.0,True,107.3,2025-12-02,12722.5
CE,26250,2025-11-28 09:20:00,111.2,26235.45,26419.0,2025-11-28 09:22:00,102.35,STOP_LOSS,-8.85,-663.75,2.0,False,111.2,2025-12-02,12058.75
PE,26200,2025-11-28 09:24:00,84.6,26215.45,26391.6,2025-11-28 09:27:00,76.5,STOP_LOSS,-8.1,-607.5,3.0,False,87.05,2025-12-02,11451.25
CE,26300,2025-12-01 09:22:00,88.0,26296.75,26470.0,2025-12-01 09:23:00,81.15,STOP_LOSS,-6.85,-513.75,1.0,False,88.0,2025-12-02,10937.5
CE,26300,2025-12-01 09:30:00,84.0,26294.4,26466.2,2025-12-01 09:43:00,75.95,STOP_LOSS,-8.05,-603.75,13.0,False,87.5,2025-12-02,10333.75
PE,26150,2025-12-02 09:29:00,52.9,26130.2,26294.0,2025-12-02 09:30:00,63.85,TARGET,10.95,821.25,1.0,True,63.85,2025-12-02,11155.0
PE,26100,2025-12-02 09:33:00,36.2,26121.0,26285.0,2025-12-02 09:42:00,53.8,TARGET,17.6,1320.0,9.0,True,53.8,2025-12-02,12475.0
PE,26000,2025-12-03 09:20:00,104.5,26024.0,26167.2,2025-12-03 09:26:00,114.85,TARGET,10.35,776.25,6.0,True,114.85,2025-12-09,13251.25
PE,25950,2025-12-03 09:28:00,106.8,25962.25,26118.0,2025-12-03 09:33:00,119.4,TARGET,12.6,945.0,5.0,True,119.4,2025-12-09,14196.25
PE,25950,2025-12-03 09:35:00,122.4,25935.5,26094.8,2025-12-03 09:41:00,120.8,TRAILING_STOP,-1.6,-120.0,6.0,False,127.05,2025-12-09,14076.25
PE,25950,2025-12-03 09:48:00,124.85,25937.45,26091.4,2025-12-03 09:49:00,120.6,STOP_LOSS,-4.25,-318.75,1.0,False,124.85,2025-12-09,13757.5
PE,25950,2025-12-03 10:02:00,123.05,25936.6,26090.5,2025-12-03 10:04:00,134.3,TARGET,11.25,843.75,2.0,True,134.3,2025-12-09,14601.25
PE,25950,2025-12-04 09:20:00,105.9,25948.6,26078.6,2025-12-04 09:22:00,100.1,STOP_LOSS,-5.8,-435.0,2.0,False,105.9,2025-12-09,14166.25
CE,26050,2025-12-04 09:24:00,102.9,25992.65,26128.8,2025-12-04 09:25:00,97.1,STOP_LOSS,-5.8,-435.0,1.0,False,102.9,2025-12-09,13731.25
CE,26050,2025-12-04 09:30:00,105.5,25997.05,26136.0,2025-12-04 09:32:00,99.0,STOP_LOSS,-6.5,-487.5,2.0,False,105.5,2025-12-09,13243.75
CE,26050,2025-12-05 09:20:00,122.0,26060.6,26192.5,2025-12-05 09:21:00,116.7,STOP_LOSS,-5.3,-397.5,1.0,False,122.0,2025-12-09,12846.25
CE,26050,2025-12-05 09:27:00,116.7,26049.35,26186.6,2025-12-05 09:28:00,112.05,STOP_LOSS,-4.65,-348.75,1.0,False,116.7,2025-12-09,12497.5
CE,26050,2025-12-05 09:34:00,118.0,26049.65,26194.0,2025-12-05 09:35:00,112.85,STOP_LOSS,-5.15,-386.25,1.0,False,118.0,2025-12-09,12111.25
PE,26150,2025-12-08 09:25:00,57.5,26161.15,26303.2,2025-12-08 09:27:00,70.05,TARGET,12.55,941.25,2.0,True,70.05,2025-12-09,13052.5
PE,26150,2025-12-08 09:29:00,67.6,26140.6,26283.0,2025-12-08 09:32:00,68.7,TRAILING_STOP,1.1,82.5,3.0,True,71.7,2025-12-09,13135.0
PE,26150,2025-12-08 09:34:00,72.5,26128.8,26274.0,2025-12-08 09:42:00,71.05,TRAILING_STOP,-1.45,-108.75,8.0,False,76.5,2025-12-09,13026.25
PE,26100,2025-12-08 09:45:00,52.5,26122.15,26268.0,2025-12-08 09:50:00,66.55,TARGET,14.05,1053.75,5.0,True,66.55,2025-12-09,14080.0
PE,26100,2025-12-08 09:52:00,65.2,26090.7,26240.0,2025-12-08 10:05:00,66.2,TRAILING_STOP,1.0,75.0,13.0,True,69.35,2025-12-09,14155.0
PE,25800,2025-12-09 09:20:00,50.25,25802.5,25937.0,2025-12-09 09:21:00,38.15,STOP_LOSS,-12.1,-907.5,1.0,False,50.25,2025-12-09,13247.5
CE,25950,2025-12-10 09:21:00,105.55,25865.1,25970.0,2025-12-10 09:24:00,100.75,STOP_LOSS,-4.8,-360.0,3.0,False,109.7,2025-12-16,12887.5
CE,25950,2025-12-10 09:29:00,112.65,25887.4,25990.0,2025-12-10 09:33:00,115.0,TRAILING_STOP,2.35,176.25,4.0,True,121.25,2025-12-16,13063.75
CE,25950,2025-12-10 09:35:00,121.3,25905.0,26010.4,2025-12-10 09:38:00,123.15,TRAILING_STOP,1.85,138.75,3.0,True,126.75,2025-12-16,13202.5
CE,25950,2025-12-10 09:41:00,124.65,25911.0,26020.0,2025-12-10 09:49:00,115.05,STOP_LOSS,-9.6,-720.0,8.0,False,126.1,2025-12-16,12482.5
CE,25950,2025-12-10 10:03:00,124.65,25907.8,26024.0,2025-12-10 10:18:00,127.2,TRAILING_STOP,2.55,191.25,15.0,True,132.65,2025-12-16,12673.75
CE,26000,2025-12-10 10:20:00,112.7,25935.35,26057.0,2025-12-10 10:28:00,104.65,STOP_LOSS,-8.05,-603.75,8.0,False,114.4,2025-12-16,12070.0
CE,25850,2025-12-11 09:20:00,105.4,25774.75,25896.7,2025-12-11 09:22:00,108.0,TRAILING_STOP,2.6,195.0,2.0,True,112.8,2025-12-16,12265.0
CE,25850,2025-12-11 09:25:00,106.3,25779.75,25892.1,2025-12-11 09:30:00,106.05,TRAILING_STOP,-0.25,-18.75,5.0,False,114.75,2025-12-16,12246.25
CE,25850,2025-12-11 09:32:00,112.8,25792.15,25916.8,2025-12-11 09:33:00,107.0,STOP_LOSS,-5.8,-435.0,1.0,False,112.8,2025-12-16,11811.25
PE,25750,2025-12-11 09:38:00,115.45,25730.75,25836.2,2025-12-11 09:40:00,130.65,TARGET,15.2,1140.0,2.0,True,130.65,2025-12-16,12951.25
PE,25700,2025-12-11 09:42:00,104.55,25708.5,25818.2,2025-12-11 09:43:00,95.95,STOP_LOSS,-8.6,-645.0,1.0,False,104.55,2025-12-16,12306.25
PE,25700,2025-12-11 09:45:00,107.2,25700.55,25813.0,2025-12-11 09:46:00,102.55,STOP_LOSS,-4.65,-348.75,1.0,False,107.2,2025-12-16,11957.5
PE,25700,2025-12-11 09:52:00,100.85,25716.5,25830.0,2025-12-11 09:54:00,92.0,STOP_LOSS,-8.85,-663.75,2.0,False,100.85,2025-12-16,11293.75
PE,25700,2025-12-11 09:59:00,99.55,25714.0,25830.0,2025-12-11 10:00:00,94.25,STOP_LOSS,-5.3,-397.5,1.0,False,99.55,2025-12-16,10896.25
CE,26000,2025-12-12 09:20:00,110.5,26007.6,26111.2,2025-12-12 09:24:00,104.35,STOP_LOSS,-6.15,-461.25,4.0,False,112.75,2025-12-16,10435.0
CE,26000,2025-12-12 09:29:00,114.8,26009.3,26120.0,2025-12-12 09:31:00,127.55,TARGET,12.75,956.25,2.0,True,127.55,2025-12-16,11391.25
CE,26050,2025-12-12 09:33:00,95.1,26026.75,26141.8,2025-12-12 09:40:00,96.1,TRAILING_STOP,1.0,75.0,7.0,True,99.1,2025-12-16,11466.25
PE,26000,2025-12-12 09:58:00,80.35,26001.6,26105.0,2025-12-12 10:01:00,76.3,STOP_LOSS,-4.05,-303.75,3.0,False,80.35,2025-12-16,11162.5
PE,26000,2025-12-12 10:03:00,80.95,25998.9,26102.2,2025-12-12 10:08:00,93.85,TARGET,12.9,967.5,5.0,True,93.85,2025-12-16,12130.0
PE,26000,2025-12-12 10:10:00,92.6,25975.0,26082.0,2025-12-12 10:13:00,87.95,STOP_LOSS,-4.65,-348.75,3.0,False,92.6,2025-12-16,11781.25
CE,26000,2025-12-12 10:19:00,109.25,26003.4,26113.0,2025-12-12 10:21:00,104.35,STOP_LOSS,-4.9,-367.5,2.0,False,109.25,2025-12-16,11413.75
PE,25950,2025-12-12 10:26:00,88.2,25945.35,26048.0,2025-12-12 10:27:00,83.5,STOP_LOSS,-4.7,-352.5,1.0,False,88.2,2025-12-16,11061.25
PE,25950,2025-12-12 10:38:00,75.0,25970.75,26070.0,2025-12-12 10:45:00,75.2,TRAILING_STOP,0.2,15.0,7.0,True,79.95,2025-12-16,11076.25
PE,25950,2025-12-12 10:49:00,84.3,25953.8,26055.0,2025-12-12 10:51:00,79.1,STOP_LOSS,-5.2,-390.0,2.0,False,84.3,2025-12-16,10686.25
PE,25950,2025-12-12 10:53:00,79.55,25961.95,26063.7,2025-12-12 10:55:00,74.65,STOP_LOSS,-4.9,-367.5,2.0,False,79.55,2025-12-16,10318.75
CE,26000,2025-12-12 11:21:00,107.65,26005.95,26115.0,2025-12-12 11:27:00,108.2,TRAILING_STOP,0.55,41.25,6.0,True,112.8,2025-12-16,10360.0
CE,26000,2025-12-12 11:29:00,109.8,26013.0,26115.0,2025-12-12 11:38:00,105.05,STOP_LOSS,-4.75,-356.25,9.0,False,111.05,2025-12-16,10003.75
CE,26000,2025-12-12 11:44:00,108.7,26014.65,26118.0,2025-12-12 12:02:00,113.65,TRAILING_STOP,4.95,371.25,18.0,True,117.65,2025-12-16,10375.0
PE,26000,2025-12-12 12:10:00,79.35,26003.35,26094.3,2025-12-12 12:14:00,73.4,STOP_LOSS,-5.95,-446.25,4.0,False,79.9,2025-12-16,9928.75
PE,25950,2025-12-15 09:20:00,77.4,25944.45,26036.0,2025-12-15 09:21:00,73.15,STOP_LOSS,-4.25,-318.75,1.0,False,77.4,2025-12-16,9610.0
PE,25950,2025-12-15 09:26:00,84.6,25930.35,26020.0,2025-12-15 09:32:00,83.8,TRAILING_STOP,-0.8,-60.0,6.0,False,90.2,2025-12-16,9550.0
PE,25900,2025-12-15 09:40:00,61.3,25922.7,26015.0,2025-12-15 09:46:00,61.1,TRAILING_STOP,-0.2,-15.0,6.0,False,70.9,2025-12-16,9535.0
CE,25950,2025-12-15 09:51:00,69.15,25940.0,26025.3,2025-12-15 10:03:00,69.2,TRAILING_STOP,0.05,3.75,12.0,True,76.5,2025-12-16,9538.75
CE,25950,2025-12-15 10:07:00,77.2,25958.0,26042.0,2025-12-15 10:09:00,70.1,STOP_LOSS,-7.1,-532.5,2.0,False,77.55,2025-12-16,9006.25
PE,25950,2025-12-16 09:20:00,56.45,25938.9,26021.0,2025-12-16 09:27:00,60.0,TRAILING_STOP,3.55,266.25,7.0,True,63.3,2025-12-16,9272.5
PE,25900,2025-12-16 09:29:00,38.2,25923.1,26006.1,2025-12-16 09:37:00,38.95,TRAILING_STOP,0.75,56.25,8.0,True,43.0,2025-12-16,9328.75
