option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,capital_after
PE,26100,2025-11-24 10:55:00,59.1,26108.4,26130.0,2025-11-24 11:20:00,62.5,TRAILING_STOP,3.4,255.0,25.0,True,67.1,2025-11-25,10255.0
CE,26100,2025-11-24 11:25:00,90.1,26122.6,26148.0,2025-11-24 11:40:00,95.6,TRAILING_STOP,5.5,412.5,15.0,True,99.6,2025-11-25,10667.5
PE,26100,2025-11-24 11:45:00,57.35,26097.65,26120.3,2025-11-24 11:55:00,72.55,TARGET,15.2,1140.0,10.0,True,72.55,2025-11-25,11807.5
PE,25950,2025-11-25 09:45:00,42.35,25961.15,25961.1,2025-11-25 09:55:00,32.1,STOP_LOSS,-10.25,-768.75,10.0,False,49.65,2025-11-25,11038.75
PE,26000,2025-11-25 10:50:00,52.25,25975.25,25979.6,2025-11-25 10:55:00,65.6,TARGET,13.35,1001.25,5.0,True,65.6,2025-11-25,12040.0
CE,25950,2025-11-25 11:50:00,50.7,25973.65,25974.0,2025-11-25 12:00:00,68.2,TARGET,17.5,1312.5,10.0,True,68.2,2025-11-25,13352.5
PE,26000,2025-11-25 12:15:00,45.2,25964.45,25965.3,2025-11-25 12:20:00,62.35,TARGET,17.15,1286.25,5.0,True,62.35,2025-11-25,14638.75
CE,26300,2025-11-27 09:50:00,112.35,26258.7,26440.0,2025-11-27 10:00:00,131.6,TARGET,19.25,1443.75,10.0,True,131.6,2025-12-02,16082.5
PE,26250,2025-11-27 11:30:00,94.7,26270.5,26437.1,2025-11-27 11:50:00,111.0,TARGET,16.3,1222.5,20.0,True,111.0,2025-12-02,17305.0
PE,26200,2025-11-28 09:20:00,77.1,26215.45,26391.6,2025-11-28 09:30:00,78.9,TRAILING_STOP,1.8,135.0,10.0,True,87.05,2025-12-02,17440.0
PE,26200,2025-11-28 09:35:00,71.4,26209.55,26395.0,2025-11-28 09:40:00,81.75,TARGET,10.35,776.25,5.0,True,81.75,2025-12-02,18216.25
CE,26250,2025-11-28 09:45:00,95.55,26238.7,26423.9,2025-11-28 09:50:00,108.85,TARGET,13.3,997.5,5.0,True,108.85,2025-12-02,19213.75
PE,26200,2025-11-28 10:20:00,74.2,26220.85,26406.0,2025-11-28 10:30:00,69.15,STOP_LOSS,-5.05,-378.75,10.0,False,74.45,2025-12-02,18835.0
PE,26250,2025-11-28 11:20:00,80.6,26242.9,26417.8,2025-11-28 11:25:00,90.85,TARGET,10.25,768.75,5.0,True,90.85,2025-12-02,19603.75
PE,26150,2025-12-02 09:25:00,47.35,26130.2,26294.0,2025-12-02 09:30:00,63.85,TARGET,16.5,1237.5,5.0,True,63.85,2025-12-02,20841.25
CE,26100,2025-12-02 10:55:00,42.95,26098.2,26265.0,2025-12-02 11:15:00,35.95,STOP_LOSS,-7.0,-525.0,20.0,False,44.1,2025-12-02,20316.25
PE,26000,2025-12-03 09:20:00,104.5,26007.75,26161.0,2025-12-03 09:30:00,130.8,TARGET,26.3,1972.5,10.0,True,130.8,2025-12-09,22288.75
CE,26000,2025-12-03 12:00:00,117.35,25946.35,26099.0,2025-12-03 12:20:00,128.1,TARGET,10.75,806.25,20.0,True,128.1,2025-12-09,23095.0
CE,26000,2025-12-04 09:20:00,99.25,25992.65,26128.8,2025-12-04 09:25:00,120.5,TARGET,21.25,1593.75,5.0,True,120.5,2025-12-09,24688.75
PE,26050,2025-12-04 11:35:00,90.3,26034.75,26176.0,2025-12-04 11:40:00,101.2,TARGET,10.9,817.5,5.0,True,101.2,2025-12-09,25506.25
PE,26050,2025-12-05 09:20:00,87.15,26040.35,26180.0,2025-12-05 09:25:00,99.0,TARGET,11.85,888.75,5.0,True,99.0,2025-12-09,26395.0
CE,26050,2025-12-05 09:30:00,106.15,26049.65,26194.0,2025-12-05 09:40:00,107.1,TRAILING_STOP,0.95,71.25,10.0,True,112.85,2025-12-09,26466.25
PE,26000,2025-12-05 09:55:00,70.1,26024.35,26172.0,2025-12-05 10:05:00,38.25,STOP_LOSS,-31.85,-2388.75,10.0,False,79.7,2025-12-09,24077.5
CE,26150,2025-12-08 09:20:00,91.9,26167.95,26310.1,2025-12-08 09:30:00,77.9,STOP_LOSS,-14.0,-1050.0,10.0,False,91.9,2025-12-09,23027.5
CE,25850,2025-12-09 10:15:00,30.3,25831.7,25959.4,2025-12-09 10:25:00,48.2,TARGET,17.9,1342.5,10.0,True,48.2,2025-12-09,24370.0
PE,25800,2025-12-09 10:30:00,39.85,25796.6,25926.0,2025-12-09 10:35:00,55.7,TARGET,15.85,1188.75,5.0,True,55.7,2025-12-09,25558.75
PE,25850,2025-12-10 09:20:00,117.7,25855.65,25953.1,2025-12-10 09:30:00,97.0,STOP_LOSS,-20.7,-1552.5,10.0,False,119.2,2025-12-16,24006.25
PE,25700,2025-12-11 09:35:00,73.7,25721.45,25832.0,2025-12-11 09:40:00,106.7,TARGET,33.0,2475.0,5.0,True,106.7,2025-12-16,26481.25
CE,26000,2025-12-12 10:15:00,109.0,26003.4,26113.0,2025-12-12 10:25:00,83.3,STOP_LOSS,-25.7,-1927.5,10.0,False,109.0,2025-12-16,24553.75
CE,25900,2025-12-16 13:45:00,39.55,25923.7,26005.0,2025-12-16 13:55:00,35.0,STOP_LOSS,-4.55,-341.25,10.0,False,39.55,2025-12-16,24212.5
PE,25900,2025-12-17 09:40:00,98.6,25880.2,25955.0,2025-12-17 09:45:00,116.75,TARGET,18.15,1361.25,5.0,True,116.75,2025-12-23,25573.75
CE,25800,2025-12-18 09:20:00,113.45,25796.55,25863.0,2025-12-18 09:25:00,124.8,TARGET,11.35,851.25,5.0,True,124.8,2025-12-23,26425.0
PE,25750,2025-12-18 09:35:00,82.9,25774.55,25851.7,2025-12-18 09:45:00,93.3,TARGET,10.4,780.0,10.0,True,93.3,2025-12-23,27205.0
CE,25750,2025-12-18 10:05:00,125.65,25774.55,25845.8,2025-12-18 10:15:00,148.2,TARGET,22.55,1691.25,10.0,True,148.2,2025-12-23,28896.25
CE,25950,2025-12-19 10:15:00,90.1,25946.7,26011.3,2025-12-19 10:35:00,100.2,TARGET,10.1,757.5,20.0,True,100.2,2025-12-23,29653.75
PE,25950,2025-12-19 11:00:00,75.65,25951.05,26007.0,2025-12-19 11:30:00,89.25,TARGET,13.6,1020.0,30.0,True,89.25,2025-12-23,30673.75
CE,25950,2025-12-19 12:30:00,76.55,25951.55,26005.0,2025-12-19 12:40:00,88.2,TARGET,11.65,873.75,10.0,True,88.2,2025-12-23,31547.5
CE,26150,2025-12-23 09:55:00,37.1,26174.0,26218.0,2025-12-23 10:00:00,50.55,TARGET,13.45,1008.75,5.0,True,50.55,2025-12-23,32556.25
PE,26200,2025-12-23 11:35:00,43.75,26171.35,26206.1,2025-12-23 11:55:00,41.6,TRAILING_STOP,-2.15,-161.25,20.0,False,48.85,2025-12-23,32395.0
PE,26250,2025-12-23 15:00:00,53.7,26184.3,26210.1,2025-12-23 15:05:00,74.45,TARGET,20.75,1556.25,5.0,True,74.45,2025-12-23,33951.25
PE,26200,2025-12-24 10:50:00,79.85,26206.25,26230.0,2025-12-24 11:15:00,75.85,STOP_LOSS,-4.0,-300.0,25.0,False,82.55,2025-12-30,33651.25
CE,26200,2025-12-24 11:20:00,116.9,26215.0,26246.0,2025-12-24 11:40:00,111.15,STOP_LOSS,-5.75,-431.25,20.0,False,116.9,2025-12-30,33220.0
CE,26200,2025-12-24 12:25:00,103.65,26202.0,26236.6,2025-12-24 12:40:00,103.05,TRAILING_STOP,-0.6,-45.0,15.0,False,108.7,2025-12-30,33175.0
