option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,capital_after
CE,26100,2025-11-24 10:00:00,90.25,26106.75,26135.0,2025-11-24 10:09:00,101.55,TARGET,11.3,847.5,9.0,True,101.55,2025-11-25,10847.5
CE,26150,2025-11-24 10:12:00,75.4,26128.5,26148.7,2025-11-24 10:18:00,70.3,STOP_LOSS,-5.1,-382.5,6.0,False,75.4,2025-11-25,10465.0
PE,26100,2025-11-24 11:00:00,59.2,26097.85,26115.0,2025-11-24 11:12:00,62.0,TRAILING_STOP,2.8,210.0,12.0,True,66.0,2025-11-25,10675.0
CE,26100,2025-11-24 11:24:00,85.35,26109.6,26136.9,2025-11-24 11:30:00,97.05,TARGET,11.7,877.5,6.0,True,97.05,2025-11-25,11552.5
PE,26100,2025-11-24 11:45:00,57.35,26105.45,26127.5,2025-11-24 11:51:00,68.3,TARGET,10.95,821.25,6.0,True,68.3,2025-11-25,12373.75
PE,25950,2025-11-25 09:48:00,45.0,25955.3,25955.0,2025-11-25 09:54:00,35.0,STOP_LOSS,-10.0,-750.0,6.0,False,45.0,2025-11-25,11623.75
CE,26000,2025-11-25 10:00:00,54.45,25998.3,26010.0,2025-11-25 10:03:00,48.8,STOP_LOSS,-5.65,-423.75,3.0,False,54.45,2025-11-25,11200.0
CE,26100,2025-11-26 09:30:00,104.4,25992.1,26182.2,2025-11-26 09:33:00,115.9,TARGET,11.5,862.5,3.0,True,115.9,2025-12-02,12062.5
CE,26150,2025-11-26 10:30:00,126.3,26079.85,26278.0,2025-11-26 10:39:00,137.2,TARGET,10.9,817.5,9.0,True,137.2,2025-12-02,12880.0
CE,26250,2025-11-26 12:33:00,104.4,26165.4,26345.0,2025-11-26 12:57:00,106.3,TRAILING_STOP,1.9,142.5,24.0,True,109.6,2025-12-02,13022.5
CE,26250,2025-11-26 13:30:00,114.2,26175.05,26348.6,2025-11-26 14:00:00,121.5,TIME_EXIT,7.3,547.5,30.0,True,121.5,2025-12-02,13570.0
CE,26300,2025-11-27 09:51:00,114.55,26264.7,26444.0,2025-11-27 10:00:00,131.6,TARGET,17.05,1278.75,9.0,True,131.6,2025-12-02,14848.75
