Entry_Time,Exit_Time,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
09:29:25,09:31:32,NIFTY2610626200CE,CE,26200,87.35,84.65,90,-202.5,-3.09,19797.5,STOP_LOSS
09:37:11,09:37:59,NIFTY2610626150PE,PE,26150,76.6,73.25,76.6,-251.25,-4.37,19546.25,STOP_LOSS
09:39:15,09:40:52,NIFTY2610626150PE,PE,26150,74.3,71.4,76,-217.5,-3.9,19328.75,STOP_LOSS
09:43:46,09:45:39,NIFTY2610626200CE,CE,26200,86.8,84.1,88.15,-202.5,-3.11,19126.25,STOP_LOSS
09:47:01,09:48:08,NIFTY2610626150PE,PE,26150,72.75,69.15,73.9,-270.0,-4.95,18856.25,STOP_LOSS
09:49:33,09:52:20,NIFTY2610626200CE,CE,26200,86.25,92,92,431.25,6.67,19287.5,TARGET
09:53:23,09:53:54,NIFTY2610626200CE,CE,26200,91.2,88.6,91.7,-195.0,-2.85,19092.5,STOP_LOSS
09:55:00,09:55:31,NIFTY2610626200CE,CE,26200,88.95,85.4,89,-266.25,-3.99,18826.25,STOP_LOSS
09:56:33,09:56:49,NIFTY2610626200CE,CE,26200,90.55,88.05,90.55,-187.5,-2.76,18638.75,STOP_LOSS
09:58:13,09:58:51,NIFTY2610626150PE,PE,26150,70.4,76.55,76.55,461.25,8.74,19100.0,TARGET
09:59:54,10:00:16,NIFTY2610626150PE,PE,26150,78.15,75.2,78.15,-221.25,-3.77,18878.75,STOP_LOSS
10:01:19,10:04:23,NIFTY2610626150PE,PE,26150,74.3,70.6,77.65,-277.5,-4.98,18601.25,STOP_LOSS
10:06:24,10:06:54,NIFTY2610626150PE,PE,26150,74.45,71.95,74.45,-187.5,-3.36,18413.75,STOP_LOSS
10:09:54,10:15:38,NIFTY2610626150PE,PE,26150,74.8,81,81,465.0,8.29,18878.75,TARGET
10:16:48,10:17:05,NIFTY2610626150PE,PE,26150,84.45,80.3,84.45,-311.25,-4.91,19688.75,STOP_LOSS
10:18:10,10:20:50,NIFTY2610626150PE,PE,26150,82.6,88.8,88.8,465.0,7.51,20153.75,TARGET
10:22:09,10:24:12,NIFTY2610626100PE,PE,26100,68.45,65.95,70.35,-187.5,-3.65,19966.25,STOP_LOSS
10:25:15,10:25:54,NIFTY2610626150PE,PE,26150,84.2,80.6,84.2,-270.0,-4.28,19696.25,STOP_LOSS
10:34:45,10:37:46,NIFTY2610626150CE,CE,26150,102.8,99.85,105.95,-221.25,-2.87,19475.0,STOP_LOSS
10:46:15,10:48:23,NIFTY2610626150CE,CE,26150,104.55,109.65,109.65,382.5,4.88,19857.5,TARGET
