Entry_Time,Exit_Time,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
12:36:34,13:06:41,NIFTY25DEC25950PE,PE,25950,37.25,33.9,38.3,-251.25,-8.99,9748.75,TIME_EXIT
13:14:09,13:29:12,NIFTY25DEC25950PE,PE,25950,37.25,42.65,45,405,14.5,10153.75,STAGNANCY_TRAIL
13:30:13,13:37:40,NIFTY25DEC25950PE,PE,25950,42.55,55.25,55.25,952.5,29.85,11106.25,TARGET
,,,,,,,,1106.25,,,
13:41:12,13:45:51,NIFTY25DEC25950PE,PE,25950,59,54,59,-375,-8.47,9625,STOP_LOSS
14:14:07,14:24:19,NIFTY25DEC25950PE,PE,25950,48.75,43.4,57.4,-401.25,-10.97,9223.75,STOP_LOSS
14:40:31,14:51:24,NIFTY25DEC25950PE,PE,25950,45.25,56.65,56.65,855,25.19,10078.75,TARGET
14:54:10,14:57:00,NIFTY25DEC25950PE,PE,25950,57.85,51.95,59,-442.5,-10.2,9636.25,STOP_LOSS
14:58:03,15:04:51,NIFTY25DEC25950PE,PE,25950,50.85,45.5,51.85,-401.25,-10.52,9235,STOP_LOSS
,,,,,,,,-765,,,
,,,,,,,,total,,,
,,,,,,,,341.25,,,
