Strategy,Initial_Capital,Final_Capital,Total_PnL,PnL_Pct,Total_Trades,Wins,Losses,Win_Rate,Best_Trade,Worst_Trade,Avg_Win,Avg_Loss,Profit_Factor
ORIGINAL_1min,10000,9925,-75,-0.75,19,7,12,36.84,858.75,-491.25,671.25,-397.81,0.98
STRATEGY_A_1min,10000,13251.25,3251.25,32.51,22,11,11,50,1053.75,-457.5,681.82,-386.25,1.77
STRATEGY_B_1min,10000,10450,450,4.5,4,2,2,50,772.5,-656.25,761.25,-536.25,1.42
STRATEGY_C_1min,10000,10303.75,303.75,3.04,2,1,1,50,772.5,-468.75,772.5,-468.75,1.65
ORIGINAL_2min,10000,10551.25,551.25,5.51,20,9,11,45,836.25,-585,631.67,-466.7,1.11
STRATEGY_A_2min,10000,13622.5,3622.5,36.23,21,11,10,52.38,1072.5,-495,680.45,-386.25,1.94
STRATEGY_B_2min,10000,10431.25,431.25,4.31,4,2,2,50,810,-686.25,802.5,-586.88,1.37
STRATEGY_C_2min,10000,9231.25,-768.75,-7.69,7,2,5,28.57,795,-585,791.25,-470.25,0.67
ORIGINAL_3min,10000,9797.5,-202.5,-2.02,19,8,11,42.11,1053.75,-1496.25,670.78,-506.25,0.96
STRATEGY_A_3min,10000,13502.5,3502.5,35.02,20,11,9,55,1053.75,-532.5,675.68,-436.67,1.89
STRATEGY_B_3min,10000,9452.5,-547.5,-5.47,4,1,3,25,750,-476.25,750,-432.5,0.58
STRATEGY_C_3min,10000,10022.5,22.5,0.22,7,4,3,57.14,761.25,-1496.25,638.44,-843.75,1.01
ORIGINAL_5min,10000,12681.25,2681.25,26.81,17,9,8,52.94,832.5,-667.5,726.25,-481.88,1.7
STRATEGY_A_5min,10000,14676.25,4676.25,46.76,20,12,8,60,982.5,-622.5,690.94,-451.87,2.29
STRATEGY_B_5min,10000,10000,0,0,0,0,0,0,0,0,0,0,0
STRATEGY_C_5min,10000,10030,30,0.3,5,2,3,40,776.25,-667.5,774.38,-506.25,1.02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,[5min] | ? LIVE | ?? Nifty: 26141.85 | FUT_VWAP: 26237.03 ??(+63.0) | RSI: 48.8? | ATM: 26150 | CE: Rs.115.50 | PE: Rs.85.00 | PCR: 1.36???? Market closed. Time: 15:30:50,,,,,,,,,,,,
,?? Market closed. Time: 15:31:50,,,,,,,,,,,,
,?? Market closed. Time: 15:32:50,,,,,,,,,,,,
