Timestamp,Strike,Type,Symbol,LTP,OI,OI_Change,Volume,Delta,Gamma,Theta,Vega,IV
2025-12-24 11:43:32,13000.0,CE,,0,0,0,0,0,0,0,0,0
2025-12-24 11:43:32,13000.0,PE,NIFTY25DEC13000PE,0.55,511,0,303,-0.0004,0,-0.5967,0.0445,165.0084
2025-12-24 11:43:32,15000.0,CE,,0,0,0,0,0,0,0,0,0
2025-12-24 11:43:32,15000.0,PE,NIFTY25DEC15000PE,0.7,328,0,242,-0.0005,0,-0.7228,0.0657,135.4068
2025-12-24 11:43:32,16000.0,CE,NIFTY25DEC16000CE,10194,4,0,0,0.9995,0,-0.579,0.0602,118.3583
2025-12-24 11:43:32,16000.0,PE,NIFTY25DEC16000PE,0.55,284,0,188,-0.0005,0,-0.579,0.0602,118.3583
2025-12-24 11:43:32,16500.0,CE,,0,0,0,0,0,0,0,0,0
2025-12-24 11:43:32,16500.0,PE,NIFTY25DEC16500PE,0.5,90,0,33,-0.0005,0,-0.5295,0.059,110.5885
2025-12-24 11:43:32,17000.0,CE,NIFTY25DEC17000CE,9233,1465,0,4,0.9994,0,-0.6169,0.0721,105.3615
2025-12-24 11:43:32,17000.0,PE,NIFTY25DEC17000PE,0.6,1834,0,919,-0.0006,0,-0.6169,0.0721,105.3615
2025-12-24 11:43:32,18000.0,CE,NIFTY25DEC18000CE,8230,665,0,21,0.9993,0,-0.6519,0.0864,92.8849
2025-12-24 11:43:32,18000.0,PE,NIFTY25DEC18000PE,0.65,1538,0,253,-0.0007,0,-0.6519,0.0864,92.8849
2025-12-24 11:43:32,19000.0,CE,NIFTY25DEC19000CE,7197.2,99,0,0,0.999,0,-0.7672,0.1155,81.7771
2025-12-24 11:43:32,19000.0,PE,NIFTY25DEC19000PE,0.8,4285,0,493,-0.001,0,-0.7672,0.1155,81.7771
2025-12-24 11:43:32,19500.0,CE,NIFTY25DEC19500CE,6697.7,14,0,0,0,0,0,0,0
2025-12-24 11:43:32,19500.0,PE,,0,0,0,0,0,0,0,0,0
2025-12-24 11:43:32,20000.0,CE,NIFTY25DEC20000CE,6245,2678,0,77,0.9988,0,-0.7923,0.1394,69.9979
2025-12-24 11:43:32,20000.0,PE,NIFTY25DEC20000PE,0.85,7103,0,1997,-0.0012,0,-0.7923,0.1394,69.9979
2025-12-24 11:43:32,21000.0,CE,NIFTY25DEC21000CE,5240.15,3454,0,627,0.9982,0,-0.9643,0.199,59.6607
2025-12-24 11:43:32,21000.0,PE,NIFTY25DEC21000PE,1.1,20907,0,11124,-0.0018,0,-0.9643,0.199,59.6607
2025-12-24 11:43:32,22000.0,CE,NIFTY25DEC22000CE,4222.65,4322,0,89,0.9976,0,-1.0064,0.2554,48.5179
2025-12-24 11:43:32,22000.0,PE,NIFTY25DEC22000PE,1.15,27078,0,15132,-0.0024,0,-1.0064,0.2554,48.5179
2025-12-24 11:43:32,22850.0,CE,NIFTY25DEC22850CE,3351.25,11,0,0,0.9965,0,-1.1409,0.3543,39.6483
2025-12-24 11:43:32,22850.0,PE,NIFTY25DEC22850PE,1.45,1678,0,3351,-0.0035,0,-1.1409,0.3543,39.6483
2025-12-24 11:43:32,22900.0,CE,NIFTY25DEC22900CE,3301.3,58,0,0,0.9963,0,-1.2038,0.3767,39.351
2025-12-24 11:43:32,22900.0,PE,NIFTY25DEC22900PE,1.55,2243,0,2862,-0.0037,0,-1.2038,0.3767,39.351
2025-12-24 11:43:32,22950.0,CE,NIFTY25DEC22950CE,3251.35,25,0,0,0.9963,0,-1.1683,0.3722,38.6463
2025-12-24 11:43:32,22950.0,PE,NIFTY25DEC22950PE,1.5,1062,0,1639,-0.0037,0,-1.1683,0.3722,38.6463
2025-12-24 11:43:32,23000.0,CE,NIFTY25DEC23000CE,3235,7805,0,558,0.9962,0,-1.1979,0.3861,38.2075
2025-12-24 11:43:32,23000.0,PE,NIFTY25DEC23000PE,1.55,58009,0,37994,-0.0038,0,-1.1979,0.3861,38.2075
2025-12-24 11:43:32,23050.0,CE,NIFTY25DEC23050CE,3151.45,1,0,0,0.996,0,-1.2272,0.4002,37.763
2025-12-24 11:43:32,23050.0,PE,NIFTY25DEC23050PE,1.6,758,0,1024,-0.004,0,-1.2272,0.4002,37.763
2025-12-24 11:43:32,23100.0,CE,NIFTY25DEC23100CE,3101.5,2,0,0,0.996,0,-1.2241,0.4053,37.191
2025-12-24 11:43:32,23100.0,PE,NIFTY25DEC23100PE,1.6,10934,0,10094,-0.004,0,-1.2241,0.4053,37.191
2025-12-24 11:43:32,23150.0,CE,NIFTY25DEC23150CE,3051.55,148,0,0,0.9961,0,-1.1566,0.3916,36.3701
2025-12-24 11:43:32,23150.0,PE,NIFTY25DEC23150PE,1.5,622,0,655,-0.0039,0,-1.1566,0.3916,36.3701
2025-12-24 11:43:32,23200.0,CE,NIFTY25DEC23200CE,3001.6,7,0,0,0.9959,0,-1.2176,0.4159,36.0485
2025-12-24 11:43:32,23200.0,PE,NIFTY25DEC23200PE,1.6,10441,0,19224,-0.0041,0,-1.2176,0.4159,36.0485
2025-12-24 11:43:32,23250.0,CE,NIFTY25DEC23250CE,2951.65,1,0,0,0.9956,0,-1.2775,0.4405,35.71
2025-12-24 11:43:32,23250.0,PE,NIFTY25DEC23250PE,1.7,91,0,371,-0.0044,0,-1.2775,0.4405,35.71
2025-12-24 11:43:32,23300.0,CE,NIFTY25DEC23300CE,2901.7,63,0,0,0.9957,0,-1.211,0.4272,34.9079
2025-12-24 11:43:32,23300.0,PE,NIFTY25DEC23300PE,1.6,293,0,987,-0.0043,0,-1.211,0.4272,34.9079
2025-12-24 11:43:32,23350.0,CE,NIFTY25DEC23350CE,2851.75,1,0,0,0.9956,0,-1.2391,0.4429,34.4524
