datetime,open,high,low,close,volume,oi
2025-12-10T09:15:00,147.1,150.15,133.2,137.8,1711575,23765.0
2025-12-10T09:16:00,136.75,153.55,135.75,153.1,1990275,
2025-12-10T09:17:00,152.0,162.5,150.25,154.05,2075850,
2025-12-10T09:18:00,157.0,166.05,155.6,164.95,1706025,35577.0
2025-12-10T09:19:00,163.0,170.7,163.0,164.55,1546950,
2025-12-10T09:20:00,162.55,165.25,145.6,145.7,1409325,
2025-12-10T09:21:00,146.55,157.8,143.35,155.95,1325025,39892.0
2025-12-10T09:22:00,155.75,156.9,152.5,156.45,555375,
2025-12-10T09:23:00,155.9,161.85,155.0,161.1,850200,
2025-12-10T09:24:00,161.95,162.5,149.3,149.3,899550,43967.0
2025-12-10T09:25:00,148.85,151.55,142.85,149.15,1267275,
2025-12-10T09:26:00,150.2,159.9,148.0,159.8,1170300,
2025-12-10T09:27:00,159.45,160.95,154.9,157.95,861750,
2025-12-10T09:28:00,157.85,161.65,156.85,160.2,603075,47508.0
2025-12-10T09:29:00,160.65,167.0,158.65,166.0,964425,
2025-12-10T09:30:00,166.5,174.35,166.4,173.05,2034750,
2025-12-10T09:31:00,173.1,174.25,170.05,172.4,937125,48645.0
2025-12-10T09:32:00,172.85,178.2,172.0,176.45,1161525,
2025-12-10T09:33:00,176.7,177.75,166.95,170.25,1048425,
2025-12-10T09:34:00,169.4,176.1,168.8,175.3,734625,45379.0
2025-12-10T09:35:00,174.85,180.4,174.85,177.55,992925,
2025-12-10T09:36:00,177.0,185.4,177.0,184.5,954075,
2025-12-10T09:37:00,183.0,184.4,181.0,182.5,648675,43513.0
2025-12-10T09:38:00,182.75,183.3,178.8,179.9,414750,
2025-12-10T09:39:00,179.4,182.4,178.6,180.55,302550,
2025-12-10T09:40:00,180.6,184.0,176.3,177.15,610650,42588.0
2025-12-10T09:41:00,178.2,184.1,176.8,181.25,323025,
2025-12-10T09:42:00,181.95,187.2,180.2,180.55,634650,
2025-12-10T09:43:00,181.45,181.45,177.3,179.85,303300,41206.0
2025-12-10T09:44:00,179.9,182.4,172.15,180.7,661200,
2025-12-10T09:45:00,180.25,185.9,179.05,184.0,654900,
2025-12-10T09:46:00,183.15,184.4,181.2,183.1,248175,40437.0
2025-12-10T09:47:00,182.5,188.0,182.5,183.45,455625,
2025-12-10T09:48:00,182.3,182.3,177.2,177.65,370350,
2025-12-10T09:49:00,177.9,178.15,169.2,170.3,617550,39116.0
2025-12-10T09:50:00,169.95,174.2,167.4,170.35,497100,
2025-12-10T09:51:00,169.7,177.0,168.15,176.4,491400,
2025-12-10T09:52:00,176.05,176.05,172.55,174.5,214050,40059.0
2025-12-10T09:53:00,174.7,176.0,173.3,173.45,193725,
2025-12-10T09:54:00,173.85,175.5,170.75,174.05,219150,
2025-12-10T09:55:00,173.7,174.1,165.65,166.35,388575,39233.0
2025-12-10T09:56:00,167.9,174.4,166.75,172.65,366150,
2025-12-10T09:57:00,172.55,175.45,166.7,167.15,451950,
2025-12-10T09:58:00,167.2,172.05,166.6,171.0,299175,39721.0
2025-12-10T09:59:00,171.5,171.75,163.25,165.3,441300,
2025-12-10T10:00:00,165.1,169.4,163.35,168.2,387375,
2025-12-10T10:01:00,168.3,172.75,165.2,172.75,305400,40752.0
2025-12-10T10:02:00,172.4,178.65,170.7,178.4,874050,
2025-12-10T10:03:00,178.3,183.45,177.8,182.1,916125,
2025-12-10T10:04:00,182.05,182.05,175.85,178.5,353550,39915.0
2025-12-10T10:05:00,178.4,180.35,174.65,177.1,349425,
2025-12-10T10:06:00,177.5,183.55,176.9,182.45,384450,
2025-12-10T10:07:00,182.3,182.7,179.45,182.0,217575,40183.0
2025-12-10T10:08:00,182.5,185.45,180.45,184.8,360300,
2025-12-10T10:09:00,184.4,186.4,181.7,183.1,479550,
2025-12-10T10:10:00,183.15,185.3,182.15,182.8,204450,38749.0
2025-12-10T10:11:00,182.55,185.3,180.4,185.15,265275,
2025-12-10T10:12:00,185.4,187.35,183.8,184.5,343800,
2025-12-10T10:13:00,183.75,185.75,182.35,185.75,155400,37521.0
2025-12-10T10:14:00,185.45,187.7,184.45,185.75,266700,
2025-12-10T10:15:00,186.5,195.95,186.5,192.95,1079475,
2025-12-10T10:16:00,190.55,193.6,188.2,191.0,410325,35148.0
2025-12-10T10:17:00,190.45,193.6,189.75,190.1,201000,
2025-12-10T10:18:00,189.65,190.4,183.75,186.0,403350,
2025-12-10T10:19:00,185.65,194.85,185.0,194.3,368100,33504.0
2025-12-10T10:20:00,193.8,201.5,193.8,199.75,844725,
2025-12-10T10:21:00,199.6,200.45,195.95,197.55,355575,
2025-12-10T10:22:00,198.45,199.3,196.0,198.95,179850,32020.0
2025-12-10T10:23:00,198.8,199.65,197.2,199.6,153525,
2025-12-10T10:24:00,198.8,199.95,196.3,196.95,158175,
2025-12-10T10:25:00,197.15,201.5,196.4,200.55,245925,31952.0
2025-12-10T10:26:00,201.0,205.3,200.55,203.15,489525,
2025-12-10T10:27:00,202.6,203.15,199.35,199.75,221850,
2025-12-10T10:28:00,199.8,200.35,188.9,188.9,411450,30688.0
2025-12-10T10:29:00,189.6,189.7,186.0,187.25,308625,
2025-12-10T10:30:00,187.55,193.65,186.8,192.0,232575,
2025-12-10T10:31:00,192.55,194.45,189.8,191.05,236925,29937.0
2025-12-10T10:32:00,191.35,192.45,187.55,191.6,146625,
2025-12-10T10:33:00,191.5,191.9,187.6,189.9,132675,
2025-12-10T10:34:00,190.0,192.5,188.85,191.8,92625,29885.0
2025-12-10T10:35:00,192.1,196.35,191.65,194.45,240300,
2025-12-10T10:36:00,194.65,196.55,193.75,194.65,159000,
2025-12-10T10:37:00,195.0,196.1,187.3,189.0,189225,30469.0
2025-12-10T10:38:00,188.75,189.1,181.6,188.3,328200,
2025-12-10T10:39:00,188.7,188.7,182.85,183.55,152550,
2025-12-10T10:40:00,184.35,185.35,179.35,181.45,268050,29241.0
2025-12-10T10:41:00,180.75,181.6,176.3,178.5,226650,
2025-12-10T10:42:00,178.9,181.65,177.85,180.6,165750,
2025-12-10T10:43:00,181.0,184.55,178.9,183.6,157650,29846.0
