Timestamp	Strike	Type	Symbol	LTP	OI	OI_Change	Volume	Delta	Gamma	Theta	Vega	IV
12/24/2025 11:43	13000	CE		0	0	0	0	0	0	0	0	0
12/24/2025 11:43	13000	PE	NIFTY25DEC13000PE	0.55	511	0	303	-0.0004	0	-0.5967	0.0445	165.0084
12/24/2025 11:43	15000	CE		0	0	0	0	0	0	0	0	0
12/24/2025 11:43	15000	PE	NIFTY25DEC15000PE	0.7	328	0	242	-0.0005	0	-0.7228	0.0657	135.4068
12/24/2025 11:43	16000	CE	NIFTY25DEC16000CE	10194	4	0	0	0.9995	0	-0.579	0.0602	118.3583
12/24/2025 11:43	16000	PE	NIFTY25DEC16000PE	0.55	284	0	188	-0.0005	0	-0.579	0.0602	118.3583
12/24/2025 11:43	16500	CE		0	0	0	0	0	0	0	0	0
12/24/2025 11:43	16500	PE	NIFTY25DEC16500PE	0.5	90	0	33	-0.0005	0	-0.5295	0.059	110.5885
12/24/2025 11:43	17000	CE	NIFTY25DEC17000CE	9233	1465	0	4	0.9994	0	-0.6169	0.0721	105.3615
12/24/2025 11:43	17000	PE	NIFTY25DEC17000PE	0.6	1834	0	919	-0.0006	0	-0.6169	0.0721	105.3615
12/24/2025 11:43	18000	CE	NIFTY25DEC18000CE	8230	665	0	21	0.9993	0	-0.6519	0.0864	92.8849
12/24/2025 11:43	18000	PE	NIFTY25DEC18000PE	0.65	1538	0	253	-0.0007	0	-0.6519	0.0864	92.8849
12/24/2025 11:43	19000	CE	NIFTY25DEC19000CE	7197.2	99	0	0	0.999	0	-0.7672	0.1155	81.7771
12/24/2025 11:43	19000	PE	NIFTY25DEC19000PE	0.8	4285	0	493	-0.001	0	-0.7672	0.1155	81.7771
12/24/2025 11:43	19500	CE	NIFTY25DEC19500CE	6697.7	14	0	0	0	0	0	0	0
12/24/2025 11:43	19500	PE		0	0	0	0	0	0	0	0	0
12/24/2025 11:43	20000	CE	NIFTY25DEC20000CE	6245	2678	0	77	0.9988	0	-0.7923	0.1394	69.9979
12/24/2025 11:43	20000	PE	NIFTY25DEC20000PE	0.85	7103	0	1997	-0.0012	0	-0.7923	0.1394	69.9979
12/24/2025 11:43	21000	CE	NIFTY25DEC21000CE	5240.15	3454	0	627	0.9982	0	-0.9643	0.199	59.6607
12/24/2025 11:43	21000	PE	NIFTY25DEC21000PE	1.1	20907	0	11124	-0.0018	0	-0.9643	0.199	59.6607
12/24/2025 11:43	22000	CE	NIFTY25DEC22000CE	4222.65	4322	0	89	0.9976	0	-1.0064	0.2554	48.5179
12/24/2025 11:43	22000	PE	NIFTY25DEC22000PE	1.15	27078	0	15132	-0.0024	0	-1.0064	0.2554	48.5179
12/24/2025 11:43	22850	CE	NIFTY25DEC22850CE	3351.25	11	0	0	0.9965	0	-1.1409	0.3543	39.6483
12/24/2025 11:43	22850	PE	NIFTY25DEC22850PE	1.45	1678	0	3351	-0.0035	0	-1.1409	0.3543	39.6483
12/24/2025 11:43	22900	CE	NIFTY25DEC22900CE	3301.3	58	0	0	0.9963	0	-1.2038	0.3767	39.351
12/24/2025 11:43	22900	PE	NIFTY25DEC22900PE	1.55	2243	0	2862	-0.0037	0	-1.2038	0.3767	39.351
12/24/2025 11:43	22950	CE	NIFTY25DEC22950CE	3251.35	25	0	0	0.9963	0	-1.1683	0.3722	38.6463
12/24/2025 11:43	22950	PE	NIFTY25DEC22950PE	1.5	1062	0	1639	-0.0037	0	-1.1683	0.3722	38.6463
12/24/2025 11:43	23000	CE	NIFTY25DEC23000CE	3235	7805	0	558	0.9962	0	-1.1979	0.3861	38.2075
12/24/2025 11:43	23000	PE	NIFTY25DEC23000PE	1.55	58009	0	37994	-0.0038	0	-1.1979	0.3861	38.2075
12/24/2025 11:43	23050	CE	NIFTY25DEC23050CE	3151.45	1	0	0	0.996	0	-1.2272	0.4002	37.763
12/24/2025 11:43	23050	PE	NIFTY25DEC23050PE	1.6	758	0	1024	-0.004	0	-1.2272	0.4002	37.763
12/24/2025 11:43	23100	CE	NIFTY25DEC23100CE	3101.5	2	0	0	0.996	0	-1.2241	0.4053	37.191
12/24/2025 11:43	23100	PE	NIFTY25DEC23100PE	1.6	10934	0	10094	-0.004	0	-1.2241	0.4053	37.191
12/24/2025 11:43	23150	CE	NIFTY25DEC23150CE	3051.55	148	0	0	0.9961	0	-1.1566	0.3916	36.3701
12/24/2025 11:43	23150	PE	NIFTY25DEC23150PE	1.5	622	0	655	-0.0039	0	-1.1566	0.3916	36.3701
12/24/2025 11:43	23200	CE	NIFTY25DEC23200CE	3001.6	7	0	0	0.9959	0	-1.2176	0.4159	36.0485
12/24/2025 11:43	23200	PE	NIFTY25DEC23200PE	1.6	10441	0	19224	-0.0041	0	-1.2176	0.4159	36.0485
12/24/2025 11:43	23250	CE	NIFTY25DEC23250CE	2951.65	1	0	0	0.9956	0	-1.2775	0.4405	35.71
12/24/2025 11:43	23250	PE	NIFTY25DEC23250PE	1.7	91	0	371	-0.0044	0	-1.2775	0.4405	35.71
12/24/2025 11:43	23300	CE	NIFTY25DEC23300CE	2901.7	63	0	0	0.9957	0	-1.211	0.4272	34.9079
12/24/2025 11:43	23300	PE	NIFTY25DEC23300PE	1.6	293	0	987	-0.0043	0	-1.211	0.4272	34.9079
12/24/2025 11:43	23350	CE	NIFTY25DEC23350CE	2851.75	1	0	0	0.9956	0	-1.2391	0.4429	34.4524
12/24/2025 11:43	23350	PE	NIFTY25DEC23350PE	1.65	218	0	361	-0.0044	0	-1.2391	0.4429	34.4524
12/24/2025 11:43	23400	CE	NIFTY25DEC23400CE	2801.8	1	0	0	0.9957	0	-1.1726	0.429	33.6538
12/24/2025 11:43	23400	PE	NIFTY25DEC23400PE	1.55	512	0	2343	-0.0043	0	-1.1726	0.429	33.6538
12/24/2025 11:43	23450	CE	NIFTY25DEC23450CE	2751.85	8	0	0	0.9955	0	-1.2006	0.4453	33.2001
12/24/2025 11:43	23450	PE	NIFTY25DEC23450PE	1.6	242	0	337	-0.0045	0	-1.2006	0.4453	33.2001
12/24/2025 11:43	23500	CE	NIFTY25DEC23500CE	2725	2089	0	110	0.9956	0	-1.1657	0.4414	32.5196
12/24/2025 11:43	23500	PE	NIFTY25DEC23500PE	1.55	22561	0	39775	-0.0044	0	-1.1657	0.4414	32.5196
12/24/2025 11:43	23550	CE	NIFTY25DEC23550CE	2652	1	0	0	0.9953	0	-1.2244	0.4687	32.1713
12/24/2025 11:43	23550	PE	NIFTY25DEC23550PE	1.65	227	0	294	-0.0047	0	-1.2244	0.4687	32.1713
12/24/2025 11:43	23600	CE	NIFTY25DEC23600CE	2617	31	0	0	0.9953	0	-1.1897	0.4651	31.4957
12/24/2025 11:43	23600	PE	NIFTY25DEC23600PE	1.6	978	0	2672	-0.0047	0	-1.1897	0.4651	31.4957
12/24/2025 11:43	23650	CE	NIFTY25DEC23650CE	2552.1	2	0	0	0.995	0	-1.2474	0.4933	31.1353
12/24/2025 11:43	23650	PE	NIFTY25DEC23650PE	1.7	147	0	171	-0.005	0	-1.2474	0.4933	31.1353
12/24/2025 11:43	23700	CE	NIFTY25DEC23700CE	2502.15	43	0	0	0.995	0	-1.2128	0.4902	30.464
12/24/2025 11:43	23700	PE	NIFTY25DEC23700PE	1.65	1213	0	2849	-0.005	0	-1.2128	0.4902	30.464
12/24/2025 11:43	23750	CE	NIFTY25DEC23750CE	2452.2	4	0	0	0.9948	0	-1.2391	0.5087	29.9948
12/24/2025 11:43	23750	PE	NIFTY25DEC23750PE	1.7	155	0	282	-0.0052	0	-1.2391	0.5087	29.9948
12/24/2025 11:43	23800	CE	NIFTY25DEC23800CE	2402.25	46	0	0	0.9946	0	-1.265	0.5277	29.5207
12/24/2025 11:43	23800	PE	NIFTY25DEC23800PE	1.75	6637	0	7215	-0.0054	0	-1.265	0.5277	29.5207
12/24/2025 11:43	23850	CE	NIFTY25DEC23850CE	2352.3	1	0	0	0.9944	0	-1.2904	0.5471	29.0418
12/24/2025 11:43	23850	PE	NIFTY25DEC23850PE	1.8	238	0	623	-0.0056	0	-1.2904	0.5471	29.0418
12/24/2025 11:43	23900	CE	NIFTY25DEC23900CE	2302.35	15	0	0	0.9945	0	-1.2262	0.5338	28.2857
12/24/2025 11:43	23900	PE	NIFTY25DEC23900PE	1.7	1672	0	5523	-0.0055	0	-1.2262	0.5338	28.2857
12/24/2025 11:43	23950	CE	NIFTY25DEC23950CE	2252.4	1	0	0	0.9947	0	-1.1616	0.5196	27.528
12/24/2025 11:43	23950	PE	NIFTY25DEC23950PE	1.6	325	0	960	-0.0053	0	-1.1616	0.5196	27.528
12/24/2025 11:43	24000	CE	NIFTY25DEC24000CE	2224.8	11319	0	555	0.9942	0	-1.2467	0.5636	27.2366
12/24/2025 11:43	24000	PE	NIFTY25DEC24000PE	1.75	65447	0	38373	-0.0058	0	-1.2467	0.5636	27.2366
12/24/2025 11:43	24050	CE	NIFTY25DEC24050CE	2152.5	3	0	0	0.9939	0	-1.2712	0.5851	26.7522
12/24/2025 11:43	24050	PE	NIFTY25DEC24050PE	1.8	474	0	1580	-0.0061	0	-1.2712	0.5851	26.7522
12/24/2025 11:43	24100	CE	NIFTY25DEC24100CE	2102.55	24	0	0	0.9939	0	-1.2369	0.5837	26.0952
12/24/2025 11:43	24100	PE	NIFTY25DEC24100PE	1.75	2380	0	7012	-0.0061	0	-1.2369	0.5837	26.0952
12/24/2025 11:43	24150	CE	NIFTY25DEC24150CE	2052.6	2	0	0	0.9935	0	-1.2898	0.6183	25.6894
12/24/2025 11:43	24150	PE	NIFTY25DEC24150PE	1.85	439	0	1628	-0.0065	0	-1.2898	0.6183	25.6894
12/24/2025 11:43	24200	CE	NIFTY25DEC24200CE	2042.65	71	0	10	0.9935	0	-1.2556	0.6176	25.0355
12/24/2025 11:43	24200	PE	NIFTY25DEC24200PE	1.8	4542	0	11836	-0.0065	0	-1.2556	0.6176	25.0355
12/24/2025 11:43	24250	CE	NIFTY25DEC24250CE	1952.7	3	0	0	0.9933	0	-1.2788	0.6416	24.5418
12/24/2025 11:43	24250	PE	NIFTY25DEC24250PE	1.8	914	0	4412	-0.0067	0	-1.2788	0.6416	24.5418
12/24/2025 11:43	24300	CE	NIFTY25DEC24300CE	1902.75	25	0	0	0.9931	0	-1.2731	0.6541	23.9679
12/24/2025 11:43	24300	PE	NIFTY25DEC24300PE	1.85	3462	0	7387	-0.0069	0	-1.2731	0.6541	23.9679
12/24/2025 11:43	24350	CE	NIFTY25DEC24350CE	1890.9	8	0	1	0.9927	0	-1.3234	0.6922	23.5409
12/24/2025 11:43	24350	PE	NIFTY25DEC24350PE	1.95	689	0	1790	-0.0073	0	-1.3234	0.6922	23.5409
12/24/2025 11:43	24400	CE	NIFTY25DEC24400CE	1856.75	40	0	3	0.9925	0	-1.317	0.7062	22.9636
12/24/2025 11:43	24400	PE	NIFTY25DEC24400PE	1.95	3252	0	6859	-0.0075	0	-1.317	0.7062	22.9636
12/24/2025 11:43	24450	CE	NIFTY25DEC24450CE	1752.95	6	0	0	0.9925	0	-1.2829	0.7079	22.3161
12/24/2025 11:43	24450	PE	NIFTY25DEC24450PE	1.9	794	0	2305	-0.0075	0	-1.2829	0.7079	22.3161
12/24/2025 11:43	24500	CE	NIFTY25DEC24500CE	1746.9	2304	0	64	0.9923	0	-1.2763	0.723	21.7397
12/24/2025 11:43	24500	PE	NIFTY25DEC24500PE	1.95	54535	0	54239	-0.0077	0	-1.2763	0.723	21.7397
12/24/2025 11:43	24550	CE	NIFTY25DEC24550CE	1653.05	13	0	0	0.9918	0	-1.3242	0.7657	21.2959
12/24/2025 11:43	24550	PE	NIFTY25DEC24550PE	2	1508	0	6837	-0.0082	0	-1.3242	0.7657	21.2959
12/24/2025 11:43	24600	CE	NIFTY25DEC24600CE	1603.1	112	0	0	0.9916	0	-1.317	0.7829	20.7158
12/24/2025 11:43	24600	PE	NIFTY25DEC24600PE	2	8046	0	20869	-0.0084	0	-1.317	0.7829	20.7158
12/24/2025 11:43	24650	CE	NIFTY25DEC24650CE	1570.5	25	0	1	0.991	0	-1.3629	0.8284	20.258
12/24/2025 11:43	24650	PE	NIFTY25DEC24650PE	2.1	1780	0	7564	-0.009	0	-1.3629	0.8284	20.258
12/24/2025 11:43	24700	CE	NIFTY25DEC24700CE	1558.25	119	0	11	0.9906	0	-1.3811	0.8619	19.7325
12/24/2025 11:43	24700	PE	NIFTY25DEC24700PE	2.15	14992	0	30534	-0.0094	0	-1.3811	0.8619	19.7325
12/24/2025 11:43	24750	CE	NIFTY25DEC24750CE	1453.25	18	0	0	0.9901	0	-1.3986	0.8969	19.2026
12/24/2025 11:43	24750	PE	NIFTY25DEC24750PE	2.2	4060	0	9464	-0.0099	0	-1.3986	0.8969	19.2026
12/24/2025 11:43	24800	CE	NIFTY25DEC24800CE	1430	320	0	74	0.9897	0	-1.4153	0.9336	18.6684
12/24/2025 11:43	24800	PE	NIFTY25DEC24800PE	2.25	27455	0	55481	-0.0103	0	-1.4153	0.9336	18.6684
12/24/2025 11:43	24850	CE	NIFTY25DEC24850CE	1353.4	9	0	0	0.9892	0	-1.4312	0.9721	18.1299
12/24/2025 11:43	24850	PE	NIFTY25DEC24850PE	2.3	3988	0	7451	-0.0108	0	-1.4312	0.9721	18.1299
12/24/2025 11:43	24900	CE	NIFTY25DEC24900CE	1342	328	0	9	0.9887	0	-1.4462	1.0126	17.587
12/24/2025 11:43	24900	PE	NIFTY25DEC24900PE	2.3	16334	0	40096	-0.0113	0	-1.4462	1.0126	17.587
12/24/2025 11:43	24950	CE	NIFTY25DEC24950CE	1279.25	14	0	4	0.9877	0.0001	-1.5093	1.0848	17.1331
12/24/2025 11:43	24950	PE	NIFTY25DEC24950PE	2.45	4954	0	15994	-0.0123	0.0001	-1.5093	1.0848	17.1331
12/24/2025 11:43	25000	CE	NIFTY25DEC25000CE	1228.35	19117	0	797	0.9869	0.0001	-1.5458	1.1452	16.6215
12/24/2025 11:43	25000	PE	NIFTY25DEC25000PE	2.55	121170	0	175240	-0.0131	0.0001	-1.5458	1.1452	16.6215
12/24/2025 11:43	25050	CE	NIFTY25DEC25050CE	1195.65	18	0	2	0.9865	0.0001	-1.5333	1.1788	16.0176
12/24/2025 11:43	25050	PE	NIFTY25DEC25050PE	2.6	5345	0	22673	-0.0135	0.0001	-1.5333	1.1788	16.0176
12/24/2025 11:43	25100	CE	NIFTY25DEC25100CE	1136.95	547	0	42	0.9858	0.0001	-1.5437	1.2301	15.4532
12/24/2025 11:43	25100	PE	NIFTY25DEC25100PE	2.65	22872	0	59480	-0.0142	0.0001	-1.5437	1.2301	15.4532
12/24/2025 11:43	25150	CE	NIFTY25DEC25150CE	1048.9	18	0	0	0.9844	0.0001	-1.6216	1.3314	14.9988
12/24/2025 11:43	25150	PE	NIFTY25DEC25150PE	2.9	7187	0	27767	-0.0156	0.0001	-1.6216	1.3314	14.9988
12/24/2025 11:43	25200	CE	NIFTY25DEC25200CE	1046.3	1344	0	139	0.9834	0.0001	-1.651	1.4064	14.4558
