datetime,date,time,timeframe,strategy,spot_open,spot_high,spot_low,spot_close,fut_open,fut_high,fut_low,fut_close,vwap,ema_fast,ema_slow,rsi,fut_vs_vwap,prev_fut_vs_vwap,vwap_cross,min_body_required,ema_crossover,spot_vs_ema,candle_color,candle_body,rsi_zone,signal,entry_conditions_met,search_atm_strike,search_option_type,search_spot_price,search_capital,search_max_cost,search_min_price,search_max_price,expiry_used,strikes_tried,strike_1_price,strike_1_cost,strike_1_status,strike_2_price,strike_2_cost,strike_2_status,strike_3_price,strike_3_cost,strike_3_status,strike_4_price,strike_4_cost,strike_4_status,failure_reason,pending_strike,pending_strike_type,expected_entry_price,has_position,position_type,position_strike,position_expiry,entry_price,current_price,pnl_points,pnl_rupees,pnl_pct,peak_price,drop_from_peak,trailing_active,hold_minutes,exit_signal,exit_reason,exit_price,action,action_details,capital,daily_pnl,daily_trades,consecutive_losses,in_cooldown,cache_hits,cache_misses
2025-11-24 09:15:00,2025-11-24,09:15:00,1min,A,26128.3,26134.2,26094.2,26102.35,26131.1,26141.0,26125.1,26130.8,26132.3,26102.35,26102.35,50.0,BELOW,,,,NEUTRAL,BELOW,RED,25.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_NOT_MARKET_HOURS,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:16:00,2025-11-24,09:16:00,1min,A,26103.45,26112.1,26093.9,26097.6,26135.0,26135.0,26118.8,26124.9,26130.67,26100.77,26101.67,50.0,BELOW,,,,BEARISH,BELOW,RED,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_NOT_MARKET_HOURS,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:17:00,2025-11-24,09:17:00,1min,A,26094.1,26099.5,26082.65,26083.85,26116.1,26124.9,26115.0,26118.0,26128.37,26095.13,26099.13,50.0,BELOW,,,,BEARISH,BELOW,RED,10.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_NOT_MARKET_HOURS,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:18:00,2025-11-24,09:18:00,1min,A,26084.4,26117.1,26084.4,26113.7,26117.6,26136.0,26115.0,26134.4,26128.39,26101.32,26101.21,50.0,ABOVE,,,,BULLISH,ABOVE,GREEN,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_NOT_MARKET_HOURS,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:19:00,2025-11-24,09:19:00,1min,A,26113.25,26113.85,26096.65,26097.25,26133.5,26135.0,26121.5,26125.0,26128.31,26099.96,26100.64,50.0,BELOW,,,,BEARISH,BELOW,RED,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_NOT_MARKET_HOURS,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:20:00,2025-11-24,09:20:00,1min,A,26096.95,26109.8,26091.15,26107.25,26121.0,26138.1,26118.3,26127.2,26128.21,26102.39,26101.59,50.0,BELOW,,,,BULLISH,ABOVE,GREEN,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:21:00,2025-11-24,09:21:00,1min,A,26107.45,26118.75,26107.45,26117.9,26131.6,26141.9,26130.2,26138.8,26129.31,26107.56,26103.92,50.0,ABOVE,,,,BULLISH,ABOVE,GREEN,10.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:22:00,2025-11-24,09:22:00,1min,A,26118.9,26120.4,26112.5,26116.2,26142.6,26143.0,26134.2,26138.0,26129.88,26110.44,26105.67,50.0,ABOVE,,,,BULLISH,ABOVE,RED,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:23:00,2025-11-24,09:23:00,1min,A,26115.5,26119.25,26111.6,26112.3,26135.0,26141.1,26131.0,26135.8,26130.28,26111.06,26106.62,50.0,ABOVE,,,,BULLISH,ABOVE,RED,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:24:00,2025-11-24,09:24:00,1min,A,26113.8,26117.4,26098.9,26098.9,26135.0,26140.0,26127.6,26130.0,26130.5,26107.01,26105.52,50.0,BELOW,,,,BULLISH,BELOW,RED,14.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
