option_type	strike	entry_time	entry_price	entry_spot	entry_fut	exit_time	exit_price	exit_reason	pnl_points	pnl_rupees	hold_minutes	is_winner	peak_price	expiry	capital_after
CE	26100	11/24/2025 10:00	90.25	26106.75	26135	11/24/2025 10:09	101.55	TARGET	11.3	847.5	9	TRUE	101.55	11/25/2025	10847.5
CE	26150	11/24/2025 10:12	75.4	26128.5	26148.7	11/24/2025 10:18	70.3	STOP_LOSS	-5.1	-382.5	6	FALSE	75.4	11/25/2025	10465
PE	26100	11/24/2025 11:00	59.2	26097.85	26115	11/24/2025 11:12	62	TRAILING_STOP	2.8	210	12	TRUE	66	11/25/2025	10675
CE	26100	11/24/2025 11:24	85.35	26109.6	26136.9	11/24/2025 11:30	97.05	TARGET	11.7	877.5	6	TRUE	97.05	11/25/2025	11552.5
PE	26100	11/24/2025 11:45	57.35	26105.45	26127.5	11/24/2025 11:51	68.3	TARGET	10.95	821.25	6	TRUE	68.3	11/25/2025	12373.75
PE	25950	11/25/2025 9:48	45	25955.3	25955	11/25/2025 9:54	35	STOP_LOSS	-10	-750	6	FALSE	45	11/25/2025	11623.75
CE	26000	11/25/2025 10:00	54.45	25998.3	26010	11/25/2025 10:03	48.8	STOP_LOSS	-5.65	-423.75	3	FALSE	54.45	11/25/2025	11200
CE	26100	11/26/2025 9:30	104.4	25992.1	26182.2	11/26/2025 9:33	115.9	TARGET	11.5	862.5	3	TRUE	115.9	12/2/2025	12062.5
CE	26150	11/26/2025 10:30	126.3	26079.85	26278	11/26/2025 10:39	137.2	TARGET	10.9	817.5	9	TRUE	137.2	12/2/2025	12880
CE	26250	11/26/2025 12:33	104.4	26165.4	26345	11/26/2025 12:57	106.3	TRAILING_STOP	1.9	142.5	24	TRUE	109.6	12/2/2025	13022.5
CE	26250	11/26/2025 13:30	114.2	26175.05	26348.6	11/26/2025 14:00	121.5	TIME_EXIT	7.3	547.5	30	TRUE	121.5	12/2/2025	13570
CE	26300	11/27/2025 9:51	114.55	26264.7	26444	11/27/2025 10:00	131.6	TARGET	17.05	1278.75	9	TRUE	131.6	12/2/2025	14848.75
CE	26300	11/27/2025 10:12	121.4	26282.7	26465	11/27/2025 10:24	120.3	TRAILING_STOP	-1.1	-82.5	12	FALSE	126.6	12/2/2025	14766.25
CE	26350	11/27/2025 10:48	102.2	26308.4	26493.8	11/27/2025 10:54	97.7	STOP_LOSS	-4.5	-337.5	6	FALSE	110.05	12/2/2025	14428.75
PE	26250	11/27/2025 11:45	96.9	26252.15	26422.2	11/27/2025 11:48	112.95	TARGET	16.05	1203.75	3	TRUE	112.95	12/2/2025	15632.5
CE	26250	11/28/2025 9:27	107.65	26229.65	26408.3	11/28/2025 9:30	103.05	STOP_LOSS	-4.6	-345	3	FALSE	107.65	12/2/2025	15287.5
PE	26200	11/28/2025 9:36	75.25	26206.25	26390.1	11/28/2025 9:42	71.5	TRAILING_STOP	-3.75	-281.25	6	FALSE	82.4	12/2/2025	15006.25
CE	26250	11/28/2025 9:48	106.45	26245.5	26423.9	11/28/2025 10:00	116.75	TARGET	10.3	772.5	12	TRUE	116.75	12/2/2025	15778.75
CE	26250	11/28/2025 10:03	118.25	26265.5	26448	11/28/2025 10:15	102.75	STOP_LOSS	-15.5	-1162.5	12	FALSE	121.35	12/2/2025	14616.25
PE	26250	12/1/2025 10:36	52.05	26265.75	26435.2	12/1/2025 10:51	69.2	TARGET	17.15	1286.25	15	TRUE	69.2	12/2/2025	15902.5
PE	26250	12/1/2025 11:00	69.65	26227.6	26401	12/1/2025 11:15	59.2	STOP_LOSS	-10.45	-783.75	15	FALSE	72.85	12/2/2025	15118.75
PE	26250	12/1/2025 11:39	57.2	26243.35	26411.1	12/1/2025 11:42	78.55	TARGET	21.35	1601.25	3	TRUE	78.55	12/2/2025	16720
PE	26150	12/2/2025 9:27	44.65	26130.2	26294	12/2/2025 9:30	63.85	TARGET	19.2	1440	3	TRUE	63.85	12/2/2025	18160
PE	26100	12/2/2025 9:33	36.2	26116.05	26285	12/2/2025 9:42	53.8	TARGET	17.6	1320	9	TRUE	53.8	12/2/2025	19480
PE	26000	12/3/2025 9:24	107.95	25994.25	26143.6	12/3/2025 9:27	128.3	TARGET	20.35	1526.25	3	TRUE	128.3	12/9/2025	21006.25
PE	25950	12/3/2025 10:00	121.5	25936.6	26090.5	12/3/2025 10:06	133.6	TARGET	12.1	907.5	6	TRUE	133.6	12/9/2025	21913.75
CE	26000	12/4/2025 9:21	106	25985.45	26116.2	12/4/2025 9:24	127.05	TARGET	21.05	1578.75	3	TRUE	127.05	12/9/2025	23492.5
CE	26000	12/4/2025 9:27	125.85	25995.85	26135.8	12/4/2025 9:36	140	TARGET	14.15	1061.25	9	TRUE	140	12/9/2025	24553.75
CE	26050	12/5/2025 9:33	111.8	26044.55	26191	12/5/2025 9:36	107.65	STOP_LOSS	-4.15	-311.25	3	FALSE	111.8	12/9/2025	24242.5
PE	26050	12/5/2025 9:54	87.7	26032.6	26183	12/5/2025 9:57	100.5	TARGET	12.8	960	3	TRUE	100.5	12/9/2025	25202.5
CE	26100	12/5/2025 10:03	92.2	26098.6	26257	12/5/2025 10:06	104.9	TARGET	12.7	952.5	3	TRUE	104.9	12/9/2025	26155
CE	26100	12/5/2025 10:15	113.5	26105.2	26275.5	12/5/2025 10:18	129.05	TARGET	15.55	1166.25	3	TRUE	129.05	12/9/2025	27321.25
PE	26150	12/8/2025 9:24	54.45	26151.4	26294.5	12/8/2025 9:27	70.05	TARGET	15.6	1170	3	TRUE	70.05	12/9/2025	28491.25
PE	26100	12/8/2025 9:45	52.5	26104.05	26247.9	12/8/2025 9:54	68.1	TARGET	15.6	1170	9	TRUE	68.1	12/9/2025	29661.25
CE	25800	12/9/2025 10:18	76.8	25816.85	25948.7	12/9/2025 10:30	66.7	STOP_LOSS	-10.1	-757.5	12	FALSE	82.2	12/9/2025	28903.75
PE	25800	12/9/2025 10:33	46.8	25784.3	25922.3	12/9/2025 10:39	39.3	STOP_LOSS	-7.5	-562.5	6	FALSE	46.8	12/9/2025	28341.25
CE	25950	12/10/2025 9:21	105.55	25873.7	25976	12/10/2025 9:24	100.75	STOP_LOSS	-4.8	-360	3	FALSE	105.55	12/16/2025	27981.25
CE	25950	12/10/2025 10:00	113.8	25902	26014	12/10/2025 10:03	124.65	TARGET	10.85	813.75	3	TRUE	124.65	12/16/2025	28795
CE	25950	12/10/2025 10:06	124.85	25915.6	26032	12/10/2025 10:18	127.2	TRAILING_STOP	2.35	176.25	12	TRUE	132.65	12/16/2025	28971.25
CE	25950	12/10/2025 10:42	123.05	25921.45	26031	12/10/2025 10:48	115.95	STOP_LOSS	-7.1	-532.5	6	FALSE	123.4	12/16/2025	28438.75
PE	25850	12/10/2025 10:51	98.85	25865.95	25964.5	12/10/2025 10:57	110.1	TARGET	11.25	843.75	6	TRUE	110.1	12/16/2025	29282.5
