datetime,open,high,low,close,volume,oi
2025-11-26T09:29:00,710.35,717.55,708.8,715.95,3075.0,33.0
2025-11-26T09:30:00,712.25,713.6,710.1,711.85,4650.0,98.0
2025-11-26T09:31:00,711.95,712.0,704.9,711.7,1575.0,
2025-11-26T09:32:00,709.6,709.6,709.35,709.6,300.0,
2025-11-26T09:40:00,694.65,694.65,694.65,694.65,75.0,120.0
2025-11-26T09:43:00,683.7,683.7,683.7,683.7,150.0,
2025-11-26T09:52:00,612.1,612.1,612.1,612.1,225.0,120.0
2025-11-26T09:53:00,617.9,618.3,617.9,618.3,225.0,
2025-11-26T09:54:00,610.75,610.75,610.75,610.75,75.0,118.0
2025-11-26T09:55:00,607.8,607.8,607.8,607.8,75.0,
2025-11-26T09:56:00,610.0,610.0,610.0,610.0,75.0,
2025-11-26T09:57:00,617.85,617.85,617.85,617.85,150.0,
2025-11-26T09:58:00,616.6,616.6,616.6,616.6,75.0,
2025-11-26T09:59:00,615.5,615.5,610.0,610.05,225.0,
2025-11-26T10:00:00,606.25,606.25,606.25,606.25,75.0,
2025-11-26T10:01:00,604.2,604.2,596.55,596.55,300.0,117.0
2025-11-26T10:02:00,599.95,599.95,599.95,599.95,75.0,
2025-11-26T10:03:00,606.5,610.7,606.5,608.6,1425.0,
2025-11-26T10:04:00,606.65,607.85,604.8,604.8,225.0,112.0
2025-11-26T10:05:00,603.7,603.7,598.5,598.5,675.0,
2025-11-26T10:06:00,598.3,603.2,598.3,602.45,525.0,
2025-11-26T10:07:00,601.55,601.55,598.2,598.2,150.0,110.0
2025-11-26T10:08:00,597.55,597.55,597.55,597.55,150.0,
2025-11-26T10:09:00,602.15,602.25,602.15,602.25,225.0,
2025-11-26T10:10:00,608.0,609.45,608.0,609.35,1200.0,106.0
2025-11-26T10:11:00,614.5,616.25,614.45,616.25,450.0,
2025-11-26T10:12:00,616.6,616.6,609.75,609.75,300.0,
2025-11-26T10:13:00,608.9,611.8,606.65,611.8,375.0,90.0
2025-11-26T10:16:00,608.95,609.35,608.95,609.35,150.0,89.0
2025-11-26T10:17:00,607.35,607.6,605.95,606.85,525.0,
2025-11-26T10:21:00,617.4,617.75,617.15,617.15,300.0,87.0
2025-11-26T10:22:00,618.35,618.85,618.35,618.75,300.0,85.0
2025-11-26T10:27:00,624.9,626.7,624.9,626.7,675.0,84.0
2025-11-26T10:28:00,626.95,626.95,626.95,626.95,,82.0
2025-11-26T10:29:00,626.95,626.95,626.95,626.95,75.0,
2025-11-26T10:31:00,622.0,622.0,621.6,621.6,150.0,81.0
2025-11-26T10:32:00,626.4,626.4,626.4,626.4,75.0,
2025-11-26T10:39:00,611.4,611.4,611.4,611.4,75.0,81.0
2025-11-26T10:45:00,586.3,586.3,586.3,586.3,300.0,80.0
2025-11-26T10:46:00,585.85,585.85,585.85,585.85,375.0,78.0
2025-11-26T10:47:00,576.5,576.5,576.5,576.5,525.0,
2025-11-26T10:48:00,571.25,571.25,571.25,571.25,300.0,
2025-11-26T10:49:00,573.95,573.95,573.95,573.95,300.0,79.0
2025-11-26T10:50:00,577.65,577.65,577.65,577.65,150.0,
2025-11-26T10:51:00,578.8,581.9,578.8,581.9,525.0,
2025-11-26T10:52:00,583.1,586.25,583.1,586.05,900.0,77.0
2025-11-26T10:53:00,595.85,596.6,595.55,596.6,525.0,
2025-11-26T10:54:00,593.95,593.95,592.55,593.0,825.0,
2025-11-26T10:56:00,594.35,595.0,593.1,593.1,300.0,75.0
2025-11-26T10:57:00,592.55,592.55,591.45,591.45,375.0,
2025-11-26T11:02:00,586.05,586.05,585.25,585.25,150.0,79.0
2025-11-26T11:05:00,583.15,583.15,583.15,583.15,75.0,80.0
2025-11-26T11:06:00,585.25,586.2,584.5,585.95,450.0,
2025-11-26T11:07:00,587.05,587.25,585.95,585.95,450.0,81.0
2025-11-26T11:08:00,585.85,586.15,581.2,581.2,525.0,
2025-11-26T11:12:00,586.75,586.75,586.75,586.75,75.0,89.0
2025-11-26T11:16:00,583.1,583.25,583.1,583.25,150.0,90.0
2025-11-26T11:17:00,582.75,582.95,580.2,580.2,525.0,91.0
2025-11-26T11:18:00,579.4,579.4,578.95,578.95,225.0,
2025-11-26T11:22:00,576.5,578.2,576.5,578.2,225.0,99.0
2025-11-26T11:23:00,577.05,577.05,577.05,577.05,75.0,
