datetime,date,time,timeframe,strategy,spot_open,spot_high,spot_low,spot_close,fut_open,fut_high,fut_low,fut_close,vwap,ema_fast,ema_slow,rsi,fut_vs_vwap,prev_fut_vs_vwap,vwap_cross,min_body_required,ema_crossover,spot_vs_ema,candle_color,candle_body,rsi_zone,signal,entry_conditions_met,search_atm_strike,search_option_type,search_spot_price,search_capital,search_max_cost,search_min_price,search_max_price,expiry_used,strikes_tried,strike_1_price,strike_1_cost,strike_1_status,strike_2_price,strike_2_cost,strike_2_status,strike_3_price,strike_3_cost,strike_3_status,strike_4_price,strike_4_cost,strike_4_status,failure_reason,pending_strike,pending_strike_type,expected_entry_price,has_position,position_type,position_strike,position_expiry,signal_time,entry_delay,entry_slippage,entry_price,current_price,pnl_points,pnl_rupees,pnl_pct,peak_price,drop_from_peak,trailing_active,hold_minutes,exit_signal,exit_trigger_reason,exit_reason,exit_price,exit_slippage,pnl_gross,transaction_cost,pnl_net,action,action_details,capital,daily_pnl,daily_trades,consecutive_losses,in_cooldown,cache_hits,cache_misses
2025-11-24 09:15:00,2025-11-24,09:15:00,5min,B,26128.3,26134.2,26082.65,26097.25,26131.1,26141.0,26115.0,26125.0,26128.31,26097.25,26097.25,50.0,BELOW,,,,NEUTRAL,BELOW,RED,31.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NOT_MARKET_HOURS,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:20:00,2025-11-24,09:20:00,5min,B,26096.95,26120.4,26091.15,26098.9,26121.0,26143.0,26118.3,26130.0,26130.5,26097.8,26097.49,50.0,BELOW,,,,BULLISH,ABOVE,GREEN,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:25:00,2025-11-24,09:25:00,5min,B,26099.25,26114.9,26098.2,26113.7,26127.7,26141.0,26127.7,26139.9,26131.2,26103.1,26099.8,50.0,ABOVE,,,,BULLISH,ABOVE,GREEN,14.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:30:00,2025-11-24,09:30:00,5min,B,26113.95,26116.8,26090.25,26092.95,26140.0,26144.0,26110.0,26114.3,26130.69,26099.72,26098.82,50.0,BELOW,,,,BULLISH,BELOW,RED,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:35:00,2025-11-24,09:35:00,5min,B,26093.45,26093.9,26077.95,26088.1,26117.8,26117.8,26098.0,26113.4,26126.98,26095.84,26097.29,50.0,BELOW,,,,BEARISH,BELOW,RED,5.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:40:00,2025-11-24,09:40:00,5min,B,26088.4,26093.25,26074.4,26074.9,26111.0,26114.8,26091.3,26091.3,26124.55,26088.86,26094.09,50.0,BELOW,,,,BEARISH,BELOW,RED,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:45:00,2025-11-24,09:45:00,5min,B,26076.2,26097.45,26064.7,26095.7,26093.9,26118.0,26085.0,26115.0,26121.36,26091.14,26094.32,50.0,BELOW,,,,BEARISH,ABOVE,GREEN,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:50:00,2025-11-24,09:50:00,5min,B,26095.45,26107.9,26086.3,26087.25,26117.8,26130.0,26105.0,26105.0,26121.28,26089.84,26093.31,50.0,BELOW,,,,BEARISH,BELOW,RED,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:55:00,2025-11-24,09:55:00,5min,B,26087.4,26093.25,26084.0,26085.4,26107.0,26115.2,26103.2,26105.2,26120.53,26088.36,26092.18,50.0,BELOW,,,,BEARISH,BELOW,RED,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 10:00:00,2025-11-24,10:00:00,5min,B,26085.4,26110.9,26085.4,26107.9,26107.0,26135.0,26106.8,26133.0,26120.84,26094.88,26094.43,50.0,ABOVE,,,,BULLISH,ABOVE,GREEN,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 10:05:00,2025-11-24,10:05:00,5min,B,26108.65,26118.7,26108.65,26117.45,26132.2,26144.8,26128.6,26139.9,26122.51,26102.4,26097.72,50.0,ABOVE,,,,BULLISH,ABOVE,GREEN,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 10:10:00,2025-11-24,10:10:00,5min,B,26117.75,26130.35,26114.25,26128.5,26141.9,26148.8,26138.0,26148.7,26124.1,26111.1,26102.11,50.0,ABOVE,,,,BULLISH,ABOVE,GREEN,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 10:15:00,2025-11-24,10:15:00,5min,B,26129.05,26129.55,26110.5,26113.95,26146.5,26150.0,26131.0,26140.0,26125.01,26112.05,26103.8,50.0,ABOVE,,,,BULLISH,ABOVE,RED,15.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 10:20:00,2025-11-24,10:20:00,5min,B,26114.3,26128.7,26114.05,26125.15,26141.2,26154.0,26136.3,26145.3,26126.22,26116.42,26106.85,50.0,ABOVE,,,,BULLISH,ABOVE,GREEN,10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 10:25:00,2025-11-24,10:25:00,5min,B,26125.2,26128.8,26121.25,26121.25,26151.6,26151.8,26142.0,26146.4,26127.09,26118.03,26108.91,57.54,ABOVE,ABOVE,NO_CROSS,,BULLISH,ABOVE,RED,3.95,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10000.0,0.0,0,0,FALSE,0,0
2025-11-24 10:30:00,2025-11-24,10:30:00,5min,B,26121.25,26130.6,26117.0,26129.4,26141.0,26149.6,26135.4,26149.6,26127.69,26121.82,26111.84,59.76,ABOVE,ABOVE,NO_CROSS,,BULLISH,ABOVE,GREEN,8.15,NEUTRAL,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,SKIP_NO_SIGNAL,,10000.0,0.0,0,0,FALSE,0,0
