datetime,date,time,timeframe,strategy,spot_open,spot_high,spot_low,spot_close,fut_open,fut_high,fut_low,fut_close,vwap,ema_fast,ema_slow,rsi,fut_vs_vwap,prev_fut_vs_vwap,vwap_cross,min_body_required,ema_crossover,spot_vs_ema,candle_color,candle_body,rsi_zone,signal,entry_conditions_met,search_atm_strike,search_option_type,search_spot_price,search_capital,search_max_cost,search_min_price,search_max_price,expiry_used,strikes_tried,strike_1_price,strike_1_cost,strike_1_status,strike_2_price,strike_2_cost,strike_2_status,strike_3_price,strike_3_cost,strike_3_status,strike_4_price,strike_4_cost,strike_4_status,failure_reason,has_position,position_type,position_strike,position_expiry,entry_price,current_price,pnl_points,pnl_rupees,pnl_pct,peak_price,drop_from_peak,trailing_active,hold_minutes,exit_signal,exit_reason,exit_price,action,action_details,capital,daily_pnl,daily_trades,consecutive_losses,in_cooldown,cache_hits,cache_misses
2025-11-24 09:15:00,2025-11-24,09:15:00,3min,C,26128.3,26134.2,26082.65,26083.85,26131.1,26141.0,26115.0,26118.0,26128.37,26083.85,26083.85,50.0,BELOW,,,,NEUTRAL,BELOW,RED,44.45,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_NOT_MARKET_HOURS,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:18:00,2025-11-24,09:18:00,3min,C,26084.4,26117.1,26084.4,26107.25,26117.6,26138.1,26115.0,26127.2,26128.21,26091.65,26087.19,50.0,BELOW,,,,BULLISH,ABOVE,GREEN,22.85,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_NOT_MARKET_HOURS,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:21:00,2025-11-24,09:21:00,3min,C,26107.45,26120.4,26107.45,26112.3,26131.6,26143.0,26130.2,26135.8,26130.28,26098.53,26090.78,50.0,ABOVE,,,,BULLISH,ABOVE,GREEN,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:24:00,2025-11-24,09:24:00,3min,C,26113.8,26117.4,26098.2,26108.75,26135.0,26140.0,26127.6,26140.0,26130.88,26101.94,26093.35,50.0,ABOVE,,,,BULLISH,ABOVE,RED,5.05,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:27:00,2025-11-24,09:27:00,3min,C,26108.55,26114.9,26107.3,26113.7,26139.2,26141.0,26129.8,26139.9,26131.2,26105.86,26096.25,50.0,ABOVE,,,,BULLISH,ABOVE,GREEN,5.15,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:30:00,2025-11-24,09:30:00,3min,C,26113.95,26116.8,26100.0,26100.25,26140.0,26144.0,26122.2,26124.3,26131.72,26103.99,26096.83,50.0,BELOW,,,,BULLISH,BELOW,RED,13.7,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:33:00,2025-11-24,09:33:00,3min,C,26100.75,26100.75,26079.75,26082.0,26123.0,26128.2,26100.0,26100.5,26129.59,26096.66,26094.71,50.0,BELOW,,,,BULLISH,BELOW,RED,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:36:00,2025-11-24,09:36:00,3min,C,26081.9,26088.85,26077.95,26085.0,26102.0,26116.8,26098.0,26105.0,26127.49,26092.77,26093.32,50.0,BELOW,,,,BEARISH,BELOW,GREEN,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:39:00,2025-11-24,09:39:00,3min,C,26085.45,26093.25,26081.2,26081.95,26104.5,26115.0,26097.9,26101.9,26126.23,26089.17,26091.7,50.0,BELOW,,,,BEARISH,BELOW,RED,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:42:00,2025-11-24,09:42:00,3min,C,26082.8,26088.75,26074.4,26074.9,26102.0,26109.0,26091.3,26091.3,26124.55,26084.41,26089.3,50.0,BELOW,,,,BEARISH,BELOW,RED,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:45:00,2025-11-24,09:45:00,3min,C,26076.2,26082.9,26064.7,26082.9,26093.9,26104.9,26085.0,26101.2,26121.85,26083.91,26088.38,50.0,BELOW,,,,BEARISH,BELOW,GREEN,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
2025-11-24 09:48:00,2025-11-24,09:48:00,3min,C,26082.2,26103.65,26080.85,26103.1,26102.1,26129.0,26102.1,26123.6,26121.37,26090.3,26090.49,50.0,ABOVE,,,,BEARISH,ABOVE,GREEN,20.9,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,SKIP_INDICATORS_WARMUP,,10000.0,0.0,0,0,FALSE,,
