option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
CE,26100,2025-11-24 09:30:00,104.05,26115.05,26143.0,2025-11-24 09:32:00,93.0,STOP_LOSS,-11.05,-828.75,43.49,-872.24,2.0,False,104.05,2025-11-25,-1.0,2025-11-24 09:29:00,60.0,9127.76
PE,26100,2025-11-24 09:35:00,80.6,26082.0,26100.5,2025-11-24 09:41:00,79.65,STOP_LOSS,-0.95,-71.25,42.99,-114.24,6.0,False,80.8,2025-11-25,-1.0,2025-11-24 09:34:00,60.0,9013.52
CE,25950,2025-11-25 09:21:00,51.55,25943.7,25946.6,2025-11-25 09:26:00,60.6,TRAILING_STOP,9.05,678.75,42.27,636.48,5.0,True,59.15,2025-11-25,-0.75,2025-11-25 09:20:00,60.0,9650.0
CE,25950,2025-11-25 09:30:00,52.85,25955.85,25954.8,2025-11-25 09:33:00,60.65,TARGET,7.8,585.0,42.27,542.73,3.0,True,63.35,2025-11-25,-0.5,2025-11-25 09:29:00,60.0,10192.73
CE,26000,2025-11-25 09:36:00,42.85,25976.85,25981.0,2025-11-25 09:39:00,38.8,STOP_LOSS,-4.05,-303.75,41.45,-345.21,3.0,False,44.05,2025-11-25,-1.0,2025-11-25 09:35:00,60.0,9847.52
CE,25950,2025-11-25 09:42:00,66.35,25975.95,25980.0,2025-11-25 09:44:00,60.2,STOP_LOSS,-6.15,-461.25,42.26,-503.51,2.0,False,66.35,2025-11-25,-1.0,2025-11-25 09:41:00,60.0,9344.01
PE,25950,2025-11-25 09:50:00,50.15,25955.3,25955.0,2025-11-25 09:52:00,43.15,STOP_LOSS,-7.0,-525.0,41.62,-566.62,2.0,False,50.15,2025-11-25,-1.0,2025-11-25 09:49:00,60.0,8777.39
CE,26000,2025-11-25 09:59:00,51.3,25988.4,25998.5,2025-11-25 10:11:00,71.95,TARGET,20.65,1548.75,42.7,1506.05,12.0,True,62.95,2025-11-25,-0.5,2025-11-25 09:58:00,60.0,10283.439999999999
CE,26000,2025-11-25 10:14:00,70.1,26018.6,26030.0,2025-11-25 10:19:00,61.15,STOP_LOSS,-8.95,-671.25,42.29,-713.54,5.0,False,70.2,2025-11-25,-1.0,2025-11-25 10:13:00,60.0,9569.899999999998
CE,26000,2025-11-25 10:25:00,64.35,26010.7,26027.0,2025-11-25 10:27:00,66.8,STOP_LOSS,2.45,183.75,42.51,141.25,2.0,True,64.35,2025-11-25,-1.0,2025-11-25 10:24:00,60.0,9711.149999999998
CE,26000,2025-11-25 10:31:00,63.25,26012.9,26023.4,2025-11-25 10:35:00,49.45,STOP_LOSS,-13.8,-1035.0,41.85,-1076.85,4.0,False,63.95,2025-11-25,-1.0,2025-11-25 10:30:00,60.0,8634.299999999997
PE,26000,2025-11-25 10:47:00,51.15,25986.6,25992.6,2025-11-25 10:56:00,73.5,TARGET,22.35,1676.25,42.76,1633.49,9.0,True,65.6,2025-11-25,-0.5,2025-11-25 10:46:00,60.0,10267.789999999997
PE,25950,2025-11-25 10:59:00,56.05,25939.1,25937.0,2025-11-25 11:15:00,45.6,STOP_LOSS,-10.45,-783.75,41.71,-825.46,16.0,False,59.45,2025-11-25,-1.0,2025-11-25 10:58:00,60.0,9442.329999999998
PE,25950,2025-11-25 11:45:00,41.85,25952.15,25950.4,2025-11-25 11:48:00,30.3,STOP_LOSS,-11.55,-866.25,41.14,-907.39,3.0,False,41.85,2025-11-25,-1.0,2025-11-25 11:44:00,60.0,8534.939999999999
CE,25950,2025-11-25 11:54:00,52.55,25973.65,25974.0,2025-11-25 11:58:00,66.7,TARGET,14.15,1061.25,42.5,1018.75,4.0,True,70.1,2025-11-25,-0.5,2025-11-25 11:53:00,60.0,9553.689999999999
CE,26000,2025-11-25 12:02:00,39.9,25984.7,25995.6,2025-11-25 12:05:00,36.9,STOP_LOSS,-3.0,-225.0,41.38,-266.38,3.0,False,39.9,2025-11-25,-1.0,2025-11-25 12:01:00,60.0,9287.31
CE,26000,2025-11-25 12:09:00,37.3,25988.6,25998.6,2025-11-25 12:13:00,27.85,STOP_LOSS,-9.45,-708.75,41.04,-749.79,4.0,False,37.3,2025-11-25,-1.0,2025-11-25 12:08:00,60.0,8537.52
PE,26000,2025-11-25 12:20:00,62.85,25954.75,25957.8,2025-11-25 12:22:00,57.0,STOP_LOSS,-5.85,-438.75,42.14,-480.89,2.0,False,62.85,2025-11-25,-1.0,2025-11-25 12:19:00,60.0,8056.63
CE,26050,2025-11-26 09:21:00,123.65,25973.25,26160.1,2025-11-26 09:25:00,118.65,STOP_LOSS,-5.0,-375.0,44.45,-419.45,4.0,False,123.65,2025-12-02,-1.0,2025-11-26 09:20:00,60.0,7637.18
CE,26100,2025-11-26 09:31:00,105.35,25988.2,26179.1,2025-11-26 09:34:00,116.45,TARGET,11.1,832.5,44.37,788.13,3.0,True,115.9,2025-12-02,-0.5,2025-11-26 09:30:00,60.0,8425.31
CE,26100,2025-11-26 09:37:00,113.75,26006.95,26197.0,2025-11-26 09:44:00,128.5,TARGET,14.75,1106.25,44.82,1061.43,7.0,True,126.75,2025-12-02,-0.5,2025-11-26 09:36:00,60.0,9486.74
CE,26150,2025-11-26 09:47:00,114.2,26042.35,26240.4,2025-11-26 09:51:00,142.05,TARGET,27.85,2088.75,45.33,2043.42,4.0,True,132.7,2025-12-02,-0.5,2025-11-26 09:46:00,60.0,11530.16
CE,26350,2025-11-27 09:23:00,105.4,26288.75,26465.0,2025-11-27 09:25:00,91.25,STOP_LOSS,-14.15,-1061.25,43.42,-1104.67,2.0,False,105.4,2025-12-02,-1.0,2025-11-27 09:22:00,60.0,10425.49
CE,26250,2025-11-28 09:21:00,108.45,26232.85,26415.0,2025-11-28 09:23:00,99.75,STOP_LOSS,-8.7,-652.5,43.74,-696.24,2.0,False,108.45,2025-12-02,-1.0,2025-11-28 09:20:00,60.0,9729.25
CE,26250,2025-11-28 09:29:00,107.25,26229.65,26408.3,2025-11-28 09:31:00,108.4,STOP_LOSS,1.15,86.25,44.06,42.19,2.0,True,107.25,2025-12-02,-1.0,2025-11-28 09:28:00,60.0,9771.44
CE,26250,2025-11-28 09:34:00,118.0,26252.35,26435.0,2025-11-28 09:36:00,103.15,STOP_LOSS,-14.85,-1113.75,43.87,-1157.62,2.0,False,118.0,2025-12-02,-1.0,2025-11-28 09:33:00,60.0,8613.82
CE,26300,2025-12-01 09:23:00,81.65,26286.5,26461.7,2025-12-01 09:43:00,75.2,TRAILING_STOP,-6.45,-483.75,42.82,-526.57,20.0,False,87.5,2025-12-02,-0.75,2025-12-01 09:22:00,60.0,8087.25
PE,26300,2025-12-01 09:51:00,74.5,26282.45,26450.0,2025-12-01 10:01:00,73.25,TRAILING_STOP,-1.25,-93.75,42.75,-136.5,10.0,False,82.55,2025-12-02,-0.75,2025-12-01 09:50:00,60.0,7950.75
PE,26300,2025-12-01 10:17:00,76.2,26275.7,26448.1,2025-12-01 10:29:00,69.0,STOP_LOSS,-7.2,-540.0,42.59,-582.59,12.0,False,76.3,2025-12-02,-1.0,2025-12-01 10:16:00,60.0,7368.16
PE,26150,2025-12-02 09:30:00,64.35,26122.1,26283.5,2025-12-02 09:33:00,58.15,STOP_LOSS,-6.2,-465.0,42.18,-507.18,3.0,False,64.35,2025-12-02,-1.0,2025-12-02 09:29:00,60.0,6860.98
PE,26100,2025-12-02 09:39:00,39.25,26108.85,26281.0,2025-12-02 09:43:00,48.2,TARGET,8.95,671.25,41.81,629.44,4.0,True,53.8,2025-12-02,-0.5,2025-12-02 09:38:00,60.0,7490.42
PE,26100,2025-12-02 09:46:00,49.25,26088.4,26260.0,2025-12-02 09:50:00,61.05,TARGET,11.8,885.0,42.29,842.71,4.0,True,59.75,2025-12-02,-0.5,2025-12-02 09:45:00,60.0,8333.130000000001
PE,26050,2025-12-02 09:53:00,37.05,26071.35,26243.0,2025-12-02 09:56:00,32.35,STOP_LOSS,-4.7,-352.5,41.21,-393.71,3.0,False,37.05,2025-12-02,-1.0,2025-12-02 09:52:00,60.0,7939.420000000001
PE,26100,2025-12-02 09:59:00,57.15,26075.1,26247.0,2025-12-02 10:05:00,53.6,STOP_LOSS,-3.55,-266.25,42.01,-308.26,6.0,False,59.0,2025-12-02,-1.0,2025-12-02 09:58:00,60.0,7631.160000000001
PE,26050,2025-12-02 10:11:00,41.35,26058.45,26228.0,2025-12-02 10:20:00,33.15,STOP_LOSS,-8.2,-615.0,41.24,-656.24,9.0,False,43.5,2025-12-02,-1.0,2025-12-02 10:10:00,60.0,6974.920000000001
PE,26100,2025-12-02 10:45:00,52.6,26076.35,26242.0,2025-12-02 10:51:00,38.15,STOP_LOSS,-14.45,-1083.75,41.43,-1125.18,6.0,False,54.5,2025-12-02,-1.0,2025-12-02 10:44:00,60.0,5849.740000000001
