option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
PE,26100,2025-11-24 11:00:00,59.7,26105.25,26129.6,2025-11-24 11:25:00,58.15,TRAILING_STOP,-1.55,-116.25,42.18,-158.43,25.0,False,67.1,2025-11-25,-0.75,2025-11-24 10:55:00,300.0,9841.57
PE,26100,2025-11-24 11:50:00,65.7,26069.85,26099.4,2025-11-24 12:15:00,74.55,TARGET,8.85,663.75,42.8,620.95,25.0,True,79.9,2025-11-25,-0.5,2025-11-24 11:45:00,300.0,10462.52
PE,25950,2025-11-25 09:50:00,50.15,25983.9,25992.6,2025-11-25 10:00:00,28.15,STOP_LOSS,-22.0,-1650.0,41.06,-1691.06,10.0,False,50.15,2025-11-25,-1.0,2025-11-25 09:45:00,300.0,8771.460000000001
CE,26300,2025-11-27 09:55:00,121.05,26283.9,26464.8,2025-11-27 10:05:00,132.15,TARGET,11.1,832.5,44.96,787.54,10.0,True,131.6,2025-12-02,-0.5,2025-11-27 09:50:00,300.0,9559.0
PE,26250,2025-11-27 11:35:00,93.65,26263.45,26435.0,2025-11-27 11:55:00,110.65,TARGET,17.0,1275.0,44.15,1230.85,20.0,True,111.0,2025-12-02,-0.5,2025-11-27 11:30:00,300.0,10789.85
PE,26200,2025-11-28 09:25:00,87.55,26229.65,26408.3,2025-11-28 09:35:00,70.4,STOP_LOSS,-17.15,-1286.25,42.64,-1328.89,10.0,False,87.55,2025-12-02,-1.0,2025-11-28 09:20:00,300.0,9460.960000000001
PE,26150,2025-12-02 09:30:00,64.35,26114.9,26283.0,2025-12-02 09:50:00,92.75,TARGET,28.4,2130.0,43.48,2086.52,20.0,True,79.3,2025-12-02,-0.5,2025-12-02 09:25:00,300.0,11547.480000000001
PE,26000,2025-12-03 09:25:00,110.4,25963.05,26115.0,2025-12-03 09:35:00,145.9,TARGET,35.5,2662.5,45.47,2617.03,10.0,True,130.8,2025-12-09,-0.5,2025-12-03 09:20:00,300.0,14164.510000000002
CE,26000,2025-12-04 09:25:00,121.0,25995.85,26135.8,2025-12-04 09:40:00,128.75,TARGET,7.75,581.25,44.83,536.42,15.0,True,139.95,2025-12-09,-0.5,2025-12-04 09:20:00,300.0,14700.930000000002
PE,26050,2025-12-04 11:40:00,101.7,26028.8,26161.2,2025-12-04 11:50:00,105.7,TARGET,4.0,300.0,43.96,256.04,10.0,True,115.6,2025-12-09,-0.5,2025-12-04 11:35:00,300.0,14956.970000000003
