datetime,capital
11/24/2025 9:31,9538.75
11/24/2025 9:39,9793.75
11/24/2025 9:47,9666.25
11/24/2025 9:52,9100
11/25/2025 9:21,8286.25
11/25/2025 9:27,7645
11/26/2025 9:24,7262.5
11/26/2025 9:33,8158.75
11/26/2025 9:36,7825
11/26/2025 9:43,8762.5
11/26/2025 9:50,10131.25
11/27/2025 9:21,10960
11/27/2025 9:24,10525
11/27/2025 9:30,10753.75
11/27/2025 9:37,10442.5
11/27/2025 9:43,11308.75
11/27/2025 9:47,10813.75
11/27/2025 9:59,11965
11/27/2025 10:09,11511.25
11/27/2025 10:24,11207.5
11/27/2025 10:33,10870
11/27/2025 10:50,12073.75
11/27/2025 10:54,11391.25
11/27/2025 11:02,11053.75
11/27/2025 11:17,10491.25
11/27/2025 11:34,10813.75
11/27/2025 11:40,10386.25
11/27/2025 11:47,11267.5
11/27/2025 11:51,10870
11/27/2025 11:57,10461.25
11/27/2025 12:07,10600
11/27/2025 12:27,11458.75
11/27/2025 12:41,11057.5
11/27/2025 13:07,11886.25
11/27/2025 13:11,12722.5
11/28/2025 9:22,12058.75
11/28/2025 9:27,11451.25
12/1/2025 9:23,10937.5
12/1/2025 9:43,10333.75
12/2/2025 9:30,11155
12/2/2025 9:42,12475
12/3/2025 9:26,13251.25
12/3/2025 9:33,14196.25
12/3/2025 9:41,14076.25
12/3/2025 9:49,13757.5
12/3/2025 10:04,14601.25
12/4/2025 9:22,14166.25
12/4/2025 9:25,13731.25
12/4/2025 9:32,13243.75
12/5/2025 9:21,12846.25
12/5/2025 9:28,12497.5
12/5/2025 9:35,12111.25
12/8/2025 9:27,13052.5
12/8/2025 9:32,13135
12/8/2025 9:42,13026.25
12/8/2025 9:50,14080
12/8/2025 10:05,14155
12/9/2025 9:21,13247.5
12/10/2025 9:24,12887.5
12/10/2025 9:33,13063.75
12/10/2025 9:38,13202.5
12/10/2025 9:49,12482.5
12/10/2025 10:18,12673.75
12/10/2025 10:28,12070
12/11/2025 9:22,12265
12/11/2025 9:30,12246.25
12/11/2025 9:33,11811.25
12/11/2025 9:40,12951.25
12/11/2025 9:43,12306.25
12/11/2025 9:46,11957.5
12/11/2025 9:54,11293.75
12/11/2025 10:00,10896.25
12/12/2025 9:24,10435
12/12/2025 9:31,11391.25
12/12/2025 9:40,11466.25
12/12/2025 10:01,11162.5
12/12/2025 10:08,12130
12/12/2025 10:13,11781.25
12/12/2025 10:21,11413.75
12/12/2025 10:27,11061.25
12/12/2025 10:45,11076.25
12/12/2025 10:51,10686.25
12/12/2025 10:55,10318.75
12/12/2025 11:27,10360
12/12/2025 11:38,10003.75
12/12/2025 12:02,10375
12/12/2025 12:14,9928.75
12/15/2025 9:21,9610
12/15/2025 9:32,9550
12/15/2025 9:46,9535
12/15/2025 10:03,9538.75
12/15/2025 10:09,9006.25
12/16/2025 9:27,9272.5
12/16/2025 9:37,9328.75
12/16/2025 9:55,8920
12/16/2025 9:59,9700
12/16/2025 10:04,9801.25
12/16/2025 10:16,9430
12/16/2025 10:38,9010
12/16/2025 11:01,8953.75
12/16/2025 11:35,9718.75
12/16/2025 11:54,9400
12/16/2025 12:08,9081.25
12/16/2025 12:43,9077.5
12/16/2025 12:52,8612.5
12/16/2025 13:27,8541.25
12/16/2025 13:50,8380
12/16/2025 14:05,8440
12/16/2025 14:15,8725
12/16/2025 14:18,9973.75
12/16/2025 14:23,9178.75
12/16/2025 14:36,9182.5
12/16/2025 15:09,9932.5
12/16/2025 15:20,10427.5
12/17/2025 9:22,11522.5
12/17/2025 9:29,11008.75
12/17/2025 9:38,11091.25
12/17/2025 9:48,12133.75
12/17/2025 9:56,11815
12/17/2025 10:06,13135
12/18/2025 9:23,12677.5
12/18/2025 9:29,12208.75
12/19/2025 9:29,12988.75
12/19/2025 9:48,12527.5
12/19/2025 10:05,11638.75
12/19/2025 10:17,11466.25
12/19/2025 10:33,11875
12/19/2025 10:41,11950
12/19/2025 10:56,11575
12/19/2025 11:29,12332.5
12/19/2025 11:45,13123.75
12/19/2025 12:00,12808.75
12/19/2025 12:32,12223.75
12/19/2025 13:00,11867.5
12/19/2025 13:17,12115
12/19/2025 13:36,12891.25
12/19/2025 13:49,13018.75
12/19/2025 14:04,12681.25
12/19/2025 14:24,13502.5
12/19/2025 14:41,13172.5
12/19/2025 14:50,13161.25
12/19/2025 15:20,13052.5
12/22/2025 9:38,12726.25
12/22/2025 9:48,12373.75
12/22/2025 10:06,12478.75
12/22/2025 10:28,12160
12/22/2025 11:04,12055
12/23/2025 9:22,11417.5
12/23/2025 9:43,12265
12/23/2025 9:47,11758.75
12/23/2025 10:01,12816.25
12/23/2025 10:18,12418.75
12/23/2025 10:26,12096.25
12/23/2025 10:34,11702.5
12/23/2025 10:48,11781.25
12/23/2025 11:20,12032.5
12/23/2025 11:28,11642.5
12/23/2025 11:52,11286.25
12/23/2025 12:12,12040
12/23/2025 12:18,11732.5
12/23/2025 13:16,11976.25
12/23/2025 13:41,11410
12/23/2025 13:58,11736.25
12/23/2025 14:14,12996.25
12/23/2025 14:22,13288.75
12/23/2025 14:27,12973.75
12/23/2025 14:46,12718.75
12/23/2025 15:01,12790
12/23/2025 15:20,12602.5
12/24/2025 9:22,12546.25
12/24/2025 9:35,12621.25
12/24/2025 9:46,12145
12/24/2025 9:53,11998.75
12/24/2025 10:03,11612.5
12/26/2025 9:30,11170
12/26/2025 9:49,11575
12/26/2025 10:04,11005
12/26/2025 10:29,10607.5
