option_type	strike	entry_time	entry_price	entry_spot	entry_fut	exit_time	exit_price	exit_reason	pnl_points	pnl_rupees	hold_minutes	is_winner	peak_price	expiry	capital_after
CE	26100	11/24/2025 9:29	104.25	26113.7	26139.9	11/24/2025 9:31	98.1	STOP_LOSS	-6.15	-461.25	2	FALSE	104.25	11/25/2025	9538.75
PE	26100	11/24/2025 9:33	74.15	26092.6	26118	11/24/2025 9:39	77.55	TRAILING_STOP	3.4	255	6	TRUE	80.8	11/25/2025	9793.75
PE	26100	11/24/2025 9:41	80.65	26081.95	26101.9	11/24/2025 9:47	78.95	TRAILING_STOP	-1.7	-127.5	6	FALSE	88.95	11/25/2025	9666.25
CE	26100	11/24/2025 9:50	95	26103.1	26123.6	11/24/2025 9:52	87.45	STOP_LOSS	-7.55	-566.25	2	FALSE	96.25	11/25/2025	9100
CE	25950	11/25/2025 9:20	61.9	25960.7	25961.4	11/25/2025 9:21	51.05	STOP_LOSS	-10.85	-813.75	1	FALSE	61.9	11/25/2025	8286.25
CE	25950	11/25/2025 9:26	61.35	25964.75	25965	11/25/2025 9:27	52.8	STOP_LOSS	-8.55	-641.25	1	FALSE	61.35	11/25/2025	7645
CE	26050	11/26/2025 9:20	124.35	25971.95	26159.8	11/26/2025 9:24	119.25	STOP_LOSS	-5.1	-382.5	4	FALSE	124.35	12/2/2025	7262.5
CE	26100	11/26/2025 9:29	103.95	25979.9	26176.2	11/26/2025 9:33	115.9	TARGET	11.95	896.25	4	TRUE	115.9	12/2/2025	8158.75
CE	26100	11/26/2025 9:35	118.5	26012.1	26205	11/26/2025 9:36	114.05	STOP_LOSS	-4.45	-333.75	1	FALSE	118.5	12/2/2025	7825
CE	26100	11/26/2025 9:41	114.25	26004	26195	11/26/2025 9:43	126.75	TARGET	12.5	937.5	2	TRUE	126.75	12/2/2025	8762.5
CE	26150	11/26/2025 9:45	114.45	26041.15	26238.1	11/26/2025 9:50	132.7	TARGET	18.25	1368.75	5	TRUE	132.7	12/2/2025	10131.25
CE	26300	11/27/2025 9:20	116.25	26253.3	26441.7	11/27/2025 9:21	127.3	TARGET	11.05	828.75	1	TRUE	127.3	12/2/2025	10960
CE	26350	11/27/2025 9:23	104.9	26288.75	26465	11/27/2025 9:24	99.1	STOP_LOSS	-5.8	-435	1	FALSE	104.9	12/2/2025	10525
CE	26300	11/27/2025 9:26	121.3	26270.55	26446	11/27/2025 9:30	124.35	TRAILING_STOP	3.05	228.75	4	TRUE	129.05	12/2/2025	10753.75
CE	26350	11/27/2025 9:32	101.35	26280.1	26455	11/27/2025 9:37	97.2	STOP_LOSS	-4.15	-311.25	5	FALSE	101.5	12/2/2025	10442.5
PE	26250	11/27/2025 9:39	105.95	26249.55	26432	11/27/2025 9:43	117.5	TARGET	11.55	866.25	4	TRUE	117.5	12/2/2025	11308.75
PE	26250	11/27/2025 9:45	112.6	26233	26415.9	11/27/2025 9:47	106	STOP_LOSS	-6.6	-495	2	FALSE	112.6	12/2/2025	10813.75
CE	26300	11/27/2025 9:52	115.6	26255.55	26442	11/27/2025 9:59	130.95	TARGET	15.35	1151.25	7	TRUE	130.95	12/2/2025	11965
CE	26350	11/27/2025 10:02	108.95	26289.85	26474.9	11/27/2025 10:09	102.9	STOP_LOSS	-6.05	-453.75	7	FALSE	108.95	12/2/2025	11511.25
CE	26300	11/27/2025 10:20	124.35	26283.75	26462.1	11/27/2025 10:24	120.3	STOP_LOSS	-4.05	-303.75	4	FALSE	126.6	12/2/2025	11207.5
CE	26300	11/27/2025 10:32	123.25	26282.9	26459	11/27/2025 10:33	118.75	STOP_LOSS	-4.5	-337.5	1	FALSE	123.25	12/2/2025	10870
CE	26300	11/27/2025 10:38	124.5	26283.1	26461	11/27/2025 10:50	140.55	TARGET	16.05	1203.75	12	TRUE	140.55	12/2/2025	12073.75
CE	26350	11/27/2025 10:52	106.8	26303.4	26486.5	11/27/2025 10:54	97.7	STOP_LOSS	-9.1	-682.5	2	FALSE	106.8	12/2/2025	11391.25
CE	26300	11/27/2025 11:01	125.4	26297	26474	11/27/2025 11:02	120.9	STOP_LOSS	-4.5	-337.5	1	FALSE	125.4	12/2/2025	11053.75
CE	26350	11/27/2025 11:07	101.35	26300.9	26479	11/27/2025 11:17	93.85	STOP_LOSS	-7.5	-562.5	10	FALSE	102.3	12/2/2025	10491.25
PE	26300	11/27/2025 11:25	114.15	26280.1	26449.1	11/27/2025 11:34	118.45	TRAILING_STOP	4.3	322.5	9	TRUE	122.25	12/2/2025	10813.75
PE	26250	11/27/2025 11:37	99.8	26265.7	26435	11/27/2025 11:40	94.1	STOP_LOSS	-5.7	-427.5	3	FALSE	99.8	12/2/2025	10386.25
PE	26250	11/27/2025 11:44	95.8	26269.6	26444	11/27/2025 11:47	107.55	TARGET	11.75	881.25	3	TRUE	107.55	12/2/2025	11267.5
PE	26250	11/27/2025 11:49	114	26238	26410.1	11/27/2025 11:51	108.7	STOP_LOSS	-5.3	-397.5	2	FALSE	114	12/2/2025	10870
PE	26250	11/27/2025 11:53	113.35	26236.35	26408	11/27/2025 11:57	107.9	STOP_LOSS	-5.45	-408.75	4	FALSE	113.35	12/2/2025	10461.25
PE	26250	11/27/2025 12:04	106.9	26244.75	26416.5	11/27/2025 12:07	108.75	TRAILING_STOP	1.85	138.75	3	TRUE	116.7	12/2/2025	10600
PE	26250	11/27/2025 12:18	111.3	26238.55	26403	11/27/2025 12:27	122.75	TARGET	11.45	858.75	9	TRUE	122.75	12/2/2025	11458.75
PE	26200	11/27/2025 12:32	96.25	26223.1	26390	11/27/2025 12:41	90.9	STOP_LOSS	-5.35	-401.25	9	FALSE	96.6	12/2/2025	11057.5
PE	26250	11/27/2025 12:56	106	26238.65	26418.9	11/27/2025 13:07	117.05	TARGET	11.05	828.75	11	TRUE	117.05	12/2/2025	11886.25
PE	26200	11/27/2025 13:09	96.15	26218.7	26389	11/27/2025 13:11	107.3	TARGET	11.15	836.25	2	TRUE	107.3	12/2/2025	12722.5
CE	26250	11/28/2025 9:20	111.2	26235.45	26419	11/28/2025 9:22	102.35	STOP_LOSS	-8.85	-663.75	2	FALSE	111.2	12/2/2025	12058.75
PE	26200	11/28/2025 9:24	84.6	26215.45	26391.6	11/28/2025 9:27	76.5	STOP_LOSS	-8.1	-607.5	3	FALSE	87.05	12/2/2025	11451.25
CE	26300	12/1/2025 9:22	88	26296.75	26470	12/1/2025 9:23	81.15	STOP_LOSS	-6.85	-513.75	1	FALSE	88	12/2/2025	10937.5
CE	26300	12/1/2025 9:30	84	26294.4	26466.2	12/1/2025 9:43	75.95	STOP_LOSS	-8.05	-603.75	13	FALSE	87.5	12/2/2025	10333.75
PE	26150	12/2/2025 9:29	52.9	26130.2	26294	12/2/2025 9:30	63.85	TARGET	10.95	821.25	1	TRUE	63.85	12/2/2025	11155
PE	26100	12/2/2025 9:33	36.2	26121	26285	12/2/2025 9:42	53.8	TARGET	17.6	1320	9	TRUE	53.8	12/2/2025	12475
PE	26000	12/3/2025 9:20	104.5	26024	26167.2	12/3/2025 9:26	114.85	TARGET	10.35	776.25	6	TRUE	114.85	12/9/2025	13251.25
