Timestamp,Spot,RSI,RSI_Ready,VWAP,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
12:39:20,25899.75,60,True,26087.03,25900,0.69,150,93.2,39916,49237,0.5778,-0.4222,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:39:26,25899.45,60,True,26087.03,25900,0.69,150,93,39916,49237,0.5778,-0.4222,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:39:33,25899.0,59,True,26087.03,25900,0.69,150.55,92.7,39916,49237,0.5775,-0.4225,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:39:39,25902.8,64,True,26087.03,25900,0.69,149.9,92.85,39916,49237,0.5775,-0.4225,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:39:46,25900.4,61,True,26087.03,25900,0.69,150.15,92.9,39916,49237,0.5778,-0.4222,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:39:53,25900.85,62,True,26087.02,25900,0.69,150.65,92.35,39916,49237,0.5778,-0.4222,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:39:59,25900.85,62,True,26087.02,25900,0.69,151.05,91.7,39916,49237,0.5784,-0.4216,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:40:06,25905.1,67,True,26087.01,25900,0.69,151.7,91,39916,49237,0.5784,-0.4216,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:40:13,25903.4,65,True,26087.01,25900,0.69,150.9,91.8,39916,49237,0.58,-0.42,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:40:20,25903.5,65,True,26087.0,25900,0.69,151.1,92.35,39916,49237,0.5825,-0.4175,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:40:27,25903.2,65,True,26086.99,25900,0.69,150.9,92.55,39916,49237,0.5805,-0.4195,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:40:35,25902.5,64,True,26086.98,25900,0.69,149.95,93,39916,49237,0.5802,-0.4198,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:40:41,25902.85,65,True,26086.98,25900,0.69,150.25,92.8,39916,49237,0.5802,-0.4198,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:40:48,25904.55,66,True,26086.97,25900,0.69,150,92.6,39916,49237,0.5785,-0.4215,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:40:55,25902.5,64,True,26086.96,25900,0.69,150,93,39916,49237,0.5783,-0.4217,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:41:02,25901.95,63,True,26086.94,25900,0.69,149.75,93.1,39916,49237,0.5783,-0.4217,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:41:09,25902.05,63,True,26086.93,25900,0.69,149.8,93.3,39903,49617,0.5773,-0.4227,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:41:16,25902.05,63,True,26086.93,25900,0.69,150.15,93.1,39903,49617,0.5773,-0.4227,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:41:23,25902.8,64,True,26086.92,25900,0.69,150.15,93,39903,49617,0.5774,-0.4226,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:41:30,25903.1,65,True,26086.92,25900,0.69,151,92.5,39903,49617,0.5796,-0.4204,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:41:38,25903.5,65,True,26086.91,25900,0.69,150.35,92.85,39903,49617,0.5796,-0.4204,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:41:44,25901.45,62,True,26086.9,25900,0.69,149.85,93,39903,49617,0.5785,-0.4215,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:41:51,25902.2,63,True,26086.89,25900,0.69,149.85,93.2,39903,49617,0.5783,-0.4217,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:41:59,25901.3,62,True,26086.89,25900,0.69,149.55,93.25,39903,49617,0.5783,-0.4217,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:42:05,25901.9,62,True,26086.87,25900,0.69,149.45,93.1,39903,49617,0.5768,-0.4232,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:42:12,25902.7,63,True,26086.87,25900,0.69,150,92.9,39903,49617,0.577,-0.423,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:42:19,25901.9,62,True,26086.86,25900,0.69,149.5,93.1,39903,49617,0.577,-0.423,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:42:26,25901.3,62,True,26086.86,25900,0.69,149.4,93.5,39903,49617,0.5777,-0.4223,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:42:32,25901.7,62,True,26086.86,25900,0.69,149.45,93.4,39903,49617,0.5777,-0.4223,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:42:40,25903.65,64,True,26086.85,25900,0.69,149.35,93.5,39903,49617,0.5768,-0.4232,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:42:46,25903.3,64,True,26086.85,25900,0.69,149,93.5,39903,49617,0.5764,-0.4236,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:42:53,25902.45,63,True,26086.84,25900,0.69,149.25,93.2,39903,49617,0.5764,-0.4236,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:43:00,25902.45,63,True,26086.84,25900,0.69,149.45,93.3,39903,49617,0.5767,-0.4233,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:43:07,25903.8,65,True,26086.82,25900,0.69,150.05,92.75,39903,49617,0.5782,-0.4218,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:43:14,25904.35,65,True,26086.81,25900,0.69,150,92.65,39903,49617,0.5782,-0.4218,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:43:21,25901.95,62,True,26086.81,25900,0.69,149.8,92.85,39903,49617,0.5783,-0.4217,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:43:28,25902.05,62,True,26086.79,25900,0.69,147.2,94.5,39903,49617,0.5783,-0.4217,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:43:34,25900.85,60,True,26086.78,25900,0.69,146.95,94.4,39903,49617,0.5788,-0.4212,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:43:41,25898.9,56,True,26086.78,25900,0.69,146.55,93.95,39903,49617,0.5729,-0.4271,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:43:49,25903.3,64,True,26086.68,25900,0.69,148.5,93.75,39903,49617,0.5729,-0.4271,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:43:56,25900.75,59,True,26086.64,25900,0.69,148.2,93.75,39903,49617,0.5745,-0.4255,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:44:02,25902.05,61,True,26086.43,25900,0.69,148,93.8,39903,49617,0.5747,-0.4253,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:44:09,25902.15,61,True,26086.37,25900,0.69,148,93.8,40060,49915,0.5747,-0.4253,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:44:16,25900.3,58,True,26086.36,25900,0.69,147.6,93.9,40060,49915,0.5742,-0.4258,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:44:24,25899.3,56,True,26086.33,25900,0.69,148,94.1,40060,49915,0.576,-0.424,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:44:32,25900.05,58,True,26086.33,25900,0.69,147.65,94.3,40060,49915,0.576,-0.424,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:44:40,25899.7,57,True,26086.3,25900,0.69,148,94.2,40060,49915,0.5743,-0.4257,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:44:47,25900.45,59,True,26086.3,25900,0.69,148.55,93.65,40060,49915,0.5751,-0.4249,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:44:54,25899.75,57,True,26086.28,25900,0.69,148.5,93.7,40060,49915,0.5751,-0.4249,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:45:00,25899.75,57,True,26086.28,25900,0.69,148.1,93.65,40060,49915,0.5754,-0.4246,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
12:45:07,25897.55,53,True,26086.27,25900,0.69,147.85,93.75,40060,49915,0.5754,-0.4246,SCANNING_BEARISH_FULL,0,Waiting for entry (FULL mode)
