Timestamp,Spot,RSI,RSI_Ready,VWAP,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
12:36:42,25959.5,35,True,26025.33,25950,0.57,65.25,37.3,103610,162657,0.5877,-0.4123,IN_POSITION,0,@37.40
12:36:52,25960.35,35,True,26025.32,25950,0.57,65,37.65,103610,162657,0.5889,-0.4111,IN_POSITION,0,@37.50
12:37:01,25960.15,35,True,26025.32,25950,0.57,65,37.55,103610,162657,0.588,-0.412,IN_POSITION,0,@37.40
12:37:08,25960.0,35,True,26025.31,25950,0.57,64.85,37.5,103610,162657,0.588,-0.412,IN_POSITION,0,@37.45
12:37:17,25960.8,36,True,26025.31,25950,0.57,65.15,37.4,103610,162657,0.5872,-0.4128,IN_POSITION,0,@37.35
12:37:25,25958.75,34,True,26025.3,25950,0.57,64.75,37.45,103610,162657,0.5887,-0.4113,IN_POSITION,0,@37.75
12:37:33,25959.35,34,True,26025.29,25950,0.57,64.65,37.75,103610,162657,0.5887,-0.4113,IN_POSITION,0,@37.50
12:37:42,25961.8,38,True,26025.28,25950,0.57,65.85,36.6,103610,162657,0.5857,-0.4143,IN_POSITION,0,@36.35
12:37:51,25963.0,40,True,26025.28,25950,0.57,65.95,36.5,103610,162657,0.5915,-0.4085,IN_POSITION,0,@36.55
12:38:00,25963.8,41,True,26025.27,25950,0.57,66.45,36.25,103610,162657,0.5942,-0.4058,IN_POSITION,0,@35.90
12:38:09,25965.1,43,True,26025.24,25950,0.57,66.45,36.2,109526,168710,0.5959,-0.4041,IN_POSITION,0,@36.15
12:38:17,25964.9,43,True,26025.22,25950,0.57,66.15,36.5,109526,168710,0.5959,-0.4041,IN_POSITION,0,@36.40
12:38:26,25961.45,39,True,26025.22,25950,0.57,65.65,36.7,109526,168710,0.5959,-0.4041,IN_POSITION,0,@36.70
12:38:34,25963.95,41,True,26025.21,25950,0.57,65.75,36.8,109526,168710,0.5933,-0.4067,IN_POSITION,0,@36.80
12:38:43,25961.75,39,True,26025.21,25950,0.57,65.85,36.7,109526,168710,0.5928,-0.4072,IN_POSITION,0,@36.70
12:38:51,25963.3,41,True,26025.2,25950,0.57,65.8,36.6,109526,168710,0.5939,-0.4061,IN_POSITION,0,@36.70
12:39:00,25962.8,40,True,26025.19,25950,0.57,65.6,36.75,109526,168710,0.5939,-0.4061,IN_POSITION,0,@36.65
12:39:08,25962.85,40,True,26025.17,25950,0.57,65.4,37,109526,168710,0.5919,-0.4081,IN_POSITION,0,@36.70
12:39:16,25961.7,39,True,26025.17,25950,0.57,65.6,36.9,109526,168710,0.5907,-0.4093,IN_POSITION,0,@37.00
12:39:25,25962.55,40,True,26025.16,25950,0.57,65.2,37.15,109526,168710,0.5906,-0.4094,IN_POSITION,0,@37.35
12:39:34,25961.1,38,True,26025.15,25950,0.57,65.1,37.25,109526,168710,0.5874,-0.4126,IN_POSITION,0,@37.00
12:39:43,25961.25,38,True,26025.12,25950,0.57,65.55,37,109526,168710,0.5874,-0.4126,IN_POSITION,0,@37.00
12:39:52,25963.1,41,True,26025.11,25950,0.57,65.7,36.9,109526,168710,0.5912,-0.4088,IN_POSITION,0,@36.80
12:40:00,25961.75,39,True,26025.11,25950,0.57,65.25,37.2,109526,168710,0.592,-0.408,IN_POSITION,0,@37.35
12:40:09,25961.0,38,True,26025.08,25950,0.57,64.95,37.25,109526,168710,0.5903,-0.4097,IN_POSITION,0,@37.15
12:40:18,25961.65,39,True,26025.06,25950,0.57,64.95,37.3,109526,168710,0.5903,-0.4097,IN_POSITION,0,@37.25
