Timestamp,Strategy,Spot,RSI,RSI_Ready,VWAP,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
09:29:34,STRATEGY_A_2min,26018.9,50,False,26162.28,26000,0.76,144.3,77.85,170696,148607,0.5895,-0.4105,SCANNING,0,Waiting for entry
09:29:50,STRATEGY_A_2min,26019.8,50,False,26162.55,26000,0.76,144.2,77.6,170696,148607,0.6005,-0.3995,SCANNING,0,Waiting for entry
09:30:03,STRATEGY_A_2min,26019.15,50,False,26163.36,26000,0.76,145.25,76.8,170696,148607,0.6005,-0.3995,SCANNING,0,Waiting for entry
09:30:17,STRATEGY_A_2min,26018.75,50,False,26163.6,26000,0.76,144.5,77.05,170696,148607,0.5949,-0.4051,SCANNING,0,Waiting for entry
09:30:30,STRATEGY_A_2min,26018.25,50,False,26163.9,26000,0.76,143.75,77.6,170696,148607,0.6017,-0.3983,SCANNING,0,Waiting for entry
09:30:43,STRATEGY_A_2min,26010.15,50,False,26163.86,26000,0.78,139.9,79.85,182165,156786,0.6001,-0.3999,SCANNING,0,Waiting for entry
09:30:59,STRATEGY_A_2min,26011.4,50,False,26164.01,26000,0.78,140.75,79,182165,156786,0.5976,-0.4024,SCANNING,0,Waiting for entry
09:31:13,STRATEGY_A_2min,26016.05,50,False,26164.07,26000,0.78,142.8,77.55,182165,156786,0.5896,-0.4104,SCANNING,0,Waiting for entry
09:31:28,STRATEGY_A_2min,26019.55,50,False,26164.26,26000,0.78,143.35,76.85,182165,156786,0.5981,-0.4019,SCANNING,0,Waiting for entry
09:31:42,STRATEGY_A_2min,26020.35,50,False,26164.47,26000,0.78,145.5,75,182165,156786,0.5992,-0.4008,SCANNING,0,Waiting for entry
09:40:05,STRATEGY_A_2min,26006.9,49,True,26164.81,26000,0.79,135.75,81.4,193983,175303,0.5829,-0.4171,SCANNING,0,Waiting for entry
09:40:33,STRATEGY_A_2min,26002.05,45,True,26164.8,26000,0.79,132.95,83.05,193983,175303,0.5709,-0.4291,IN_POSITION_PE,-78.75,Monitoring @ Rs.83.05
09:40:48,STRATEGY_A_2min,26002.35,45,True,26164.8,26000,0.79,132.55,83.65,193983,175303,0.5761,-0.4239,IN_POSITION_PE,-33.75,Monitoring @ Rs.83.65
