Entry_Time,Exit_Time,Strategy,Symbol,Type,Strike,Entry_Price,Exit_Price,Max_Price,PnL,PnL_Pct,Balance,Exit_Reason
09:29:34,10:19:58,ORIGINAL_5min,NIFTY2610626050CE,CE,26050,114.2,105.3,115,-667.5,-7.79,9332.5,TIME_EXIT
10:21:10,10:32:22,ORIGINAL_5min,NIFTY2610626050CE,CE,26050,106.25,116.25,116.25,750.0,9.41,10082.5,TARGET
10:33:24,10:41:54,ORIGINAL_5min,NIFTY2610626050CE,CE,26050,117.45,128.55,128.55,832.5,9.45,10915.0,TARGET
10:43:03,10:48:06,ORIGINAL_5min,NIFTY2610626050CE,CE,26050,127.3,122.15,129.9,-386.25,-4.05,10528.75,STOP_LOSS
10:49:10,11:19:22,ORIGINAL_5min,NIFTY2610626050CE,CE,26050,120.7,127.5,128.95,510.0,5.63,11038.75,TIME_EXIT
11:20:31,11:24:38,ORIGINAL_5min,NIFTY2610626050CE,CE,26050,124.2,118.7,124.2,-412.5,-4.43,10626.25,STOP_LOSS
11:25:39,11:29:59,ORIGINAL_5min,NIFTY2610626050CE,CE,26050,122.45,117,122.45,-408.75,-4.45,10217.5,STOP_LOSS
11:31:00,11:38:37,ORIGINAL_5min,NIFTY2610626050CE,CE,26050,118.25,129.15,129.15,817.5,9.22,11035.0,TARGET
11:39:52,12:07:56,ORIGINAL_5min,NIFTY2610626050CE,CE,26050,128.8,139.8,139.8,825.0,8.54,11860.0,TARGET
12:09:02,12:33:26,ORIGINAL_5min,NIFTY2610626100CE,CE,26100,113.45,123.45,123.45,750.0,8.81,12610.0,TARGET
13:34:59,13:37:42,ORIGINAL_5min,NIFTY2610626150CE,CE,26150,119.2,114.05,119.6,-386.25,-4.32,12223.75,STOP_LOSS
13:38:45,13:45:05,ORIGINAL_5min,NIFTY2610626150CE,CE,26150,113.45,123.55,123.55,757.5,8.9,12981.25,TARGET
13:46:09,13:58:19,ORIGINAL_5min,NIFTY2610626150CE,CE,26150,124.5,135.5,135.5,825.0,8.84,13806.25,TARGET
14:00:10,14:02:20,ORIGINAL_5min,NIFTY2610626150CE,CE,26150,128.9,122.5,130.6,-480.0,-4.97,13326.25,STOP_LOSS
14:03:26,14:23:28,ORIGINAL_5min,NIFTY2610626150CE,CE,26150,127.05,118.75,130.85,-622.5,-6.53,12703.75,STOP_LOSS
14:24:31,14:54:36,ORIGINAL_5min,NIFTY2610626150CE,CE,26150,119.7,125.95,129.15,468.75,5.22,13172.5,TIME_EXIT
14:55:55,15:00:23,ORIGINAL_5min,NIFTY2610626200CE,CE,26200,98.25,91.7,98.45,-491.25,-6.67,12681.25,STOP_LOSS
