datetime,open,high,low,close,volume,oi
2025-12-03T09:15:00,113.45,133.75,113.45,133.45,1617975,14727.0
2025-12-03T09:16:00,134.55,135.4,125.75,127.9,1571925,17861.0
2025-12-03T09:17:00,127.25,129.5,124.0,125.6,760650,
2025-12-03T09:18:00,124.45,129.9,123.35,124.6,929175,
2025-12-03T09:19:00,124.4,126.5,121.9,124.35,646650,24542.0
2025-12-03T09:20:00,126.55,129.2,124.55,126.3,1044300,
2025-12-03T09:21:00,126.8,129.55,126.35,128.4,800175,
2025-12-03T09:22:00,128.45,131.05,127.75,128.05,911100,30456.0
2025-12-03T09:23:00,128.0,128.1,123.25,123.75,578850,
2025-12-03T09:24:00,124.15,131.45,124.15,130.85,992625,
2025-12-03T09:25:00,130.35,134.55,129.3,132.4,1054875,31894.0
2025-12-03T09:26:00,131.75,139.8,131.45,139.1,1018050,
2025-12-03T09:27:00,139.15,154.0,138.45,154.0,2345550,
2025-12-03T09:28:00,154.85,160.65,151.35,154.85,1618275,30658.0
2025-12-03T09:29:00,154.4,156.55,150.5,155.55,589425,
2025-12-03T09:30:00,154.95,157.15,153.0,156.25,542400,
2025-12-03T09:31:00,156.05,156.55,150.35,155.0,414900,27054.0
2025-12-03T09:32:00,154.7,155.65,151.25,155.0,280500,
2025-12-03T09:33:00,155.75,169.9,154.8,169.8,1308225,
2025-12-03T09:34:00,169.5,178.3,167.15,176.65,1025325,26451.0
2025-12-03T09:35:00,174.5,175.5,169.8,173.75,595950,
2025-12-03T09:36:00,172.8,174.3,169.2,170.0,273000,
2025-12-03T09:37:00,170.1,182.15,170.1,177.0,691875,22348.0
2025-12-03T09:38:00,176.55,178.95,175.35,177.0,236325,
2025-12-03T09:39:00,176.8,180.0,176.65,178.5,256050,
2025-12-03T09:40:00,178.95,180.0,176.25,178.0,277725,21766.0
2025-12-03T09:41:00,177.8,177.8,170.55,171.85,339300,
2025-12-03T09:42:00,172.0,172.85,163.85,165.2,411975,
2025-12-03T09:43:00,165.45,172.25,165.2,172.25,233925,20395.0
2025-12-03T09:44:00,171.85,171.95,169.9,171.2,138300,
2025-12-03T09:45:00,170.85,172.95,169.3,171.4,160650,
2025-12-03T09:46:00,171.25,172.15,167.7,169.8,136800,20803.0
2025-12-03T09:47:00,169.45,174.45,168.7,168.9,146325,
2025-12-03T09:48:00,168.35,176.0,166.75,176.0,170400,
2025-12-03T09:49:00,176.05,177.1,169.85,169.85,209700,21005.0
2025-12-03T09:50:00,169.95,177.15,169.5,175.95,205350,
2025-12-03T09:51:00,175.8,179.2,174.5,177.25,219375,
2025-12-03T09:52:00,176.7,177.2,171.9,172.15,131625,21185.0
2025-12-03T09:53:00,172.35,173.7,169.95,171.0,154200,
2025-12-03T09:54:00,170.85,173.25,168.15,171.95,141900,
2025-12-03T09:55:00,172.4,174.2,171.05,171.05,96900,20852.0
2025-12-03T09:56:00,171.65,171.9,168.7,170.95,97725,
2025-12-03T09:57:00,170.4,173.8,169.85,173.8,73875,
2025-12-03T09:58:00,173.45,174.25,168.65,169.0,87150,20684.0
2025-12-03T09:59:00,169.4,170.0,165.0,167.3,211575,
2025-12-03T10:00:00,167.15,172.7,166.8,172.45,212100,
2025-12-03T10:01:00,172.7,175.3,171.05,172.9,180525,20843.0
