option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
PE,26100,2025-11-24 10:00:00,70.7,26106.75,26135.0,2025-11-24 10:06:00,61.25,STOP_LOSS,-9.45,-708.75,42.3,-751.05,6.0,False,70.7,2025-11-25,-1.0,2025-11-24 09:57:00,180.0,9248.95
CE,26100,2025-11-24 10:12:00,105.0,26128.5,26148.7,2025-11-24 10:21:00,102.85,STOP_LOSS,-2.15,-161.25,43.86,-205.11,9.0,False,105.0,2025-11-25,-1.0,2025-11-24 10:09:00,180.0,9043.84
CE,26000,2025-11-25 09:36:00,42.85,25962.4,25964.1,2025-11-25 09:51:00,36.4,STOP_LOSS,-6.45,-483.75,41.37,-525.12,15.0,False,42.85,2025-11-25,-1.0,2025-11-25 09:33:00,180.0,8518.72
CE,26000,2025-11-25 10:00:00,54.95,25998.3,26010.0,2025-11-25 10:06:00,50.0,STOP_LOSS,-4.95,-371.25,41.88,-413.13,6.0,False,54.95,2025-11-25,-1.0,2025-11-25 09:57:00,180.0,8105.589999999999
CE,26050,2025-11-26 09:24:00,119.75,25974.65,26163.0,2025-11-26 09:36:00,138.2,TARGET,18.45,1383.75,45.18,1338.57,12.0,True,140.65,2025-12-02,-0.5,2025-11-26 09:21:00,180.0,9444.16
CE,26100,2025-11-26 09:42:00,117.85,26024.1,26224.6,2025-11-26 09:48:00,140.5,TARGET,22.65,1698.75,45.27,1653.48,6.0,True,139.0,2025-12-02,-0.5,2025-11-26 09:39:00,180.0,11097.64
CE,26350,2025-11-27 09:24:00,99.6,26270.55,26446.0,2025-11-27 09:42:00,84.6,STOP_LOSS,-15.0,-1125.0,43.17,-1168.17,18.0,False,100.85,2025-12-02,-1.0,2025-11-27 09:21:00,180.0,9929.47
CE,26250,2025-11-28 09:30:00,103.55,26239.7,26420.3,2025-11-28 09:39:00,95.75,TRAILING_STOP,-7.8,-585.0,43.59,-628.59,9.0,False,110.0,2025-12-02,-0.75,2025-11-28 09:27:00,180.0,9300.88
CE,26250,2025-11-28 09:48:00,106.95,26245.5,26423.9,2025-11-28 10:06:00,120.85,TARGET,13.9,1042.5,44.53,997.97,18.0,True,118.25,2025-12-02,-0.5,2025-11-28 09:45:00,180.0,10298.849999999999
CE,26250,2025-11-28 10:12:00,119.3,26240.4,26420.1,2025-11-28 10:18:00,100.65,STOP_LOSS,-18.65,-1398.75,43.77,-1442.52,6.0,False,119.3,2025-12-02,-1.0,2025-11-28 10:09:00,180.0,8856.329999999998
