option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
CE,26100,2025-11-24 10:03:00,95.55,26112.55,26130.0,2025-11-24 10:21:00,103.1,TRAILING_STOP,7.55,566.25,43.87,522.38,18.0,True,104.5,2025-11-25,-0.75,2025-11-24 10:00:00,180.0,10522.38
PE,26100,2025-11-24 11:00:00,59.7,26097.85,26115.0,2025-11-24 11:15:00,66.35,TRAILING_STOP,6.65,498.75,42.49,456.26,15.0,True,66.0,2025-11-25,-0.75,2025-11-24 10:57:00,180.0,10978.64
CE,26100,2025-11-24 11:27:00,93.35,26122.6,26148.0,2025-11-24 11:42:00,93.0,TRAILING_STOP,-0.35,-26.25,43.49,-69.74,15.0,False,100.0,2025-11-25,-0.75,2025-11-24 11:24:00,180.0,10908.9
PE,26100,2025-11-24 11:48:00,63.3,26089.45,26115.5,2025-11-24 11:57:00,81.3,TARGET,18.0,1350.0,43.05,1306.95,9.0,True,74.35,2025-11-25,-0.5,2025-11-24 11:45:00,180.0,12215.85
PE,25950,2025-11-25 09:51:00,43.45,25976.15,25980.2,2025-11-25 09:57:00,34.15,STOP_LOSS,-9.3,-697.5,41.28,-738.78,6.0,False,43.45,2025-11-25,-1.0,2025-11-25 09:48:00,180.0,11477.07
PE,25950,2025-11-25 10:57:00,52.0,25939.1,25937.0,2025-11-25 11:18:00,45.9,STOP_LOSS,-6.1,-457.5,41.72,-499.22,21.0,False,59.0,2025-11-25,-1.0,2025-11-25 10:54:00,180.0,10977.85
PE,26250,2025-11-27 09:42:00,112.85,26236.6,26423.0,2025-11-27 09:51:00,103.0,STOP_LOSS,-9.85,-738.75,43.86,-782.61,9.0,False,112.85,2025-12-02,-1.0,2025-11-27 09:39:00,180.0,10195.24
PE,26250,2025-11-27 11:33:00,99.9,26271.8,26443.7,2025-11-27 11:39:00,97.9,STOP_LOSS,-2.0,-150.0,43.67,-193.67,6.0,False,99.9,2025-12-02,-1.0,2025-11-27 11:30:00,180.0,10001.57
PE,26200,2025-11-28 09:24:00,85.1,26218.7,26400.0,2025-11-28 09:30:00,77.9,STOP_LOSS,-7.2,-540.0,42.92,-582.92,6.0,False,85.1,2025-12-02,-1.0,2025-11-28 09:21:00,180.0,9418.65
PE,26200,2025-11-28 09:39:00,82.9,26235.65,26416.6,2025-11-28 09:45:00,78.9,STOP_LOSS,-4.0,-300.0,42.96,-342.96,6.0,False,82.9,2025-12-02,-1.0,2025-11-28 09:36:00,180.0,9075.69
PE,26150,2025-12-02 09:30:00,64.35,26132.0,26298.0,2025-12-02 09:36:00,59.6,STOP_LOSS,-4.75,-356.25,42.23,-398.48,6.0,False,64.35,2025-12-02,-1.0,2025-12-02 09:27:00,180.0,8677.210000000001
CE,26100,2025-12-02 10:54:00,43.65,26092.3,26260.0,2025-12-02 11:18:00,32.85,STOP_LOSS,-10.8,-810.0,41.23,-851.23,24.0,False,45.45,2025-12-02,-1.0,2025-12-02 10:51:00,180.0,7825.980000000001
CE,26100,2025-12-03 09:24:00,107.65,25994.25,26143.6,2025-12-03 09:30:00,93.0,STOP_LOSS,-14.65,-1098.75,43.49,-1142.24,6.0,False,107.65,2025-12-09,-1.0,2025-12-03 09:21:00,180.0,6683.740000000002
PE,26050,2025-12-04 11:42:00,109.05,26028.8,26161.2,2025-12-04 11:51:00,107.9,TRAILING_STOP,-1.15,-86.25,44.05,-130.3,9.0,False,115.6,2025-12-09,-0.75,2025-12-04 11:39:00,180.0,6553.440000000001
CE,26050,2025-12-04 12:06:00,114.1,26042.85,26187.2,2025-12-04 12:18:00,108.3,STOP_LOSS,-5.8,-435.0,44.06,-479.06,12.0,False,114.1,2025-12-09,-1.0,2025-12-04 12:03:00,180.0,6074.380000000001
CE,26050,2025-12-04 14:54:00,108.6,26039.65,26185.0,2025-12-04 15:03:00,116.7,TARGET,8.1,607.5,44.38,563.12,9.0,True,120.55,2025-12-09,-0.5,2025-12-04 14:51:00,180.0,6637.500000000001
PE,26050,2025-12-05 09:24:00,94.75,26036.5,26176.7,2025-12-05 09:30:00,96.6,STOP_LOSS,1.85,138.75,43.62,95.13,6.0,True,94.75,2025-12-09,-1.0,2025-12-05 09:21:00,180.0,6732.630000000001
CE,26050,2025-12-05 09:36:00,108.15,26033.55,26175.4,2025-12-05 09:51:00,111.55,TARGET,3.4,255.0,44.18,210.82,15.0,True,120.0,2025-12-09,-0.5,2025-12-05 09:33:00,180.0,6943.450000000001
PE,26050,2025-12-05 09:57:00,101.0,26024.35,26172.0,2025-12-05 10:06:00,57.6,STOP_LOSS,-43.4,-3255.0,42.16,-3297.16,9.0,False,103.0,2025-12-09,-1.0,2025-12-05 09:54:00,180.0,3646.290000000001
PE,26150,2025-12-08 09:27:00,70.55,26140.6,26283.0,2025-12-08 09:33:00,63.5,STOP_LOSS,-7.05,-528.75,42.38,-571.13,6.0,False,70.55,2025-12-09,-1.0,2025-12-08 09:24:00,180.0,3075.1600000000008
CE,25800,2025-12-09 10:18:00,77.3,25816.85,25948.7,2025-12-09 10:24:00,79.6,STOP_LOSS,2.3,172.5,42.98,129.51,6.0,True,77.3,2025-12-09,-1.0,2025-12-09 10:15:00,180.0,3204.670000000001
PE,25800,2025-12-09 10:36:00,45.55,25793.05,25929.3,2025-12-09 10:42:00,38.0,STOP_LOSS,-7.55,-566.25,41.42,-607.67,6.0,False,45.55,2025-12-09,-1.0,2025-12-09 10:33:00,180.0,2597.000000000001
PE,25800,2025-12-09 10:48:00,46.25,25796.35,25923.0,2025-12-09 11:03:00,35.3,STOP_LOSS,-10.95,-821.25,41.32,-862.57,15.0,False,48.2,2025-12-09,-1.0,2025-12-09 10:45:00,180.0,1734.4300000000007
CE,25950,2025-12-10 09:24:00,101.25,25874.8,25975.0,2025-12-10 09:33:00,114.5,TARGET,13.25,993.75,44.29,949.46,9.0,True,118.25,2025-12-16,-0.5,2025-12-10 09:21:00,180.0,2683.890000000001
PE,25900,2025-12-10 10:48:00,111.6,25881.65,25984.5,2025-12-10 10:57:00,132.95,TARGET,21.35,1601.25,44.99,1556.26,9.0,True,131.6,2025-12-16,-0.5,2025-12-10 10:45:00,180.0,4240.150000000001
